family,scientificName,use,resource,details,references
Asteraceae,"Eremanthus praetermissus","9. Construction/structural materials",stalk,"Madeira da espécie é usado para construir cerca e pequenas pontes. (Loeuille com. pess.).",
Asteraceae,"Eremanthus ovatifolius","9. Construction/structural materials",stalk,"A madeira da espécie é usado para construir cerca e pequenas pontes (Loeuille, com. pess.).",
