family,scientificName,pollination
Asteraceae,"Eremanthus praetermissus",melitophily
Asteraceae,"Eremanthus praetermissus",
Asteraceae,"Eremanthus ovatifolius",melitophily
ERIOCAULACEAE,"Paepalanthus capixabensis",entomophily
