family,scientificName,action,situation,details,references
Asteraceae,"Eremanthus praetermissus","1.1 Site/area protection","on going","A espécie ocorre em localidades de três Unidades de Conservação de proteção integral: Parque Estadual da Serra do Mar, núcleo Caraguatatuba (Paula-Souza; 3477; Franco; 3006), Parque Estadual da Ilha Anchieta, Mirante do Sul (Luize;19) e Parque Estadual da Serra do Mar, Morro do Cuscuzeiro (Bertoncello; 905).
",
Asteraceae,"Eremanthus ovatifolius","1.1 Site/area protection",needed,"O Pico da Aliança apresenta uma flora rica com varias espécies novas sendo descritas atualmente (Loeuille, com. pess.). Entretanto a área não está protegida por nenhuma UC (Loeuille, com. pess.). Apesar de abundante, a espécie é localmente restrita a essa região (Loeuille and Pirani, em prep.). ",
ERIOCAULACEAE,"Paepalanthus capixabensis","1.1 Site/area protection",needed,"A espécie não ocorre em nenhuma unidade de conservação (Trovó et al. in prep.)","Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
