occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:1365513,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",-22.943056,-43.286389,"google earth",ok,,,,"5 a 10 km","Doryopteris tijucana Brade & Rosenst.",,,,,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365514,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",0,0,,ok,,,,,"Doryopteris tijucana Brade & Rosenst.",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365515,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",-22.950556,-43.292222,"google earth",ok,,,,"1 a 5 km","Doryopteris tijucana Brade & Rosenst.",,,,,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365516,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",0,0,,ok,,,,,"Doryopteris tijucana Brade & Rosenst.",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365517,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",0,0,,ok,,,,,"Doryopteris tijucana Brade & Rosenst.",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365518,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",0,0,,ok,,,,,"Doryopteris tijucana Brade & Rosenst.",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1365519,Pteridaceae,PTERIDACEAE,"Doryopteris tijucana Brade & Rosenst.","Doryopteris tijucana",0,0,,ok,,,,,"Doryopteris tijucana Brade & Rosenst.",false,,,yes,,,"Tomás Amorim ; Rodrigo Amaro",
occurrence:rj:1366217,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",-22.437927,-44.583142,sig,ok,,,,"centroide de municipio","Hindsia glabra K.Schum.",false,valid,no,no,native,invalid,"Juliana Amaral de Oliveira ; Igor Lourenço Oliveira ; Raquel",
occurrence:rj:1366219,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",-22.425032,-44.611667,"google earth",ok,,,,"10 a 50 km","Hindsia glabra K.Schum.",false,valid,no,no,native,invalid,"Juliana Amaral de Oliveira ; Igor Lourenço Oliveira ; Raquel",
occurrence:rj:1366220,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",0,0,,ok,,,,,"Hindsia glabra K.Schum.",false,unknown,unknown,yes,unknown,unknown,"Igor Lourenço Oliveira ; Marta Moraes ; Raquel",
occurrence:rj:1366221,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",0,0,,ok,,,,,"Hindsia glabra K.Schum.",false,unknown,unknown,yes,unknown,unknown,"Igor Lourenço Oliveira ; Marta Moraes ; Raquel",
occurrence:rj:1366222,Rubiaceae,RUBIACEAE,"Hindsia glabra K.Schum.","Hindsia glabra",0,0,,ok,,,,,"Hindsia glabra K.Schum.",false,unknown,unknown,yes,unknown,unknown,"Igor Lourenço Oliveira ; Marta Moraes ; Raquel",
occurrence:rj:1366287,Hymenophyllaceae,HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum Brade & Rosenst.","Hymenophyllum sampaioanum",-22.495637,-43.07365,sig,ok,,,,"centroide de uc","Hymenophyllum sampaioanum Brade & Rosenst.",true,valid,no,no,native,valid,"João Paulo Condack ; Fernanda Wimmer ; Rodrigo Amaro",
occurrence:rj:1367419,Myrtaceae,MYRTACEAE,"Myrcia oreioeca Kiaersk.","Myrcia oreioeca",-22.550066,-43.18683,"google earth",ok,,,,"1 a 5 km","Myrcia oreioeca Kiaersk.",,,,,,,"Rogerio Braga ; Lucas Moulton",
occurrence:rj:1369115,Rubiaceae,RUBIACEAE,"Simira walteri Silva Neto & Callado","Simira walteri",0,0,,ok,,,,,"Simira walteri Silva Neto & Callado",false,unknown,unknown,yes,unknown,unknown,"Victor Menezes ; Fernanda Wimmer ; Marta Moraes ; Raquel",
occurrence:rj:1433804,Dioscoreaceae,DIOSCOREACEAE,"Dioscorea pseudomacrocapsa G.M.Barroso et al.","Dioscorea pseudomacrocapsa",-22.96003,-43.368917,"google earth",ok,,,,"5 a 10 km","Dioscorea pseudomacrocapsa G.M.Barroso et al.",false,unknown,unknown,yes,unknown,unknown,"Marta Moraes ; Fernanda Wimmer ; Raquel",
occurrence:rj:1589927,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",-22.969075,-43.23912,"google earth",ok,,,,"250 a 1000 m","Stephanopodium estrellense Baill.",false,unknown,unknown,unknown,unknown,unknown,"Fernanda Wimmer ; Herison Medeiros  ; Eduardo Fernandez",
occurrence:rj:1595504,Malvaceae,MALVACEAE,"Abutilon macrocarpum Guillem. & Perr.","Abutilon macrocarpum",0,0,,nok,"Fernanda Wimmer",,,,"Abutilon macrocarpum Guillem. & Perr.",true,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:1613651,Euphorbiaceae,EUPHORBIACEAE,"Acalypha macularis Pax & K.Hoffm.","Acalypha macularis",-108339,-528731,,ok,,,,,"Acalypha macularis Pax & K.Hoffm.",true,valid,no,no,native,valid,"Fernanda Hurbath Pita Brandão ; Leonardo Novaes ; Eduardo Fernandez",
occurrence:rj:1626236,Boraginaceae,BORAGINACEAE,"Varronia leucomalla (Taub.) Borhidi","Varronia leucomalla",0,0,,nok,,,,,"Varronia leucomalla (Taub.) Borhidi",false,valid,no,yes,native,valid,"José Iranildo Miranda de Melo ; Leonardo Novaes ; Lucas Moulton",
