family,scientificName,document,field,reference
ANEMIACEAE,"Anemia candidoi",profile,ecology,"Mickel, J.; Barros, I.C.L.; Santiago, A.C.P.; Pereira, A.F. de N.; Labiak, P.H. 2015. Anemiaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB90598>. Acesso em: 21 Abr. 2015"
BORAGINACEAE,"Varronia leucomalla",profile,taxonomicNotes,"Miller, J.S., 2007. New Boraginales from Tropical America 5: New Names and Typifications for Neotropical Species of Cordia and Varronia. Novon A J. Bot. Nomencl. 17, 372."
BORAGINACEAE,"Varronia leucomalla",profile,distribution,"Stapf, M.N.S. Varronia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB105539>. Acesso em: 23 Fev. 2015"
BORAGINACEAE,"Varronia leucomalla",profile,distribution,"Guimarães, E.F. & Venda, A.K.L. 2014. Boraginaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>"
BORAGINACEAE,"Varronia leucomalla",profile,ecology,"Stapf, M.N.S. Varronia in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB105539>. Acesso em: 23 Fev. 2015"
BORAGINACEAE,"Varronia leucomalla",profile,threats,"Matos, J.J.B.S., 2007. Composição Florística de espécies arbóreo-Arbustivas em trecho de borda situado no parque nacional da Tijuca. Monografia. Universidade Federal Rural do Rio de Janeiro."
BORAGINACEAE,"Varronia leucomalla",profile,threats,"Marcos, C.S., Matos, D.M.S., 2003. Estrutura de populações de palmiteiro (Euterpe edulis Mart.) em áreas com diferentes graus de impactação na Floresta da Tijuca, RJ. Floresta e Ambient. 10, 27–37."
BORAGINACEAE,"Varronia leucomalla",profile,threats,"Fernandes, M. do C., Lagüéns, J.V.M., Netto, A.L.C., 1999. O Processo de Ocupação por Favelas e sua Relação com os Eventos de Deslizamentos no Maciço daTijuca/RJ. Anuário do Inst. Geociências - UFRJ 22, 45–59."
BORAGINACEAE,"Varronia leucomalla",profile,threats,"Fernandes, M. do C., Lagüéns, J.V.M., Netto, A.L.C., 1999. O Processo de Ocupação por Favelas e sua Relação com os Eventos de Deslizamentos no Maciço daTijuca/RJ. Anuário do Inst. Geociências - UFRJ 22, 45–59."
ACANTHACEAE,"Aphelandra neesiana",profile,distribution,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 17 mar. 2015."
ACANTHACEAE,"Aphelandra neesiana",profile,ecology,"Profice, S., 2014. Acanthaceae. Catálogo das espécies plantas vasculares e briófitas do Estado do Rio Janeiro. Rio Janeiro: Inst. Pesqui. Jard. Botânico do Rio Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em 17 mar. 2015."
ACANTHACEAE,"Aphelandra neesiana",profile,ecology,"Profice, S.R., 1990. Espécies de Aphelandra R. Br.(Acanthaceae) no Estado do Rio de Janeiro-Morfologia foliar e das brácteas. Rodriguésia 42/44, 51–65."
ACANTHACEAE,"Aphelandra neesiana",profile,ecology,"Profice, S.R., Kameyama, C., Côrtes, A.L.A., Braz, D.M., Indriunas, A., Vilar, T., Pessoa, C., Ezcurra, C., Wasshausen, D., 2015. Acanthaceae in Lista de Espécies da Flora do Brasil. Jard. Botânico do Rio Janeiro. Disponível em: <http://reflora.jbrj.gov.br/jabot/floradobrasil/FB4109>. Acesso em: 17 mar. 2015."
ACANTHACEAE,"Aphelandra neesiana",profile,threats,"IBGE, 2015. Magé. @Cidades. Disponível em: <http://www.cidades.ibge.gov.br/painel/historico.php?lang=&codmun=330250&search=rio-de-janeiro|mage|infograficos:-historico>. Acesso em 17 mar. 2015."
ACANTHACEAE,"Aphelandra neesiana",profile,threats,"Kassiadou, A., Sánchez, C., 2014. Escolas sustentáveis e conflitos socioambientais: Reflexões sobre projetos de educação ambiental no contexto escolar em três municípios do estado do Rio de Janeiro. Rev. VITAS – Visões transdisciplinares sobre ambiente e Sociedade. "
ACANTHACEAE,"Aphelandra neesiana",profile,threats,"Kassiadou, A., Sánchez, C., 2014. Escolas sustentáveis e conflitos socioambientais: Reflexões sobre projetos de educação ambiental no contexto escolar em três municípios do estado do Rio de Janeiro. Rev. VITAS – Visões transdisciplinares sobre ambiente e Sociedade. "
DRYOPTERIDACEAE,"Polystichum auritum",profile,taxonomicNotes,"Basiônimo: Phanerophlebia aurita Fée, Crypt. Vasc. Br. II. 70, t.100. f.1. 1872-1873."
DRYOPTERIDACEAE,"Polystichum auritum",profile,distribution,"Sylvestre, L. S. & Mynssen, C. M. 2014. Dryopteridaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>"
DRYOPTERIDACEAE,"Polystichum auritum",profile,ecology,"Condack, J.P.S. 2012. Filogenia de Polystichum (Dryopteridaceae) e revisão taxonômica das espécies ocorrentes no Brasil. Tese de Doutorado. UFRJ/Museu Nacional"
DRYOPTERIDACEAE,"Polystichum auritum",profile,threats,"Castro, E.B. V, 2008. Plano de manejo do Parque Nacional da Serra dos Órgãos. Brasília, Inst. Chico Mendes Conserv. da Biodiversidade, Portaria ICMBio."
DRYOPTERIDACEAE,"Polystichum auritum",profile,threats,"IBAMA, 2014. Ibama combate incêndio no Parque Nacional Serra dos Órgãos. Disponível em <http://www.ibama.gov.br/publicadas/ibama-combate-incendio-no-parque-nacional-serra-dos-orgaos>."
DRYOPTERIDACEAE,"Polystichum auritum",profile,threats,"ICMBio, 2014a. ICMBio e Ibama trabalham para conter incêndio na Serra dos Órgãos. Meio Ambiente. Disponível em < http://www.brasil.gov.br/meio-ambiente/2014/10/icmbio-e-ibama-trabalham-para-conter-incendio-na-serra-dos-orgaos>."
DRYOPTERIDACEAE,"Polystichum auritum",profile,threats,"ICMBio, 2014b. Incêndio enfraquece no Parque Nacional da Serra dos Órgãos. Notícias. Disponível em: <http://www.ibama.gov.br/publicadas/incendio-enfraquece-no-parque-nacional-da-serra-dos-orgaos>"
DRYOPTERIDACEAE,"Polystichum auritum",profile,threats,"Rodrigues, R.D.A.R., De Mello, W.Z., De Souza, P.A., 2007. Aporte atmosférico de amônio, nitrato e sulfato em área de floresta ombrófila densa montana na Serra Dos Órgãos, RJ. Quim. Nova 30, 1842–1848."
APIACEAE,"Eryngium goulartii",profile,distribution,"Fiaschi, P.; Cota, M. R. C. Apiaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB102913>. Acesso em: 06 Abr. 2015"
