family,scientificName,action,situation,details,references
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","1 Land/water protection","on going","A espécie encontra-se em cultivo no Arboreto do  JBRJ, canteiro 30B (RB 426325; RB 300925); no Parque Estadual da Serra da Tiririca (L.J.S.Pinto 191); na APA do Morro da Babilônia (Sucre 7505); e no Monumento Natural (MONA) dos Morros do Pão de Açúcar e da Urca.","Monumento Natural (MONA) dos Morros do Pão de Açúcar e da Urca. Em: http://www.rio.rj.gov.br/web/smac/exibeconteudo?id=4461307 Acesso em: 20 de abril de 2015"
DIOSCOREACEAE,"Dioscorea pseudomacrocapsa","5.1.2 National level","on going","A espécie foi incluída na Lista Vermelha da Flora do Brasil na categoria EN  ""Em perigo"" (MMA, 2014)","Ministério do Meio Ambiente. 2014. Portaria No 443, De 17 de Dezembro de 2014. a ""Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção"". Diário Oficial [da] República Federativa do Brasil, Poder Executivo, Brasília, DF, 18 dez. 2014 Seção 1, p.110-121."
RUBIACEAE,"Simira walteri","1 Land/water protection","on going","A espécie é encontrada na REBIO do Tinguá em Nova Iguaçu (Silva Neto 1127) e na E.E.E. de Paraíso, em Guapimirim (J.M.A.Braga 4799).

",
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum","5.1.2 National level","on going","Espécie categorizada como Criticamente em Perigo (CR) na Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção (MMA, 2014). ","MMA, 2014. Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção. Brasil."
HYMENOPHYLLACEAE,"Hymenophyllum sampaioanum","1.1 Site/area protection","on going","Espécie ocorre no interior do Parque Nacional da Serra dos Órgãos (Sylvestre e Mynssen, 2014). ","Sylvestre, L. S. & Mynssen, C. M. 2014. Aspleniaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 19 Mar. 2015"
PTERIDACEAE,"Cheilanthes incisa","5.1.2 National level","on going","Categorizada como Em Perigo (EN) na Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção (MMA, 2014). ","MMA, 2014. Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção. Brasil."
PTERIDACEAE,"Doryopteris tijucana","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional da Tijuca (Sylvestre e Mynssen, 2014).","Sylvestre, L. S. & Mynssen, C. M. 2014. Pteridaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 19 Mar. 2015"
Pteridaceae,"Jamesonia brasiliensis","1.1 Site/area protection","on going","Espécie ocorre no interior do Parque Nacional do Itatiaia, onde ocorre predominantemente no estado do Rio de Janeiro (J.P.S. Condack 411; G. Martinelli 1083).",
PTERIDACEAE,"Pteris congesta","1.1 Site/area protection","on going","Espécie coletada no interior do Parque Nacional da Tijuca (Sylvestre e Mynssen, 2014).","Sylvestre, L. S. & Mynssen, C. M. 2014. Pteridaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em: 19 Mar. 2015"
PTERIDACEAE,"Pteris congesta","5.1.2 National level","on going","Espécie categorizada como Em Perigo na Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção (MMA, 2014).","MMA, 2014. Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção. Brasil."
RUBIACEAE,"Hindsia ramosissima","1 Land/water protection","on going","Foi coletada na APA de Petrópolis (G.Martinelli 16100), no PARNA da Serra dos Órgãos  (A.Kaczmarczyke 27) e na REBIO de Tinguá (S.J.Silva Neto 1652).",
RUBIACEAE,"Hindsia glabra","1 Land/water protection","on going","A espécie tem sido coletada apenas no PARNA do Itatiaia (Oliveira 201).",
RUBIACEAE,"Hindsia glabra","5.4.2 National level","on going","A espécie foi incluída na Lista Vermelha da Flora do Brasil, na categoria Em perigo, EN. (MMA, 2014)
","MINISTÉRIO DO MEIO AMBIENTE. 2014. Portaria No 443, De 17 de Dezembro de 2014. a ""Lista Nacional Oficial de Espécies da Flora Ameaçadas de Extinção"". Diário Oficial [da] República Federativa do Brasil, Poder Executivo, Brasília, DF, 18 dez. 2014 Seção 1, p.110-121."
ERIOCAULACEAE,"Paepalanthus macaheesis","1.1 Site/area protection","on going","A espécie apresenta registro no Parque Estadual do Desengano (Martinelli 12007), no Parque Estadual do Ibitipoca (Forzza 3957) e no Parque Estadual do Forno Grande (Forzza 4991). ",
