family,scientificName,use,resource,details,references
CYPERACEAE,"Bulbostylis lombardii","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","Apresenta potencial ornamental para o uso desidratado em artesanato (Alves et al., 2009).",
FABACEAE,"Desmodium juruenense","2. Food - animal",leaf,"Segundo dados de coleta útil como forrageira (A.L. Prado 3094).",
POACEAE,"Dichanthelium aequivaginatum","17. Unknown",,,
LYTHRACEAE,"Diplusodon argenteus","16. Other","whole plant","É indicada como uma espécie ornamental por apresentar folhas com indumento prateado muito denso (Borges, com. pess.).",
POACEAE,"Guadua magna","9. Construction/structural materials","whole plant","Utilização dos colmos para usos diversos (Filgueiras & Londoño, 2006). Utilizada largamente pela população local para fazer casas e móveis (Juste, 2007).","FILGUEIRAS, T.S.; LONDOÑO, X. A new giant Guadua (Poaceae: Bambusoideae) from central Brazil. In J.G. Almeida & A.A. Teixeira (orgs) Anais do Seminário Nacional de Bambu, Brasília, 13-15 de setembro de 2006. Brasília, Editora UNB, p. 27-32. 2006.;JUSTE, M. Pesquisador encontra 'superbambu' em Goiás. Portal G1: Ciência e Saúde, 2007"
POACEAE,"Guadua magna","7. Fuel","whole plant","Foi realizado estudo de caracterização energética de Guadua Magna para queima direta e produção de carvão, inclusive carvão ativado (Arruda & Quirino, 2006).","ARRUDA, L. M.; QUIRINO, W. F. Caracterização Energética de Bambu (Guadua magna).  3º Congresso Internacional de Bioenergia e BIOTech Fair: Curitiba, Paraná. Disponível em: <http://www.bambubrasileiro.com/arquivos/Caracterizacao%20Energetica%20Guadua%20Magna%20-%20Arruda%20&%20Quirino%202008.pdf>. 2006"
POACEAE,"Guadua magna","6. Other chemicals","whole plant","Resina utilizada na indústria de compensados (Arruda et al., 2011).","ARRUDA, L.M. ; MENEZZI, C.H.S. DEL ; TEIXEIRA, D.E. ; ARAÚJO, P.C. DE M. Lignocellulosic composites from brazilian gian bamboo (""Guadua magna""). Part 1: properties of resin bonded particle-boards : Ciencia y tecnología, Vol.13(1), pp.49-58. 2011"
LORANTHACEAE,"Oryctina eubrachioides","17. Unknown",,,
OCHNACEAE,"Ouratea acicularis","17. Unknown",,,
POACEAE,"Paspalum petrense","12. Handicrafts, jewellery, decorations, curios, etc.","whole plant","A espécie possui inflorescências aladas que geram grande apelo ornamental (Burman, 1980 apud Oliveira et al., 2009). ","OLIVEIRA, R.P.; LONGHI-WAGNER, H.M.; FILGUEIRAS, T. S. et al. Poaceae. In :Plantas raras do Brasil / organizadores, Giulietti, A.M.; Rapini, A.; Andrade, M.J.G. et al – Belo Horizonte, MG : Conservação Internacional. 496 p. : il., fots. color., mapas; 26 cm. Co-editora: Universidade Estadual de Feira de Santana. ISBN: 978-85-98830-12-4. 2009"
ARACEAE,"Philodendron rhizomatosum","12. Handicrafts, jewellery, decorations, curios, etc.",flower,"A espécie possue grande potencial ornamental devido as suas folhas grandes e redondas folhas verdes que fazem contraste com os profilos vermelhos e eretos (Sakuragui et al., 2005).","SAKURAGUI, C.M., MAYO, S.J. ; COELHO, M.A.N. Taxonomic revision of Brazilian species of Philodendron section Macrolebium. Kew Bull, v.60, p. 465-513, 2005."
FABACEAE,"Poiretia bahiana","6. Other chemicals",leaf,"Segundo dados de coleta, as folhas são intensamente aromática (HVASF; Seido, C.L. 6).",
GENTIANACEAE,"Prepusa montana","15. Sport hunting/specimen collecting",flower,"Tanto a Planta toda quanto somente as flores podem ser usadas para ornamentação por sua beleza, apesar de não ser conhecido cultivos na região da espécie (Guimarães, com. pess.).",
GENTIANACEAE,"Prepusa montana","15. Sport hunting/specimen collecting",flower,"Tanto a Planta toda quanto somente as flores podem ser usadas para ornamentação por sua beleza, apesar de não ser conhecido cultivos na região da espécie (Guimarães, com. pess.).",
MYRTACEAE,"Psidium firmum","1. Food - human",fruit,"Araçá, fruto comestível (Vargas & Pires, 2010).","VARGAS, P.O.; PIRES, M.M.Y. Espécies arbóreas nativas do Jardim Botânico da Fafipa, Paranavaí, Paraná. XIX Encontro Anual de Iniciação Científica UNICENTRO. Anais… Guarapuava –PR. Disponível em: <http://anais.unicentro.br/xixeaic/pdf/2207.pdf>., 2010."
APOCYNACEAE,"Rauvolfia ligustrina","3. Medicine - human and veterinary",root,"Planta amplamente distribuída no Nordeste Brasileiro, rica em alcalóides indólicos, conhecida popularmente como “paratudo” e “arrebenta-boi” (Mendonça Neto et al., 2009) e ""fruta-do-sapo"" (Koch et al., 2013), com todas as partes da planta venenosas (Agra et al., 2007). O extrato etanólico das raízes de R. ligustrina apresenta atividade depressora no sistema nervoso central (SNC) (Almeida et al., 2000). Além disso, investigação recente forneceu evidências do possível efeito anticonvulsivante da fração alcalóide total da antena partes da R. ligustrina em camundongos (Quintans-Júnior et al., 2002; 2007).","ALMEIDA, R.N.; DINIZ, S.A.; DINIZ, R.S.T. et al. Avaliação da toxicidade aguda e da atividade psicofarmacologica dos extratos etanólicos brutos de partes aéreas e raízes de Rauvolfi a ligustrina. XVI Simpósio de Plantas Medicinais do Brasil, FM 194, pp 261. 2000;QUINTANS-JÚNIOR, L.J.; ALMEIDA, R.N.; FALCÃO, A.C.G.M. et al. Avaliação da atividade anticonvulsivante de plantas do nordeste brasileiro. Acta Farm Bonaer 21: 179-184. 2002;QUINTANS-JUNIOR, L. J.; SILVA, D.A.; SOUZA; M.F.V. de, et al. Anticonvulsant properties of the total alkaloid fraction of Rauvolfia ligustrina Roem. et Schult. in male mice. Rev. bras. farmacogn. [online], vol.17, n.2, pp. 176-180. ISSN 0102-695X. 2007;MENDONÇA NETTO, S.; WARELA, R.W.B.; FECHINE,M.F. et al., 2009. Anxiolytic-like effect of Rauvolfia ligustrina Willd: ex Roem. & Schult., Apocynaceae, in the elevated plus-maze and hole-board tests. Rev. bras. farmacogn. [online], vol.19, n.4, pp. 888-892. ISSN 0102-695X. 2009;AGRA, M.F.; FRANÇA, P.F.; BARBOSA-FILHO J.M. Synopsis of the plants known as medicinal and poisonous in Northeast of Brazil. Rev Bras Farmacogn 17: 114-140. 2007;KOCH, I.; RAPINI, A.; KINOSHITA, L.S.; SIMÕES, A.O.; SPINA, A.P. 2013. Apocynaceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB15598)"
APOCYNACEAE,"Rauvolfia ligustrina","2. Food - animal",flower,"Quanto à associatividade, encontra-se em equilíbrio, e é pastada por bovinos que comem seus frutos (J.H. de Carvalho 4729). ",
APOCYNACEAE,"Rauvolfia ligustrina","1. Food - human","whole plant","Denominada planta apícola rara (E.M. Jesus 476).",
GENTIANACEAE,"Schultesia crenuliflora","15. Sport hunting/specimen collecting","whole plant","Pode ter uso ornamental, por ser muito bela, mas sem conhecimento de cultivo na região (Guimarães, com. pess.).",
POACEAE,"Sporobolus hians","17. Unknown",,,
XYRIDACEAE,"Xyris diaphanobracteata","13. Pets/display animals, horticulture",flower,"A espécie é utilizada pelo mercado de plantas ornamentais para ser vendida em arranjos de sempre-viva (Borges, 2002).","BORGES L.C. Cerrado: extração da flora nativa para fins ornamentais e medicinais e o desenvolvimento sustentável. Monografia. Faculdade de Ciências da Saúde do Centro Universitário de Brasília, Brasília, Distrito Federal. 2002. 34p."
XYRIDACEAE,"Xyris paradisiaca","13. Pets/display animals, horticulture",flower,"A espécie é utilizada pelo mercado de plantas ornamentais para ser vendida em arranjos de sempre-vivas (Borges, 2002).","BORGES L.C. Cerrado: extração da flora nativa para fins ornamentais e medicinais e o desenvolvimento sustentável. Monografia. Faculdade de Ciências da Saúde do Centro Universitário de Brasília, Brasília, Distrito Federal. 2002. 34p."
XYRIDACEAE,"Xyris picea","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. picea, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris pranceana","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. prancenana, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris rupicola","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X.rupicola, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris spectabilis","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. spectabilis, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris subsetigera","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. subsetigera, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris veruina","15. Sport hunting/specimen collecting",flower,"Apesar de não haver referência direta, X. veruina, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris vestita","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. vestita, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
XYRIDACEAE,"Xyris villosicarinata","13. Pets/display animals, horticulture",flower,"Apesar de não haver referência direta, X. villosicarinata, assim como outras congêneres, pode ser utilizada para compor arranjos de sempre-vivas.",
