family,scientificName,endemic,altitude
MELASTOMATACEAE,"Chaetostoma flavum",yes,1000~1750
MELASTOMATACEAE,"Chaetostoma inerme",yes,1748
MELASTOMATACEAE,"Chaetostoma scoparium",yes,
MELASTOMATACEAE,"Chaetostoma selagineum",yes,975~1250
MELASTOMATACEAE,"Chaetostoma stenocladon",yes,1282
FABACEAE,"Chamaecrista adamantina",yes,950
FABACEAE,"Chamaecrista altoana",yes,1000
FABACEAE,"Chamaecrista caiapo",yes,1000
FABACEAE,"Chamaecrista caracensis",yes,
FABACEAE,"Chamaecrista catapodia",yes,
FABACEAE,"Chamaecrista catiarae",yes,
FABACEAE,"Chamaecrista centiflora",yes,
FABACEAE,"Chamaecrista coradinii",yes,683~830
FABACEAE,"Chamaecrista coriacea",yes,1187
FABACEAE,"Chamaecrista deltoidea",yes,
FABACEAE,"Chamaecrista dumalis",yes,460~700
FABACEAE,"Chamaecrista ericifolia",yes,
FABACEAE,"Chamaecrista fuscescens",yes,
FABACEAE,"Chamaecrista geraldii",yes,
FABACEAE,"Chamaecrista gumminans",yes,1020
FABACEAE,"Chamaecrista gymnothyrsa",yes,1000
FABACEAE,"Chamaecrista hatschbachii",yes,900~1000
FABACEAE,"Chamaecrista itabiritoana",unkown,1750
FABACEAE,"Chamaecrista ixodes",yes,860
FABACEAE,"Chamaecrista lavradioides",yes,1000~1200
FABACEAE,"Chamaecrista leucopilis",yes,1000
FABACEAE,"Chamaecrista macedoi",yes,
FABACEAE,"Chamaecrista ochrosperma",yes,700~1000
FABACEAE,"Chamaecrista pachyclada",yes,
FABACEAE,"Chamaecrista phyllostachya",yes,900
FABACEAE,"Chamaecrista pilicarpa",yes,
FABACEAE,"Chamaecrista polymorpha",unkown,
FABACEAE,"Chamaecrista psoraleopsis",yes,1000
FABACEAE,"Chamaecrista simplifacta",yes,986
FABACEAE,"Chamaecrista vauthieri",yes,900~1370
FABACEAE,"Chamaecrista virginis",yes,
ASTERACEAE,"Chrysolaena dusenii",yes,
CACTACEAE,"Cipocereus pleurocarpus",yes,
POLYGONACEAE,"Coccoloba cereifera",yes,
ERIOCAULACEAE,"Comanthera cipoensis",yes,680~1400
ERIOCAULACEAE,"Comanthera circinnata",yes,1077~1261
ERIOCAULACEAE,"Comanthera curralensis",yes,922~1293
ERIOCAULACEAE,"Comanthera floccosa",yes,500~753
ERIOCAULACEAE,"Comanthera hatschbachii",yes,
MELASTOMATACEAE,"Comolia edmundoi",yes,790~1200
FABACEAE,"Crotalaria goiasensis",yes,975~1380
