family,scientificNameWithoutAuthorship,scientificNameAuthorship
APOCYNACEAE,"Ditassa insignis",Farinaccio
APOCYNACEAE,"Ditassa obscura","(E.Fourn.) Farinaccio & T.U.P.Konno"
APOCYNACEAE,"Mandevilla rubra","Markgr. ex M.F.Sales et al."
APOCYNACEAE,"Mandevilla semirii","M.F.Sales et al."
APOCYNACEAE,"Marsdenia neomanarae",Morillo
APOCYNACEAE,"Marsdenia sessilifolia","(E.Fourn.) Fontella"
APOCYNACEAE,"Marsdenia virgultorum","(E.Fourn.) Malme"
APOCYNACEAE,"Matelea matogrossensis",Fontella
APOCYNACEAE,"Matelea refracta","(E.Fourn.) Morillo"
APOCYNACEAE,"Minaria campanuliflora",Rapini
APOCYNACEAE,"Nephradenia filipes",Malme
APOCYNACEAE,"Oxypetalum habrogynum",Farinaccio
APOCYNACEAE,"Oxypetalum helios",Farinaccio
APOCYNACEAE,"Oxypetalum pardense",E.Fourn.
APOCYNACEAE,"Rauvolfia ligustrina",Willd.
APOCYNACEAE,"Tassadia geniculata",Fontella
APOCYNACEAE,"Tassadia rizzoana",Fontella
APODANTHACEAE,"Apodanthes minarum",Vattimo
AQUIFOLIACEAE,"Ilex mucugensis",Groppo
ARACEAE,"Anthurium megapetiolatum",E.G.Gonç.
ARACEAE,"Philodendron cipoense","Sakur. & Mayo"
ARACEAE,"Philodendron pachyphyllum",K.Krause
ARACEAE,"Philodendron rhizomatosum","Sakur. & Mayo"
ARALIACEAE,"Schefflera botumirimensis","Fiaschi & Pirani"
ARALIACEAE,"Schefflera cephalantha","(Harms) Frodin"
ARALIACEAE,"Schefflera fruticosa","Fiaschi & Pirani"
ARECACEAE,"Attalea pindobassu",Bondar
ARECACEAE,"Syagrus werdermannii",Burret
ASTERACEAE,"Aspilia discolor",J.U.Santos
ASTERACEAE,"Aspilia goiazensis",J.U.Santos
ASTERACEAE,"Aspilia hatschbachii",J.U.Santos
ASTERACEAE,"Aspilia podophylla",Baker
ASTERACEAE,"Aspilia pseudoyedaea",H.Rob.
ASTERACEAE,"Bidens edentula",G.M.Barroso
ASTERACEAE,"Calea irwinii",G.M.Barroso
ASTERACEAE,"Chrysolaena dusenii","(Malme) Dematt."
ASTERACEAE,"Dasyphyllum reticulatum","(DC.) Cabrera"
ASTERACEAE,"Dasyphyllum retinens",S.Moore
ASTERACEAE,"Dasyphyllum trichophyllum","(Baker) Cabrera"
ASTERACEAE,"Eremanthus pabstii",G.M.Barroso
ASTERACEAE,"Ichthyothere mattogrossensis","R.C.A.Pereira & Semir"
ASTERACEAE,"Ichthyothere petiolata",H.Rob.
ASTERACEAE,"Lessingianthus arachniolepis","(Ekman & Dusén) H.Rob."
ASTERACEAE,"Lessingianthus argenteus","(Less.) H.Rob."
ASTERACEAE,"Lessingianthus caiapoensis","(H.Rob.) H.Rob."
ASTERACEAE,"Lessingianthus heringeri","(H.Rob.) H.Rob."
ASTERACEAE,"Lessingianthus rugulosus","(Sch.Bip.) H.Rob."
ASTERACEAE,"Lessingianthus scaposus","(G.M.Barroso) H.Rob."
ASTERACEAE,"Minasia cabralensis",H.Rob.
ASTERACEAE,"Minasia lewinsohnii","Semir & de Jesus"
ASTERACEAE,"Stenophalium heringeri","(H.Rob.) Anderb."
ASTERACEAE,"Stevia resinosa",Gardner
ASTERACEAE,"Vernonanthura almedae","(H.Rob.) H.Rob."
ASTERACEAE,"Vernonanthura lindbergii","(Baker) H.Rob."
ASTERACEAE,"Wedelia souzae",H.Rob.
BALANOPHORACEAE,"Lophophytum rizzoi",Delprete
BIGNONIACEAE,"Adenocalymma subspicatum",A.H.Gentry
BIGNONIACEAE,"Jacaranda racemosa",Cham.
BIGNONIACEAE,"Lundia damazii",DC.
BROMELIACEAE,"Alcantarea burle-marxii","(Leme) J.R.Grant"
BROMELIACEAE,"Alcantarea hatschbachii","(L.B.Sm. & Read) Leme"
BROMELIACEAE,"Cryptanthus leopoldo-horstii",Rauh
BROMELIACEAE,"Dyckia argentea",Mez
BROMELIACEAE,"Dyckia brachyphylla",L.B.Sm.
BROMELIACEAE,"Dyckia bracteata","(Wittm.) Mez"
BROMELIACEAE,"Dyckia densiflora","Schult. & Schult.f."
BROMELIACEAE,"Dyckia elongata",Mez
BROMELIACEAE,"Dyckia mello-barretoi",L.B.Sm.
BROMELIACEAE,"Dyckia pectinata","L.B.Sm. & Reitz"
BROMELIACEAE,"Encholirium reflexum","Forzza & Wand."
BROMELIACEAE,"Lapanthus itambensis","(Versieux & Leme) Louzada & Versieux"
BROMELIACEAE,"Orthophytum mello-barretoi",L.B.Sm.
BROMELIACEAE,"Orthophytum schulzianum","Leme & M.Machado"
BROMELIACEAE,"Pitcairnia curvidens","L.B.Sm. & Read"
BROMELIACEAE,"Tillandsia copynii",Gouda
BROMELIACEAE,"Tillandsia sprengeliana","Klotzsch ex Mez"
BROMELIACEAE,"Vriesea densiflora",Mez
BURSERACEAE,"Protium dawsonii",Cuatrec.
CACTACEAE,"Cipocereus pleurocarpus",F.Ritter
CACTACEAE,"Rhipsalis agudoensis",N.P.Taylor
CALOPHYLLACEAE,"Kielmeyera anisosepala",Saddi
CALOPHYLLACEAE,"Kielmeyera juruensis",Saddi
CALOPHYLLACEAE,"Kielmeyera similis",Saddi
CALOPHYLLACEAE,"Kielmeyera trichophora",Saddi
CAMPANULACEAE,"Lobelia brasiliensis","A.O.S.Vieira & G.J.Sheph."
CARYOPHYLLACEAE,"Paronychia fasciculata",Chaudhri
CELASTRACEAE,"Maytenus opaca",Reissek
CHRYSOBALANACEAE,"Hirtella juruensis",Pilg.
CHRYSOBALANACEAE,"Licania maguirei",Prance
COMMELINACEAE,"Tripogandra elata",D.R.Hunt
COMMELINACEAE,"Tripogandra warmingiana","(Seub.) Handlos"
CONNARACEAE,"Rourea chrysomalla","Glaz. ex G.Schellenb."
CONNARACEAE,"Rourea prancei",Forero
CONNARACEAE,"Rourea tenuis",G.Schellenb.
CONVOLVULACEAE,"Bonamia kuhlmannii",Hoehne
CONVOLVULACEAE,"Evolvulus chapadensis","Glaz. ex Ooststr."
CONVOLVULACEAE,"Evolvulus gnaphalioides",Moric.
CONVOLVULACEAE,"Ipomoea calyptrata",Dammer
CUCURBITACEAE,"Apodanthera villosa",C.Jeffrey
CUCURBITACEAE,"Cayaponia rugosa","Gomes-Klein & Pirani"
CUNONIACEAE,"Lamanonia brasiliensis","Zickel & Leitão"
CYPERACEAE,"Abildgaardia papillosa","Kral & M.T.Strong"
CYPERACEAE,"Bulbostylis lombardii","Kral & M.T.Strong"
CYPERACEAE,"Cryptangium humile","(Nees) Boeckeler"
CYPERACEAE,"Cryptangium polyphyllum","(Nees) Boeckeler"
CYPERACEAE,"Cyperus almensis",D.A.Simpson
CYPERACEAE,"Eleocharis loefgreniana",Boeckeler
CYPERACEAE,"Eleocharis morroi",D.A.Simpson
CYPERACEAE,"Eleocharis olivaceonux",D.A.Simpson
CYPERACEAE,"Lagenocarpus adamantinus",Nees
CYPERACEAE,"Rhynchospora enmanuelis","Luceño & Rocha"
CYPERACEAE,"Rhynchospora tenuis",Link
CYPERACEAE,"Scleria cuyabensis",Pilg.
EBENACEAE,"Diospyros mexiae",Standl.
ERIOCAULACEAE,"Actinocephalus aggregatus",F.N.Costa
ERIOCAULACEAE,"Actinocephalus callophyllus","(Silveira) Sano"
ERIOCAULACEAE,"Actinocephalus compactus","(Gardner) Sano"
ERIOCAULACEAE,"Actinocephalus coutoensis","(Moldenke) Sano"
ERIOCAULACEAE,"Actinocephalus deflexus",F.N.Costa
ERIOCAULACEAE,"Actinocephalus diffusus","(Silveira) Sano"
ERIOCAULACEAE,"Actinocephalus falcifolius","(Körn.) Sano"
ERIOCAULACEAE,"Actinocephalus fimbriatus","(Silveira) Sano"
ERIOCAULACEAE,"Actinocephalus glabrescens","(Silveira) Sano"
ERIOCAULACEAE,"Actinocephalus graminifolius",F.N.Costa
ERIOCAULACEAE,"Actinocephalus herzogii","(Moldenke) Sano"
ERIOCAULACEAE,"Comanthera cipoensis","(Ruhland) L.R.Parra & Giul."
ERIOCAULACEAE,"Comanthera circinnata","(Bong.) L.R.Parra & Giul."
ERIOCAULACEAE,"Comanthera curralensis","(Moldenke) L.R.Parra & Giul."
ERIOCAULACEAE,"Comanthera floccosa","(Moldenke) L.R.Parra & Giul."
ERIOCAULACEAE,"Comanthera hatschbachii","(Moldenke) L.R.Parra & Giul."
ERIOCAULACEAE,"Eriocaulon aquatile",Körn.
ERIOCAULACEAE,"Eriocaulon burchellii",Ruhland
ERIOCAULACEAE,"Eriocaulon cipoense",Silveira
ERIOCAULACEAE,"Eriocaulon griseum",Körn.
ERIOCAULACEAE,"Eriocaulon papillosum",Körn.
ERIOCAULACEAE,"Leiothrix cipoensis",Giul.
ERIOCAULACEAE,"Leiothrix crassifolia","(Bong.) Ruhland"
ERIOCAULACEAE,"Leiothrix distichoclada",Herzog
ERIOCAULACEAE,"Leiothrix luxurians","(Körn.)  Ruhland"
ERIOCAULACEAE,"Leiothrix rupestris",Giul.
ERIOCAULACEAE,"Leiothrix sclerophylla",Silveira
ERIOCAULACEAE,"Leiothrix sinuosa",Giul.
ERIOCAULACEAE,"Leiothrix spiralis","(Bong.) Ruhland"
ERIOCAULACEAE,"Paepalanthus albidus",Gardner
ERIOCAULACEAE,"Paepalanthus albo-tomentosus",Herzog
ERIOCAULACEAE,"Paepalanthus almasensis",Moldenke
ERIOCAULACEAE,"Paepalanthus anamariae",Hensold
ERIOCAULACEAE,"Paepalanthus argenteus","(Bong.) Körn."
ERIOCAULACEAE,"Paepalanthus aureus",Silveira
ERIOCAULACEAE,"Paepalanthus barbiger",Silveira
ERIOCAULACEAE,"Paepalanthus barbulatus",Herzog
ERIOCAULACEAE,"Paepalanthus cinereus","Giul. & L.R.Parra"
ERIOCAULACEAE,"Paepalanthus complanatus",Silveira
ERIOCAULACEAE,"Paepalanthus contasensis",Moldenke
ERIOCAULACEAE,"Paepalanthus cordatus",Ruhland
ERIOCAULACEAE,"Paepalanthus digitiformis",Hensold
ERIOCAULACEAE,"Paepalanthus erigeron","Mart. ex Körn."
ERIOCAULACEAE,"Paepalanthus globulifer",Silveira
ERIOCAULACEAE,"Paepalanthus harleyi",Moldenke
ERIOCAULACEAE,"Paepalanthus homomallus","(Bong.) Mart. ex Körn."
ERIOCAULACEAE,"Paepalanthus inopinatus",Moldenke
ERIOCAULACEAE,"Paepalanthus luetzelburgii",Herzog
ERIOCAULACEAE,"Paepalanthus obtusifolius","(Steud.) Körn."
ERIOCAULACEAE,"Paepalanthus pulvinatus",N.E.Br.
ERIOCAULACEAE,"Paepalanthus revolutus",Hensold
ERIOCAULACEAE,"Paepalanthus rupestris",Gardner
ERIOCAULACEAE,"Paepalanthus senaeanus",Ruhland
ERIOCAULACEAE,"Paepalanthus stannardii","Giul. & L.R.Parra"
ERIOCAULACEAE,"Paepalanthus stuetzelii",Hensold
ERIOCAULACEAE,"Paepalanthus superbus",Ruhland
ERIOCAULACEAE,"Paepalanthus urbanianus",Ruhland
ERIOCAULACEAE,"Syngonanthus bracteosus",Moldenke
ERIOCAULACEAE,"Syngonanthus hygrotrichus",Ruhland
ERIOCAULACEAE,"Syngonanthus latifolius","(Moldenke) Hensold"
EUPHORBIACEAE,"Croton arlineae","D.Medeiros et al."
FABACEAE,"Aeschynomene graminoides",G.P.Lewis
FABACEAE,"Aeschynomene simplicifolia",G.P.Lewis
FABACEAE,"Bauhinia candelabriformis",R.S.Cowan
FABACEAE,"Bauhinia leptantha",Malme
FABACEAE,"Bauhinia malacotrichoides",R.S.Cowan
FABACEAE,"Bocoa ratteri",H.E.Ireland
FABACEAE,"Calliandra gardneri",Benth.
FABACEAE,"Calliandra imbricata","E.R.Souza & L.P.Queiroz"
FABACEAE,"Calliandra linearis",Benth.
FABACEAE,"Calliandra santosiana",Glaz.
FABACEAE,"Calliandra semisepulta",Barneby
FABACEAE,"Chamaecrista adamantina","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista altoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista caiapo","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista caracensis","(Taub. ex H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista catapodia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista catiarae","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista centiflora","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista coradinii","H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista coriacea","(Bong. ex Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista deltoidea","Hervencio & L.P.Queiroz"
FABACEAE,"Chamaecrista dumalis","(Hoehne) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista ericifolia","(Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista fuscescens","(Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista geraldii","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista gumminans","H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista hatschbachii","H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista itabiritoana","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista ixodes","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista lavradioides","(Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista leucopilis","(Glaz. ex Harms) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista macedoi","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista ochrosperma","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista pachyclada","(Harms) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista phyllostachya","(Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista pilicarpa","(Glaz. ex Harms) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista polymorpha","(Glaz. ex Harms) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista psoraleopsis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista simplifacta","H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista vauthieri","(Benth.) H.S.Irwin & Barneby"
FABACEAE,"Chamaecrista virginis","(H.S.Irwin & Barneby) H.S.Irwin & Barneby"
FABACEAE,"Crotalaria goiasensis","Windler & S.G.Skinner"
FABACEAE,"Crotalaria irwinii","Windler & S.G.Skinner"
FABACEAE,"Crotalaria rufipila",Benth.
FABACEAE,"Desmodium glabrescens",Malme
FABACEAE,"Desmodium juruenense",Hoehne
FABACEAE,"Mimosa cryptothamnos",Barneby
FABACEAE,"Mimosa cyclophylla",Taub.
FABACEAE,"Mimosa decorticans",Barneby
FABACEAE,"Mimosa humivagans",Barneby
FABACEAE,"Mimosa laniceps",Barneby
FABACEAE,"Mimosa lepidophora",Rizzini
FABACEAE,"Mimosa manidea",Barneby
FABACEAE,"Mimosa oligosperma",Barneby
FABACEAE,"Mimosa pycnocoma",Benth.
FABACEAE,"Mimosa pyrenea",Taub.
FABACEAE,"Mimosa regina",Barneby
FABACEAE,"Mimosa setosissima",Taub.
FABACEAE,"Mimosa splendida",Barneby
FABACEAE,"Mimosa ulbrichiana",Harms
FABACEAE,"Mimosa ulei",Taub.
FABACEAE,"Mimosa virgula",Barneby
FABACEAE,"Moldenhawera acuminata","Afr.Fern. & P.Bezerra"
FABACEAE,"Poiretia bahiana","Müll. Hal."
FABACEAE,"Poiretia marginata","Müll. Hal."
FABACEAE,"Poiretia unifoliolata","Barreto ex A.B.Martins & Pedersoli"
FABACEAE,"Zornia glaziovii",Harms
FABACEAE,"Zornia subsessilis","Fort.-Perez & A.M.G.Azevedo"
GENTIANACEAE,"Prepusa montana",Mart.
GENTIANACEAE,"Schultesia bahiensis","E.F.Guim. & Fontella"
GENTIANACEAE,"Schultesia crenuliflora",Mart.
GENTIANACEAE,"Schultesia irwiniana","E.F.Guim. & Fontella"
GENTIANACEAE,"Schultesia pachyphylla",Griseb.
GENTIANACEAE,"Schultesia piresiana","E.F.Guim. & Fontella"
GENTIANACEAE,"Schultesia sucreana","E.F.Guim. & Fontella"
GESNERIACEAE,"Paliavana plumerioides",Chautems
LAMIACEAE,"Eriope angustifolia",Epling
LAMIACEAE,"Eriope confusa",Harley
LAMIACEAE,"Eriope filifolia",Benth.
LAMIACEAE,"Eriope montana",Harley
LAMIACEAE,"Eriope sincorana",Harley
LAMIACEAE,"Eriope xavantium",Harley
LAMIACEAE,"Hypenia concinna","(Benth.) Harley"
LAMIACEAE,"Hypenia paradisi","(Harley) Harley"
LAMIACEAE,"Hyptidendron dictiocalyx","(Benth.) Harley"
LAMIACEAE,"Hyptis argyrophylla",Harley
LAMIACEAE,"Hyptis asteroides","A.St.-Hil. ex Benth."
LAMIACEAE,"Hyptis caduca",Epling
LAMIACEAE,"Hyptis coriacea",Benth.
LAMIACEAE,"Hyptis cuniloides",Epling
LAMIACEAE,"Hyptis dictyodea","Pohl ex Benth."
LAMIACEAE,"Hyptis hagei",Harley
LAMIACEAE,"Hyptis halimifolia","Mart. ex Benth."
LAMIACEAE,"Hyptis heterophylla",Benth.
LAMIACEAE,"Hyptis humilis",Benth.
LAMIACEAE,"Hyptis irwinii",Harley
LAMIACEAE,"Hyptis loeseneriana",Pilg.
LAMIACEAE,"Hyptis nivea",Epling
LAMIACEAE,"Hyptis nubicola",Harley
LAMIACEAE,"Hyptis silvinae",Harley
LAMIACEAE,"Hyptis tenuifolia",Epling
LENTIBULARIACEAE,"Utricularia huntii",P.Taylor
LOGANIACEAE,"Strychnos cerradoensis","Krukoff & Barneby"
LORANTHACEAE,"Oryctina eubrachioides",Kuijt
LORANTHACEAE,"Psittacanthus acinarius","(Mart.) Mart."
LORANTHACEAE,"Struthanthus microstylus",Rizzini
LORANTHACEAE,"Struthanthus planaltinae",Rizzini
LORANTHACEAE,"Struthanthus pusillifolius",Rizzini
LORANTHACEAE,"Struthanthus rufo-furfuraceus",Rizzini
LYTHRACEAE,"Cuphea anamariae","T.B.Cavalc. & S.A.Graham"
LYTHRACEAE,"Cuphea cunninghamiifolia",T.B.Cavalc.
LYTHRACEAE,"Cuphea disperma",Koehne
LYTHRACEAE,"Cuphea fuchsiifolia",A.St.-Hil.
LYTHRACEAE,"Cuphea glareosa",T.B.Cavalc.
LYTHRACEAE,"Cuphea lucens","T.B.Cavalc. & S.A.Graham"
LYTHRACEAE,"Cuphea potamophila","T.B.Cavalc. & S.A.Graham"
LYTHRACEAE,"Cuphea sclerophylla",Koehne
LYTHRACEAE,"Cuphea sincorana",T.B.Cavalc.
LYTHRACEAE,"Cuphea warmingii",Koehne
LYTHRACEAE,"Cuphea xanthopetala","S.A.Graham & T.B.Cavalc."
LYTHRACEAE,"Diplusodon adpressipilus",Lourteig
LYTHRACEAE,"Diplusodon alatus",T.B.Cavalc.
LYTHRACEAE,"Diplusodon appendiculosus",Lourteig
LYTHRACEAE,"Diplusodon argenteus",Lourteig
LYTHRACEAE,"Diplusodon bradei",Pilg.
LYTHRACEAE,"Diplusodon canastrensis",T.B.Cavalc.
LYTHRACEAE,"Diplusodon capitalensis",T.B.Cavalc.
LYTHRACEAE,"Diplusodon capitatus","(A. St.-Hil.) Koehne"
LYTHRACEAE,"Diplusodon chapadensis",T.B.Cavalc.
LYTHRACEAE,"Diplusodon decussatus",Gardner
LYTHRACEAE,"Diplusodon floribundus",Pohl
LYTHRACEAE,"Diplusodon glocimarii",T.B.Cavalc.
LYTHRACEAE,"Diplusodon grahamae",T.B.Cavalc.
LYTHRACEAE,"Diplusodon heringeri",Lourteig
LYTHRACEAE,"Diplusodon longipes",Koehne
LYTHRACEAE,"Diplusodon mattogrossensis",T.B.Cavalc.
LYTHRACEAE,"Diplusodon mononeuros",Pilg.
LYTHRACEAE,"Diplusodon parvifolius","Mart. ex DC."
LYTHRACEAE,"Diplusodon petiolatus","(Koehne) T.B. Cavalc."
LYTHRACEAE,"Diplusodon plumbeus",T.B.Cavalc.
LYTHRACEAE,"Diplusodon pygmaeus",T.B.Cavalc.
LYTHRACEAE,"Diplusodon rosmarinifolius",A.St.-Hil.
LYTHRACEAE,"Diplusodon rotundifolius",DC.
LYTHRACEAE,"Diplusodon rupestris",T.B.Cavalc.
LYTHRACEAE,"Diplusodon saxatilis",Lourteig
LYTHRACEAE,"Diplusodon sigillatus",Lourteig
LYTHRACEAE,"Diplusodon sordidus",Koehne
LYTHRACEAE,"Diplusodon thysanosepalus",Lourteig
LYTHRACEAE,"Diplusodon trigintus",T.B.Cavalc.
MALPIGHIACEAE,"Acmanthera fernandesii",W.R.Anderson
MALPIGHIACEAE,"Amorimia velutina",W.R.Anderson
MALPIGHIACEAE,"Banisteriopsis arborea",B.Gates
MALPIGHIACEAE,"Banisteriopsis byssacea",B.Gates
MALPIGHIACEAE,"Banisteriopsis goiana",B.Gates
MALPIGHIACEAE,"Byrsonima cordifolia",W.R.Anderson
MALPIGHIACEAE,"Byrsonima hatschbachii",W.R.Anderson
MALPIGHIACEAE,"Janusia christianeae",W.R.Anderson
MALPIGHIACEAE,"Mascagnia aptera",W.R.Anderson
MALPIGHIACEAE,"Peixotoa anadenanthera",C.E.Anderson
MALPIGHIACEAE,"Peixotoa axillaris",C.E.Anderson
MALPIGHIACEAE,"Peixotoa gardneri",C.E.Anderson
MALPIGHIACEAE,"Peixotoa irwinii",C.E.Anderson
MALPIGHIACEAE,"Peixotoa octoflora",C.E.Anderson
MALPIGHIACEAE,"Pterandra hatschbachii",W.R.Anderson
MALPIGHIACEAE,"Pterandra viridiflora",C.E.Anderson
MALPIGHIACEAE,"Stigmaphyllon jobertii",C.E.Anderson
MELASTOMATACEAE,"Cambessedesia pityrophylla","(Mart. ex DC.) A.B.Martins"
MELASTOMATACEAE,"Cambessedesia salviifolia","(Cham.) A.B.Martins"
MELASTOMATACEAE,"Cambessedesia semidecandra","A.St.-Hil. ex A.B.Martins"
MELASTOMATACEAE,"Chaetostoma cupressimum","(D.Don) C.Koschnitzke & A.B.Martins"
MELASTOMATACEAE,"Chaetostoma flavum","C.Koschnitzke & A.B.Martins"
MELASTOMATACEAE,"Chaetostoma inerme",Naudin
MELASTOMATACEAE,"Chaetostoma selagineum","(Naudin) C.Koschnitzke & A.B.Martins"
MELASTOMATACEAE,"Chaetostoma stenocladon","(Naudin) C.Koschnitzke & A.B.Martins"
MELASTOMATACEAE,"Comolia edmundoi",Brade
MELASTOMATACEAE,"Lavoisiera adamantium","Barreto ex Pedersoli"
MELASTOMATACEAE,"Lavoisiera angustifolia",Cogn.
MELASTOMATACEAE,"Lavoisiera bradeana",Barreto
MELASTOMATACEAE,"Lavoisiera caryophyllea","A.St.-Hil. ex Naudin"
MELASTOMATACEAE,"Lavoisiera firmula","Mart. & Schrank ex DC."
MELASTOMATACEAE,"Lavoisiera harleyi",Wurdack
MELASTOMATACEAE,"Lavoisiera humilis",Naudin
MELASTOMATACEAE,"Lavoisiera macrocarpa",Naudin
MELASTOMATACEAE,"Lavoisiera mucorifera","Mart. & Schrank ex DC."
MELASTOMATACEAE,"Lavoisiera punctata","Mart. & Schrank ex DC."
MELASTOMATACEAE,"Lavoisiera senaei",Schwacke
MELASTOMATACEAE,"Lavoisiera subulata",Triana
MELASTOMATACEAE,"Lavoisiera tetragona","Mart. & Schrank ex DC."
MELASTOMATACEAE,"Microlicia balsamifera","(DC.) Mart."
MELASTOMATACEAE,"Microlicia cipoana",Hoehne
MELASTOMATACEAE,"Microlicia crebropunctata",Pilg.
MELASTOMATACEAE,"Microlicia giuliettiana","A.B.Martins & Almeda"
MELASTOMATACEAE,"Microlicia minima",Markgr.
MELASTOMATACEAE,"Microlicia monticola",Wurdack
MELASTOMATACEAE,"Microlicia mucugensis","(Wurdack) Almeda & A.B.Martins"
MELASTOMATACEAE,"Microlicia noblickii","(Wurdack) A.B.Martins & Almeda"
MELASTOMATACEAE,"Microlicia oligochaeta",Wurdack
MELASTOMATACEAE,"Microlicia ordinata","(Wurdack) Almeda & A.B.Martins"
MELASTOMATACEAE,"Microlicia petasensis",Wurdack
MELASTOMATACEAE,"Microlicia pinheiroi",Wurdack
MELASTOMATACEAE,"Microlicia scoparia","(A.St.-Hil.) DC."
MELASTOMATACEAE,"Microlicia sincorensis","(DC.) Mart."
MELASTOMATACEAE,"Microlicia subaequalis",Wurdack
MELASTOMATACEAE,"Microlicia subalata",Wurdack
MELASTOMATACEAE,"Microlicia suborbicularifolia",Hoehne
MELASTOMATACEAE,"Microlicia tenuifolia",R.Romero
MELASTOMATACEAE,"Microlicia trichocalycina",DC.
MELASTOMATACEAE,"Microlicia vernicosa","(Barreto ex Pedersoli) A.B.Martins & Almeda"
MELASTOMATACEAE,"Pterolepis rotundifolia",Wurdack
MELASTOMATACEAE,"Trembleya rosmarinoides",DC.
MONIMIACEAE,"Macropeplus schwackeanus","(Perkins) I.Santos & Peixoto"
MORACEAE,"Dorstenia contensis","Carauta & C.C.Berg"
MORACEAE,"Dorstenia strangii",Carauta
MORACEAE,"Ficus carautana","L.J.Neves & Emygdio"
MYRTACEAE,"Calycolpus australis",Landrum
MYRTACEAE,"Plinia nana",Sobral
MYRTACEAE,"Psidium firmum",O.Berg
OCHNACEAE,"Luxemburgia ciliatibracteata",Sastre
OCHNACEAE,"Luxemburgia damazioana",Beauverd
