family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
ASTERACEAE,"Chrysolaena dusenii","(Malme) Dematt.","Chrysolaena dusenii"
ASTERACEAE,"Dasyphyllum reticulatum","(DC.) Cabrera","Dasyphyllum reticulatum"
ASTERACEAE,"Dasyphyllum retinens",S.Moore,"Dasyphyllum retinens"
ASTERACEAE,"Dasyphyllum trichophyllum","(Baker) Cabrera","Dasyphyllum trichophyllum"
ASTERACEAE,"Eremanthus pabstii",G.M.Barroso,"Eremanthus pabstii"
ASTERACEAE,"Ichthyothere mattogrossensis","R.C.A.Pereira & Semir","Ichthyothere mattogrossensis"
ASTERACEAE,"Ichthyothere petiolata",H.Rob.,"Ichthyothere petiolata"
ASTERACEAE,"Lessingianthus arachniolepis","(Ekman & Dusén) H.Rob.","Lessingianthus arachniolepis"
ASTERACEAE,"Lessingianthus argenteus","(Less.) H.Rob.","Lessingianthus argenteus"
ASTERACEAE,"Lessingianthus caiapoensis","(H.Rob.) H.Rob.","Lessingianthus caiapoensis"
ASTERACEAE,"Lessingianthus heringeri","(H.Rob.) H.Rob.","Lessingianthus heringeri"
ASTERACEAE,"Lessingianthus rugulosus","(Sch.Bip.) H.Rob.","Lessingianthus rugulosus"
ASTERACEAE,"Lessingianthus scaposus","(G.M.Barroso) H.Rob.","Lessingianthus scaposus"
ASTERACEAE,"Minasia cabralensis",H.Rob.,"Minasia cabralensis"
ASTERACEAE,"Minasia lewinsohnii","Semir & de Jesus","Minasia lewinsohnii"
ASTERACEAE,"Stenophalium heringeri","(H.Rob.) Anderb.","Stenophalium heringeri"
ASTERACEAE,"Stevia resinosa",Gardner,"Stevia resinosa"
ASTERACEAE,"Vernonanthura almedae","(H.Rob.) H.Rob.","Vernonanthura almedae"
ASTERACEAE,"Vernonanthura lindbergii","(Baker) H.Rob.","Vernonanthura lindbergii"
ASTERACEAE,"Wedelia souzae",H.Rob.,"Wedelia souzae"
BALANOPHORACEAE,"Lophophytum rizzoi",Delprete,"Lophophytum rizzoi"
BIGNONIACEAE,"Adenocalymma subspicatum",A.H.Gentry,"Adenocalymma subspicatum"
BIGNONIACEAE,"Jacaranda racemosa",Cham.,"Jacaranda racemosa"
BIGNONIACEAE,"Lundia damazii",DC.,"Lundia damazii"
BROMELIACEAE,"Alcantarea burle-marxii","(Leme) J.R.Grant","Alcantarea burle-marxii"
BROMELIACEAE,"Alcantarea hatschbachii","(L.B.Sm. & Read) Leme","Alcantarea hatschbachii"
BROMELIACEAE,"Cryptanthus leopoldo-horstii",Rauh,"Cryptanthus leopoldo-horstii"
BROMELIACEAE,"Dyckia argentea",Mez,"Dyckia argentea"
BROMELIACEAE,"Dyckia brachyphylla",L.B.Sm.,"Dyckia brachyphylla"
BROMELIACEAE,"Dyckia bracteata","(Wittm.) Mez","Dyckia bracteata"
BROMELIACEAE,"Dyckia densiflora","Schult. & Schult.f.","Dyckia densiflora"
BROMELIACEAE,"Dyckia elongata",Mez,"Dyckia elongata"
BROMELIACEAE,"Dyckia mello-barretoi",L.B.Sm.,"Dyckia mello-barretoi"
BROMELIACEAE,"Dyckia pectinata","L.B.Sm. & Reitz","Dyckia pectinata"
BROMELIACEAE,"Encholirium reflexum","Forzza & Wand.","Encholirium reflexum"
BROMELIACEAE,"Lapanthus itambensis","(Versieux & Leme) Louzada & Versieux","Lapanthus itambensis"
BROMELIACEAE,"Orthophytum mello-barretoi",L.B.Sm.,"Orthophytum mello-barretoi"
BROMELIACEAE,"Orthophytum schulzianum","Leme & M.Machado","Orthophytum schulzianum"
BROMELIACEAE,"Pitcairnia curvidens","L.B.Sm. & Read","Pitcairnia curvidens"
BROMELIACEAE,"Tillandsia copynii",Gouda,"Tillandsia copynii"
BROMELIACEAE,"Tillandsia sprengeliana","Klotzsch ex Mez","Tillandsia sprengeliana"
BROMELIACEAE,"Vriesea densiflora",Mez,"Vriesea densiflora"
BURSERACEAE,"Protium dawsonii",Cuatrec.,"Protium dawsonii"
CACTACEAE,"Cipocereus pleurocarpus",F.Ritter,"Cipocereus pleurocarpus"
CACTACEAE,"Rhipsalis agudoensis",N.P.Taylor,"Rhipsalis agudoensis"
CALOPHYLLACEAE,"Kielmeyera anisosepala",Saddi,"Kielmeyera anisosepala"
CALOPHYLLACEAE,"Kielmeyera juruensis",Saddi,"Kielmeyera juruensis"
CALOPHYLLACEAE,"Kielmeyera similis",Saddi,"Kielmeyera similis"
CALOPHYLLACEAE,"Kielmeyera trichophora",Saddi,"Kielmeyera trichophora"
CAMPANULACEAE,"Lobelia brasiliensis","A.O.S.Vieira & G.J.Sheph.","Lobelia brasiliensis"
CARYOPHYLLACEAE,"Paronychia fasciculata",Chaudhri,"Paronychia fasciculata"
CELASTRACEAE,"Maytenus opaca",Reissek,"Maytenus opaca"
CHRYSOBALANACEAE,"Hirtella juruensis",Pilg.,"Hirtella juruensis"
CHRYSOBALANACEAE,"Licania maguirei",Prance,"Licania maguirei"
COMMELINACEAE,"Tripogandra elata",D.R.Hunt,"Tripogandra elata"
COMMELINACEAE,"Tripogandra warmingiana","(Seub.) Handlos","Tripogandra warmingiana"
CONNARACEAE,"Rourea chrysomalla","Glaz. ex G.Schellenb.","Rourea chrysomalla"
CONNARACEAE,"Rourea prancei",Forero,"Rourea prancei"
CONNARACEAE,"Rourea tenuis",G.Schellenb.,"Rourea tenuis"
CONVOLVULACEAE,"Bonamia kuhlmannii",Hoehne,"Bonamia kuhlmannii"
CONVOLVULACEAE,"Evolvulus chapadensis","Glaz. ex Ooststr.","Evolvulus chapadensis"
CONVOLVULACEAE,"Evolvulus gnaphalioides",Moric.,"Evolvulus gnaphalioides"
CONVOLVULACEAE,"Ipomoea calyptrata",Dammer,"Ipomoea calyptrata"
CUCURBITACEAE,"Apodanthera villosa",C.Jeffrey,"Apodanthera villosa"
CUCURBITACEAE,"Cayaponia rugosa","Gomes-Klein & Pirani","Cayaponia rugosa"
CUNONIACEAE,"Lamanonia brasiliensis","Zickel & Leitão","Lamanonia brasiliensis"
CYPERACEAE,"Abildgaardia papillosa","Kral & M.T.Strong","Abildgaardia papillosa"
CYPERACEAE,"Bulbostylis lombardii","Kral & M.T.Strong","Bulbostylis lombardii"
CYPERACEAE,"Cryptangium humile","(Nees) Boeckeler","Cryptangium humile"
CYPERACEAE,"Cryptangium polyphyllum","(Nees) Boeckeler","Cryptangium polyphyllum"
CYPERACEAE,"Cyperus almensis",D.A.Simpson,"Cyperus almensis"
CYPERACEAE,"Eleocharis loefgreniana",Boeckeler,"Eleocharis loefgreniana"
CYPERACEAE,"Eleocharis morroi",D.A.Simpson,"Eleocharis morroi"
CYPERACEAE,"Eleocharis olivaceonux",D.A.Simpson,"Eleocharis olivaceonux"
