"family","scientificName","analysis","assessment","category","criteria"
"ASTERACEAE","Dasyphyllum trichophyllum","done","comments","VU","B1ab(i,ii,iii)"
"ASTERACEAE","Eremanthus pabstii","done","comments","EN","B1ab(iii)+2ab(iii)"
"ASTERACEAE","Ichthyothere mattogrossensis","done","comments","DD",""
"ASTERACEAE","Ichthyothere petiolata","done","comments","DD",""
"ASTERACEAE","Lessingianthus arachniolepis","done","comments","VU","B2ab(i,iii)"
"ASTERACEAE","Lessingianthus argenteus","done","comments","VU","B1ab(i,ii,iii)"
"ASTERACEAE","Lessingianthus caiapoensis","done","comments","DD",""
"ASTERACEAE","Lessingianthus heringeri","done","comments","EN","B1ab(iii)+2ab(iii)"
"ASTERACEAE","Lessingianthus rugulosus","done","comments","DD",""
"ASTERACEAE","Lessingianthus scaposus","done","comments","DD",""
"ASTERACEAE","Minasia cabralensis","done","comments","EN","B1ab(i,iii)+2ab(i,iii)"
"ASTERACEAE","Minasia lewinsohnii","done","comments","DD",""
"ASTERACEAE","Stenophalium heringeri","done","comments","DD",""
"ASTERACEAE","Stevia resinosa","done","comments","VU","B1ab(iii)"
"ASTERACEAE","Vernonanthura almedae","done","comments","EN","B2ab(i,iii)"
"ASTERACEAE","Vernonanthura lindbergii","done","comments","DD",""
"ASTERACEAE","Wedelia souzae","done","comments","EN","B1ab(i,iii)+2ab(i,iii)"
"BALANOPHORACEAE","Lophophytum rizzoi","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BIGNONIACEAE","Adenocalymma subspicatum","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"BIGNONIACEAE","Jacaranda racemosa","done","comments","LC",""
"BIGNONIACEAE","Lundia damazii","done","comments","VU","A4b"
"BROMELIACEAE","Alcantarea burle-marxii","done","comments","DD",""
"BROMELIACEAE","Alcantarea hatschbachii","done","comments","DD",""
"BROMELIACEAE","Cryptanthus leopoldo-horstii","done","comments","DD",""
"BROMELIACEAE","Dyckia argentea","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BROMELIACEAE","Dyckia brachyphylla","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BROMELIACEAE","Dyckia bracteata","done","comments","LC",""
"BROMELIACEAE","Dyckia densiflora","done","comments","DD",""
"BROMELIACEAE","Dyckia elongata","done","comments","DD",""
"BROMELIACEAE","Dyckia mello-barretoi","done","comments","DD",""
"BROMELIACEAE","Dyckia pectinata","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BROMELIACEAE","Encholirium reflexum","done","comments","DD",""
"BROMELIACEAE","Lapanthus itambensis","done","comments","DD",""
"BROMELIACEAE","Orthophytum mello-barretoi","done","comments","VU","B1ab(i,ii,iii)"
"BROMELIACEAE","Orthophytum schulzianum","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BROMELIACEAE","Pitcairnia curvidens","done","comments","NT",""
"BROMELIACEAE","Tillandsia copynii","done","comments","DD",""
"BROMELIACEAE","Tillandsia sprengeliana","done","comments","NT",""
"BROMELIACEAE","Vriesea densiflora","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"BURSERACEAE","Protium dawsonii","done","comments","LC",""
"CACTACEAE","Cipocereus pleurocarpus","done","comments","NT",""
"CACTACEAE","Rhipsalis agudoensis","done","comments","DD",""
"CALOPHYLLACEAE","Kielmeyera anisosepala","done","comments","DD",""
"CALOPHYLLACEAE","Kielmeyera juruensis","done","comments","DD",""
"CALOPHYLLACEAE","Kielmeyera similis","done","comments","CR","D1"
"CALOPHYLLACEAE","Kielmeyera trichophora","done","comments","CR","B2ab(i,ii,iii,iv);D1"
"CAMPANULACEAE","Lobelia brasiliensis","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii)"
"CARYOPHYLLACEAE","Paronychia fasciculata","done","comments","CR","B2ab(i,ii,iii,iv)"
"CELASTRACEAE","Maytenus opaca","done","comments","NT",""
"CHRYSOBALANACEAE","Hirtella juruensis","done","comments","EN","B2ab(i,ii,iii,iv)"
"CHRYSOBALANACEAE","Licania maguirei","done","comments","EN","B2ab(i,ii,iii,iv)"
"COMMELINACEAE","Tripogandra elata","done","open","EN","B2ab(i,ii,iii,iv,v)"
"COMMELINACEAE","Tripogandra warmingiana","done","comments","VU","A4c;B2ab(i,ii,iii,iv)"
"CONNARACEAE","Rourea chrysomalla","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"CONNARACEAE","Rourea prancei","done","comments","DD",""
"CONNARACEAE","Rourea tenuis","done","comments","DD",""
"CONVOLVULACEAE","Bonamia kuhlmannii","done","comments","CR","B2ab(i,ii,iii,iv)"
"CONVOLVULACEAE","Evolvulus chapadensis","done","comments","EN","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"CONVOLVULACEAE","Evolvulus gnaphalioides","done","comments","EN","B2ab(i,ii,iii,iv)"
"CONVOLVULACEAE","Ipomoea calyptrata","done","comments","DD",""
"CUCURBITACEAE","Apodanthera villosa","done","comments","VU","B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
"CUCURBITACEAE","Cayaponia rugosa","done","comments","DD",""
"CUNONIACEAE","Lamanonia brasiliensis","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
"CYPERACEAE","Abildgaardia papillosa","done","comments","CR","B2ab(ii,iii)"
"CYPERACEAE","Bulbostylis lombardii","done","comments","NT",""
"CYPERACEAE","Cryptangium humile","done","comments","EN","B2ab(iii)"
"CYPERACEAE","Cryptangium polyphyllum","done","comments","EN","B2ab(iii)"
"CYPERACEAE","Cyperus almensis","done","comments","EN","B1ab(iii)+2ab(iii)"
"CYPERACEAE","Eleocharis loefgreniana","done","comments","LC",""
"CYPERACEAE","Eleocharis morroi","done","comments","EN","B1ab(iii)+2ab(iii)"
"CYPERACEAE","Eleocharis olivaceonux","done","comments","EN","B1ab(ii,iii)+2ab(ii,iii)"
"CYPERACEAE","Lagenocarpus adamantinus","done","comments","VU","B1ab(iii)"
"CYPERACEAE","Rhynchospora enmanuelis","done","comments","EN","B1ab(iii)+2ab(iii)"
"CYPERACEAE","Rhynchospora tenuis","done","comments","LC",""
"CYPERACEAE","Scleria cuyabensis","done","comments","NT",""
"EBENACEAE","Diospyros mexiae","done","comments","EN","B1ab(iii)+2ab(iii)"
"ERIOCAULACEAE","Actinocephalus aggregatus","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus callophyllus","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus compactus","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus coutoensis","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus deflexus","done","comments","EN","B2ab(i,ii,iii)"
"ERIOCAULACEAE","Actinocephalus diffusus","done","comments","DD",""
"ERIOCAULACEAE","Actinocephalus falcifolius","done","comments","EN","B1ab(i,ii,iii)+2ab(i,ii,iii)"
