family,scientificName,action,situation,details,references
FABACEAE,"Aeschynomene simplicifolia","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (Queiroz et al., 2009).","QUEIROZ, L.P.;  CARDOSO, D.B.O.S.; CONCEIÇÃO; A. S.; SOUZA, E.R.; TOZZI, A.M.G., PÉREZ, A.P.F., SILVA, M.J.; SIMON, M.F.; MARSANO, V.F.; COSTA, J.A.S.; RODRIGUES,  W.A.; LIMA, L.C.P.L.;  BOCAGE, A. Leguminosae. In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 2009. p. 212- 237."
ALSTROEMERIACEAE,"Alstroemeria chapadensis","1.1 Site/area protection","on going","Presente em Unidade de Conservação, no Parque Nacional da Chapada dos Guimarães (ICMBio, 2009).","ICMBio. Plano de Manejo Parque Nacional da Chapada dos Guimarães. Ministério do Meio Ambeinte: Chapada dos Guimarães, MT, 2009. Pp. 1-234."
MALPIGHIACEAE,"Amorimia velutina","1.1 Site/area protection",needed,"A espécie foi registrada dentro de uma Unidade de Conservação de uso sustentável (APA da Serra do Sabonetal, MG); não existem registros deste táxon em Unidades de Conservação de proteção integral (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
POACEAE,"Andropogon campestris","1.1 Site/area protection","on going","A espécie ocorre na região da Serra da Lapa, podendo estar na área do Parque Nacional da Serra do Cipó (MMA/ICMBIO, 2009).","MMA/ICMBio. Plano de Manejo para o Parque Nacional da Serra do Cipó e Área de Proteção Ambiental Morro da Pedreira. Disponível em: <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/Encarte%201_c.pdf>. 2009. Acessado em: 03 set. 2013."
PLANTAGINACEAE,"Angelonia pratensis","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional Grande Sertão Veredas, no estado de Minas Gerais (R.C. Mendonça 3335).",
ARACEAE,"Anthurium megapetiolatum","1.1 Site/area protection","on going","Ocorre no Parque Nacional do Caparaó (M.C. Brügger 0327) e no  Parque Natural Municipal do Ribeirão do Campo  no Estado de Minas Gerais (R.C. Mota 1824). ",
POLYGALACEAE,"Asemeia pohliana","1.1 Site/area protection",,"A espécie ocorre dentro dos limites do Parque Nacional da Serra da Canastra (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/> "
POACEAE,"Axonopus aureus","1.1 Site/area protection","on going","A espécie possui registros de coleta  em Unidades de Conservação de diferentes estados como: Paraíba na Reserva Biológica Guaribas (L.P. Felix 4022); em Sergipe no Parque Nacional da Serra de Itabaiana (J.E. Nascimento-Júnior 93); em Goiás no Parque Estadual Serra dos Pirineus (Miranda et al. s.n., HUEG 1444), Reserva biológica da Serra Dourada (J.A. Rizzo 4349), Parque Nacional Chapada dos Veadeiros (F.C.A. Oliveira et al. 408); no Distrito Federal no Parque Nacional de Brasília (M. Barros et al. 2240) e na Reserva Ecológica do IBGE (M. Aparecida da Silva 6976); no Espírito Santo no Parque Estadual Paulo Cesar Vinha (O.J. Pereira 2336); em Minas Gerais no Parque Nacional Grande Sertão Veredas (R. Rodrigues-da-Silva et al. 377), Parque Estadual Ibitipoca (R. Dias-Melo 161), Parque Estadual Rola Moça (H.M. Longhi-Wagner9115), Reserva Ecológica do Panga (A.J.M. Guimarães s.n., CESJ 47943), RPPN Magnesita S/A (M.B. Roschel et al. s.n., OUPR; 15580), Reserva do Clube de Caça e Pesca Itroró (A.F. Amaral s.n., HUFU 27908) e Estação Ambiental Galheiros (E.H. Amorim 843); e em São Paulo no Parque do Estado (T. Sendulsky 1190), no Parque Estadual Furnas do Bom Jesus (A.T. Nakamura et al. s.n., ICN 137787) e Estação Ecológica de Itirapina (J.L.S. Tannus 590).",
POACEAE,"Axonopus grandifolius","1.1 Site/area protection",needed,"Santana de Pirapama está em uma área entre o Parque Nacional da Serra do Cipó e a região de Diamantina (Zappi et al., 2010). Porém, não está incluída dentro de nenhuma área protegida, apesar de ser  estratégica sua proteção, já que está inserida dentro de um possível corredor ecológico de ligação entre a região central e a região Meridional da Serra do Espinhaço (Zappi et al., 2010). É extremamente alta a prioridade de preservação da região meridional da Cadeia do Espinhaço em Minas Gerais, com base em fatores bióticos e abióticos, havendo necessidade de incluir essas áreas em um plano mais coordenado para a conservação da biodiversidade na região (Drummond et al., 2005 apud Zappi et al., 2010) ","ZAPPI, D.; BAENA, S.; MILLIKEN, W. Projeto Flora Toucan Cipó,  Santana de Pirapama - MG. Relatório e Mapeamento da Vegetação. 2010 "
MALPIGHIACEAE,"Banisteriopsis arborea","1.1 Site/area protection","on going","Com base nos registros de coleta da espécie, suspeita-se que esta ocorra dentro dos limites das seguintes Unidades de Conservação ao longo da Cadeia do Espinhaço em Minas Gerais: Parque Estadual do Biribiri e Parque Nacional da Serra do Cipó (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
MALPIGHIACEAE,"Banisteriopsis byssacea","1.1 Site/area protection","on going","A espécie foi registrada dentro dos limites do Parque Nacional da Serra da Canastra, MG (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
VELLOZIACEAE,"Barbacenia blackii","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra do Cipó (M. Pereira et al. 1046).",
VELLOZIACEAE,"Barbacenia fulva","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Nacional da Serra da Canastra (R. Mello-Silva 1675).",
VELLOZIACEAE,"Barbacenia glabra","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra da Canastra (Romero & Nakajima, 1999).","ROMERO, R.; NAKAJIMA, J.N. Espécies endêmicas do Parque Nacional da Serra da Canastra, Minas Gerais. Revista Brasileira de Botânica, v.22, n.2, pp.259-265, 1999."
VELLOZIACEAE,"Barbacenia lymansmithii","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Nacional da Serra da Canastra (J.N. Nakajima et al. 2524).",
FABACEAE,"Bauhinia candelabriformis","1.1 Site/area protection","on going","Ocorre Parque Nacional da Chapada dos Veadeiros (Vaz & Tozzi, 2003).","VAZ, A.M.S.F.; TOZZI, A.M.G.A.  Bauhinia ser. Cansenia (Leguminosae: Caesalpinioideae) no Brasil. Rodriguésia, v. 54, n. 83, p. 55-143, 2003."
FABACEAE,"Bauhinia malacotrichoides","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Chapada dos Veadeiros (M.G.L. Wanderley 1770) e na Reserva Biológica da Serra Dourada (A.S.F. Vaz 1055).",
RUBIACEAE,"Borreria amapaensis","1.1 Site/area protection",,"A espécie foi coletada em uma região que não é contemplada pelo o Corredor de Biodiversidade do Amapá, constituído por doze Unidades de Conservação (federais, estaduais e municipais) e cinco terras indígenas (Conservation). ","Conservation. Disponível em: <http://www.conservation.org.br/corredoramapa/txt.php?id=13&men=1&title=Corredor/UnidadesdeConserva%E7%E3o>. Acessado em: 11 set. 2013."
RUBIACEAE,"Borreria burchellii","1.1 Site/area protection","on going","Parte da Serra Geral de Goiás está inserda na Área de Proteção Ambiental da Serra Geral de Goiás (APA Serra Geral), que serve como zona de amortecimento para outras duas Unidades de Conservação, localizados o Parque Estadual de Terra Ronca e Reserva Extrativista de Recanto das Araras de Terra Ronca (Governo do Estado de Goiás). ","GOVERNO DO ESTADO DE GOIÁS. Área de Proteção Ambiental da Serra Geral de Goiás (APA Serra Geral). Disponível em: <http://www.semarhtemplate.go.gov.br/conteudo/area-de-protecao-ambiental-da-serra-geral-de-goias-apa-serra-geral>. Acessado em 11 set. 2013."
RUBIACEAE,"Borreria gracillima","1.1 Site/area protection","on going","A espécie é encontrada no Parque Nacional da Chapada dos Veadeiros. ",
RUBIACEAE,"Borreria guimaraesensis","1.1 Site/area protection","on going","A espécie ocorre dentro do Parque Nacional da Chapada dos Guimarães. ",
RUBIACEAE,"Borreria paulista","1.1 Site/area protection","on going","A espécie é descrita ocorrendo em áreas de Horto Florestal em São Paulo e no Parque Estadual do Guartelá, no estado do Paraná.",
RUBIACEAE,"Borreria rosmarinifolia","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
RUBIACEAE,"Borreria tocantinsiana","1.1 Site/area protection",needed,"A espécie é endêmica do município de Conceição do Tocantins, não sendo registrada ocorrência em outros locais. O município não conta com nenhuma Unidade de Conservação, o que aumenta ainda mais a ameaça sobre a espécie em questão.",
VERBENACEAE,"Bouchea chascanoides","1.1 Site/area protection","on going","O Parque Estadual de Grão Mogol está dentro da região de ocorrência da espécie (Fonseca & Lessa, 2010).","FONSECA, D. S. R.; LESSA, S.N. Um breve diagnóstico ambiental do parque estadual de grão mogol (MG) e seu contexto espacial. Caminhos de Geografia Uberlândia v. 11, n. 35 Set/2010 p. 260 - 274."
SOLANACEAE,"Brunfelsia rupestris","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Estadual do Rio Preto (L.L. Giacomin et al. 1133).",
SCROPHULARIACEAE,"Buddleja longiflora","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Nacional do Caparaó (Souza et al., 2009).","NORMAN, E.M. Buddlejaceae. Fl. Neotrop. Monogr. 81: 1-225. 2000.;SOUZA,V.C.;  FERREIRA, H.D. ; GIULIETTI, A.M. Scrophulariaceae. In :Plantas raras do Brasil / organizadores Giulietti, A.M.; Rapini, A.; Andrade, M.J.G. et al – Belo Horizonte, MG : Conservação Internacional. 496 p. : il., fots. color., mapas; 26 cm. Co-editora: Universidade Estadual de Feira de Santana. ISBN: 978-85-98830-12-4. 2009"
SCROPHULARIACEAE,"Buddleja speciosissima","1.1 Site/area protection","on going","A espécie ocorre nos campos de altitude do Parque Nacional do Itatiaia (Norman, 2000). ","ICMBIO. Parque Nacional do Itatiaia. Disponível em:<http://www.icmbio.gov.br/parnaitatiaia/>. Acessado em 21 de agosto.2013;NORMAN, E.M. Buddlejaceae. Fl. Neotrop. Monogr. 81: 1-225. 2000."
CYPERACEAE,"Bulbostylis lombardii","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
MALPIGHIACEAE,"Byrsonima cordifolia","1.1 Site/area protection",needed,"A espécie não ocorre dentro dos limites de nenhuma Unidade de Conservação (CNCFlora, 2013).",
MALPIGHIACEAE,"Byrsonima hatschbachii","1.1 Site/area protection","on going","A espécie ocorre dentro dos limites do Parque Nacional da Chapada dos Guimarães (MT), porém outras áreas de sua ocorrência não possuem nenhuma Unidade de Conservação (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>."
VOCHYSIACEAE,"Callisthene erythroclada","1 Land/water protection","on going","A espécie ocorre no interior do Parque Nacional da Serra do Cipó, do Parque Nacional das Sempre-Vivas, do Parque Estadual do Rio Preto e do Parque Estadual da Serra Negra.",
MELASTOMATACEAE,"Cambessedesia cambessedesioides","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Municipal de Mucugê (P.N. Oliveira 9).",
MELASTOMATACEAE,"Cambessedesia salviifolia","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Estadual do Rio Preto (N.F.O. Mota 1410).",
MELASTOMATACEAE,"Cambessedesia semidecandra","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Nacional da Serra do Cipó (M. Pereira et al. s.n., BHCB 19648).",
MELASTOMATACEAE,"Chaetostoma inerme","1.1 Site/area protection","on going","Ocorre em Unidades de Conservação: Parque Estadual do Ibitipoca (H.C. Souza s.n., BHCB 8845).",
MELASTOMATACEAE,"Chaetostoma selagineum","1.1 Site/area protection","on going","Ocorre em unidades de conservação: RPPN Linda Serra dos Topázios (C.E.B. Proença et al. 1412) e Parque Estadual da Serra dos Pirineus (F. Almeda et al. 9471), no estado de Goiás.",
MELASTOMATACEAE,"Chaetostoma stenocladon","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Estadual dos Pirineus, no estado de Goiás (F. Almeda et al. 9529).",
FABACEAE,"Chamaecrista altoana","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Chapada dos Veadeiros (Queiroz et al., 2009).","QUEIROZ, L.P.;  CARDOSO, D.B.O.S.; CONCEIÇÃO; A. S.; SOUZA, E.R.; TOZZI, A.M.G., PÉREZ, A.P.F., SILVA, M.J.; SIMON, M.F.; MARSANO, V.F.; COSTA, J.A.S.; RODRIGUES,  W.A.; LIMA, L.C.P.L.;  BOCAGE, A. Leguminosae. In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 2009. p. 212- 237."
FABACEAE,"Chamaecrista ericifolia","1.1 Site/area protection","on going","Coletada na Reserva da Companhia Vale do Rio Doce, no estado do Espírito Santo (M.A. Pinheiro- Ferreira 510).",
FABACEAE,"Chamaecrista gymnothyrsa","1.1 Site/area protection","on going","Ocorre no Parque nacional da Chapada dos Veadeiros (Queiroz et al., 2009).","QUEIROZ, L.P.;  CARDOSO, D.B.O.S.; CONCEIÇÃO; A. S.; SOUZA, E.R.; TOZZI, A.M.G., PÉREZ, A.P.F., SILVA, M.J.; SIMON, M.F.; MARSANO, V.F.; COSTA, J.A.S.; RODRIGUES,  W.A.; LIMA, L.C.P.L.;  BOCAGE, A. Leguminosae. In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 2009. p. 212- 237."
FABACEAE,"Chamaecrista leucopilis","1.1 Site/area protection","on going","Ocorre no no Parque Nacional Chapada dos Veadeiros (Queiroz et al., 2009).","QUEIROZ, L.P.;  CARDOSO, D.B.O.S.; CONCEIÇÃO; A. S.; SOUZA, E.R.; TOZZI, A.M.G., PÉREZ, A.P.F., SILVA, M.J.; SIMON, M.F.; MARSANO, V.F.; COSTA, J.A.S.; RODRIGUES,  W.A.; LIMA, L.C.P.L.;  BOCAGE, A. Leguminosae. In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservação Internacional; Universidade Estadual de Feira de Santana, 2009. p. 212- 237."
FABACEAE,"Chamaecrista pachyclada","1.1 Site/area protection","on going","Ocorre no Parque Nacional de Brasília Distrito Federal (L.A. Dambrós 128).",
FABACEAE,"Chamaecrista phyllostachya","1.1 Site/area protection","on going","Ocorre no Parque Estadual da Serra do Cabral, em Joaquim Felício, Minas Gerais (G. Hatschbach 77497).",
FABACEAE,"Chamaecrista psoraleopsis","1.1 Site/area protection","on going","Ocorre no Parque Estadual da Serra de Caldas Novas (J.O.V. Iglesias et al. 105).",
ASTERACEAE,"Chrysolaena dusenii","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Parque Estadual do Guartelá, no estado do Paraná (CNCFlora, 2013).","CNCFlora. 2013. Base de Dados do Centro Nacional de Conservação da Flora. Disponível em: <http://cncflora.jbrj.gov.br/portal/>"
CACTACEAE,"Cipocereus pleurocarpus","5.1.1 International level","on going","A espécie está listada como pouco preocupante pela IUCN, porque mesmo que ela tenha uma distribuição restrita, a espécie é abundante em seu habitat. Algumas subpopulações estão presentes em uma área protegida, contudo a perda de habitat continua sendo um fator de alerta (Santos, com. pess.; IUCN, 2013).","IUCN 2013. IUCN Red List of Threatened Species. Version 2013.2. <www.iucnredlist.org>. Acessado em 11 Dezembro 2013."
CACTACEAE,"Cipocereus pleurocarpus","2.1 Site/area management",needed,"Necessidade de levantamento exato de populações dentro e fora de Unidades de Conservação (Santos, com. pess.).",
ERIOCAULACEAE,"Comanthera cipoensis","1.1 Site/area protection","on going","A espécie ocorre na Serra do Cipó, localizada dentro do Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Comanthera circinnata","1.1 Site/area protection","on going","A espécie ocorre na Serra do Cipó, localizada dentro do Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Comanthera floccosa","1.1 Site/area protection",needed,"Necessidade de implantação de uma reserva na Serra do Açuruá, pelo endemismo da espécie nesta região e pelas pressões antrópicas existentes no local. ",
ERIOCAULACEAE,"Comanthera hatschbachii","1.1 Site/area protection","on going","A espécie ocorre no município de Morro do Chapéu, que conta com o Parque Estadual de Morro do Chapéu (Lobão, 2006).",
FABACEAE,"Crotalaria rufipila","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Serra do Cipó, em Minas Gerais (M. Pereira et al. 990).",
EUPHORBIACEAE,"Croton arlineae","1 Land/water protection","on going","A espécie encontra-se na Área de Proteção Ambiental Serra de São José. Porém, esta categoria de Unidade de Conservação é pouco eficiente para garantir a eficácia de preservação desta espécie. ",
CYPERACEAE,"Cryptangium humile","1.1 Site/area protection","on going","A espécie ocorre no Parque Estadual do Ibitipoca e no Parque Estadual da Serra do Cipó.",
CYPERACEAE,"Cryptangium polyphyllum","1.1 Site/area protection","on going","O Pico do Tinguá, onde foram realizadas coletas da espécie, encontra-se na Reserva Biológica do Tinguá.",
LYTHRACEAE,"Cuphea cunninghamiifolia","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros. ",
LYTHRACEAE,"Cuphea disperma","1.1 Site/area protection","on going","A espécie ocorre na Chapada Diamantina e no Parque Nacional de Sete Cidades.",
LYTHRACEAE,"Cuphea glareosa","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada Diamantina (G. Almeida-Silva 110). ",
LYTHRACEAE,"Cuphea sclerophylla","1.1 Site/area protection","on going","A espécie ocorre ne Reserva Biológica da Serra Dourada (J.A. Rizzo 10906). ",
CYPERACEAE,"Cyperus almensis","1.1 Site/area protection","on going","A espécie ocorre na localidade de de Pico das Almas, localizada no Parque Parque Nacional da Chapada Diamantina (R.M. Harley 24501; J.G. Jardim 770). Ela ocorre também no município de Morro do Chapéu, que conta com o Parque Estadual de Morro do Chapéu.",
FABACEAE,"Desmodium glabrescens","2.1 Site/area management","on going","Ocorre no Parque Nacional da Chapada dos Guimarães, no Mato Grosso (L.C.P. Lima 620).",
FABACEAE,"Desmodium juruenense","1.1 Site/area protection","on going","Ocorre no Parque Nacional dos Campos Amazônicos, Manicoré, Amazonas (L.C.P. Lima 631).",
POACEAE,"Dichanthelium sendulskyii","1.1 Site/area protection","on going","Dichanthelium sendulskyii encontra-se presente no Parque Nacional da Serra do Cipó (Zuloaga & Morrone, 1996).","ZULOAGA, F.O. ; MORRONE, O. New species of Paniceae (Poaceae: Panicoideae) from Brazil. Novon 6: 310-317. 1996."
POACEAE,"Digitaria pampinosa","1.1 Site/area protection","on going","Presença de coleta em região do Parque Arqueológico da Serra de Santo Antônio.",
POACEAE,"Digitaria pampinosa","5.1.1 International level","on going","A serra do Espinhaço foi considerada em 2005 a sétima Reserva da Biosfera Brasileira (Serra do Espinhaço, 2013).","Serra do Espinhaço. disponível em: <http://www.serradoespinhaco.com.br/serra-do-espinhaco>. Acessado em 16 de agosto. 2013"
POACEAE,"Digitaria pampinosa","1.1 Site/area protection","on going","O Pico do Itacolomi se localiza na Serra do Espinhaço, dentro do Parque Estadual do Itacolomi (IEF-MG, 2014).","IEF-MG. Instituto Estadual de Florestas de Minas Gerais. Parque Estadual do Itacolomi. Disponível em: <http://www.ief.mg.gov.br/component/content/193?task=view>. Acesso em 7 jan. 2014"
EBENACEAE,"Diospyros mexiae","1.1 Site/area protection",needed,"A espécie ocorre em localidades desprovidas de Unidades de Conservação, o que diminui sua proteção. ",
LYTHRACEAE,"Diplusodon adpressipilus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (T.B. Cavalcanti 697).",
LYTHRACEAE,"Diplusodon alatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (G. Hatschbach 54781).",
LYTHRACEAE,"Diplusodon argenteus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (T.B. Cavalcanti 849).",
LYTHRACEAE,"Diplusodon bradei","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra da Canastra (R. Romero 2509).",
LYTHRACEAE,"Diplusodon canastrensis","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra da Canastra (R. Mello-Silva 1973).
",
LYTHRACEAE,"Diplusodon leucocalycinus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (S. R. Neto 605).",
LYTHRACEAE,"Diplusodon nigricans","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (J.A. Rizzo 7374).",
LYTHRACEAE,"Diplusodon parvifolius","1.1 Site/area protection","on going"," A espécie ocorre no Parque Nacional da Chapada Diamantina.",
LYTHRACEAE,"Diplusodon rupestris","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra da Canastra (Cavalcante & Noronha, 2009).","CAVALCANTE, T.B.; NORONHA, S.E. Lythraceae In: GIULIETTI, A. M.; RAPINI, A.; ANDRADE, M. J. G.; QUEIROZ, L. P. DE; SILVA, J. M. C. D. (Eds.). Plantas Raras do Brasil. Belo Horizonte: Conservaçao Internacional; Univesidade Estadual de Feira de Santana, 2009. p. 496."
LYTHRACEAE,"Diplusodon sigillatus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (J.A. Rizzo 7785).",
LYTHRACEAE,"Diplusodon sordidus","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros (T.B. Cavalcanti 662).",
APOCYNACEAE,"Ditassa insignis","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional da Serra da Canastra (Fontella-Pereira & Schwarz, 1981).","FONTELLA-PEREIRA, J. ;SCHWARZ, E. A. Estudos em Asclepiadaceae, 14. Novos sinônimos e uma nova combinadao. Bol. Mus. Bot. Munic. 50:1 - 14. 1981"
APOCYNACEAE,"Ditassa obscura","1.1 Site/area protection","on going","Existem coletas indicando a presença da espécie no Parque Nacional da Serra da Canastra (M.A. Farinaccio et al. 516).",
BROMELIACEAE,"Dyckia bracteata","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional do Caparoá.",
BROMELIACEAE,"Dyckia mello-barretoi","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó.",
CYPERACEAE,"Eleocharis loefgreniana","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG, e na Estação Ecológica de Itirapina, SP.",
CYPERACEAE,"Eleocharis morroi","1.1 Site/area protection","on going","A espécie ocorre no Parque Parque Nacional da Chapada Diamantina e no município de Morro do Chapéu, que conta com o Parque Estadual de Morro do Chapéu.",
CYPERACEAE,"Eleocharis olivaceonux","1.1 Site/area protection","on going","A espécie ocorre na localidade de de Pico das Almas, localizada no Parque Parque Nacional da Chapada Diamantina e também no município de Morro do Chapéu, que conta com o Parque Estadual de Morro do Chapéu (Lobão, 2006)","LOBÃO, J.S.B. Análise socioambiental no município de Morro do Chapéu-BA baseado em geotecnologias. Salvador, BA: Universidade Federal da Bahia, 2006."
ERIOCAULACEAE,"Eriocaulon aquatile","1.1 Site/area protection","on going","A espécie ocorre dentro dos limites do Parque Estadual do Rio Preto, do Parque Nacional Sempre Vivas, do Parque Estadual do Morro do Chapéu e do Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Eriocaulon burchellii","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Chapada dos Veadeiros e nos limites da RPPN Varanda da Serra (M.L. Fonseca 5336).",
ERIOCAULACEAE,"Eriocaulon cipoense","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó, MG.",
ERIOCAULACEAE,"Eriocaulon griseum","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra das Confusões (G. Martinelli 16307).",
LAMIACEAE,"Eriope sincorana","1.1 Site/area protection","on going","Existe registro de coleta da espécie dentro do Parque Nacional da Chapada Diamantina (A.A. Conceição 1214).",
CONVOLVULACEAE,"Evolvulus chapadensis","1.1 Site/area protection","on going","A espécie ocorre no interior do Parque Nacional da Chapada dos Veadeiros.",
MORACEAE,"Ficus carautana","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: Estação Ecológica Taiamã, no estado de Mato Grosso (Romaniuc Neto et al., 2009).","ROMANIUC NETO, S.; CARAUTA, J.P.P.; VIANNA FILHO, M.D.M. et al. 2013. Moraceae in Lista de Espécies da Flora do Brasil. Jardim Botânico do Rio de Janeiro. (http://floradobrasil.jbrj.gov.br/jabot/floradobrasil/FB111309)"
RUBIACEAE,"Galianthe macedoi","1.1 Site/area protection","on going","A espécie é encontrada no Parque Nacional de Brasília.",
AMARANTHACEAE,"Gomphrena hermogenesii","1.1 Site/area protection","on going","Ocorre em Unidade de Conservação: RPPN Cara Preta (Frank-de-Carvalho et al., 2010) e PARNA da Chapada dos Veadeiros (Siqueira, 1991).","JOSAFÁ CARLOS DE SIQUEIRA. O gênero Gomphrena L. (Amaranthaceae) no Brasil. Campinas, SP: Universidade Estadual de Campinas, 1991.; FANK-DE-CARVALHO, S.M.; MARCHIORETTO, M.S.; BÁO, S.N. Leaf anatomy, morphology and ecological aspects of Amaranthaceae species from Reserva Particular do Patrimônio Natural Cara Preta, in Alto Paraíso, GO, Brazil. Biota Neotrop. 10(4): http://www.biotaneotropica.org.br/v10n4/en/abstract?article+bn01310042010."
ORCHIDACEAE,"Habenaria meeana","1.1 Site/area protection","on going","Ocorre em unidades de conservação: Parque Municipal de Mucugê, no Estado da Bahia (Azevedo, 2004) e Parque Estadual do Rio Preto, em Minas Gerais (BHCB; Batista, J.A.N. 2028).","CECÍLIA OLIVEIRA DE AZEVEDO. A família Orchidaceae no Parque Municipal de Mucugê, Bahia, Brasil. Universidade Estadual de Feira de Santana, Feira de Santana, Bahia. 2004."
ORCHIDACEAE,"Habenaria pseudohamata","1.1 Site/area protection","on going","Ocorre em unidades de conservação: Parque Municipal de Mucugê, no Estado da Bahia (HUEFS; Lambert, S.M. 12), Parque Estadual do Rio Preto (BHCB; Viana, P.L.; Lopes, L.E. 2810), Parque Nacional das Sempre Vivas (BHCB; Almeida, T.E. et al. 973) e Parque Estadual da Serra Negra (BHCB; Batista, J.A.N. et al. 2035) em Minas Gerais.",
ORCHIDACEAE,"Hadrolaelia praestans","3.4 Ex-situ conservation","on going","Cultivada no Herbário SP (SP 17186; Hoehne, F.C. s.n.).",
ORCHIDACEAE,"Hadrolaelia praestans","1.1 Site/area protection","on going","Ocorre em unidade de conservação: Reserva biológica Augusto Ruschi (RB; Monteiro, D. 330) e Estação Biológica de Santa Lúcia (MBML; Kollmann, L. 8835), no Estado do Espírito Santo.",
