family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
ARECACEAE,"Attalea pindobassu",Bondar,done,comments,LC,
ARECACEAE,"Syagrus werdermannii",Burret,done,comments,LC,
ASTERACEAE,"Aspilia discolor",J.U.Santos,done,comments,DD,
ASTERACEAE,"Aspilia goiazensis",J.U.Santos,done,comments,VU,D2
ASTERACEAE,"Aspilia hatschbachii",J.U.Santos,done,comments,DD,
ASTERACEAE,"Aspilia podophylla",Baker,done,comments,DD,
ASTERACEAE,"Aspilia pseudoyedaea",H.Rob.,done,comments,EN,B1ab(iii)+2ab(iii)
ASTERACEAE,"Bidens edentula",G.M.Barroso,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Calea irwinii",G.M.Barroso,done,comments,EN,"B1ab(i,ii,iii)+2b(i,ii,iii)"
ASTERACEAE,"Chrysolaena dusenii","(Malme) Dematt.",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
ASTERACEAE,"Dasyphyllum reticulatum","(DC.) Cabrera",done,comments,NT,
ASTERACEAE,"Dasyphyllum retinens",S.Moore,done,comments,EN,B2ab(iii)
ASTERACEAE,"Dasyphyllum trichophyllum","(Baker) Cabrera",done,comments,VU,"B1ab(i,ii,iii)"
ASTERACEAE,"Eremanthus pabstii",G.M.Barroso,done,comments,EN,B1ab(iii)+2ab(iii)
ASTERACEAE,"Ichthyothere mattogrossensis","R.C.A.Pereira & Semir",done,comments,DD,
ASTERACEAE,"Ichthyothere petiolata",H.Rob.,done,comments,DD,
ASTERACEAE,"Lessingianthus arachniolepis","(Ekman & Dusén) H.Rob.",done,comments,VU,"B2ab(i,iii)"
ASTERACEAE,"Lessingianthus argenteus","(Less.) H.Rob.",done,comments,VU,"B1ab(i,ii,iii)"
ASTERACEAE,"Lessingianthus caiapoensis","(H.Rob.) H.Rob.",done,comments,DD,
ASTERACEAE,"Lessingianthus heringeri","(H.Rob.) H.Rob.",done,comments,EN,B1ab(iii)+2ab(iii)
ASTERACEAE,"Lessingianthus rugulosus","(Sch.Bip.) H.Rob.",done,comments,DD,
ASTERACEAE,"Lessingianthus scaposus","(G.M.Barroso) H.Rob.",done,comments,DD,
ASTERACEAE,"Minasia cabralensis",H.Rob.,done,comments,EN,"B1ab(i,iii)+2ab(i,iii)"
ASTERACEAE,"Minasia lewinsohnii","Semir & de Jesus",done,comments,DD,
ASTERACEAE,"Stenophalium heringeri","(H.Rob.) Anderb.",done,comments,DD,
ASTERACEAE,"Stevia resinosa",Gardner,done,comments,VU,B1ab(iii)
ASTERACEAE,"Vernonanthura almedae","(H.Rob.) H.Rob.",done,comments,EN,"B2ab(i,iii)"
ASTERACEAE,"Vernonanthura lindbergii","(Baker) H.Rob.",done,comments,DD,
ASTERACEAE,"Wedelia souzae",H.Rob.,done,comments,EN,"B1ab(i,iii)+2ab(i,iii)"
BALANOPHORACEAE,"Lophophytum rizzoi",Delprete,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BIGNONIACEAE,"Adenocalymma subspicatum",A.H.Gentry,done,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
BIGNONIACEAE,"Jacaranda racemosa",Cham.,done,comments,LC,
BIGNONIACEAE,"Lundia damazii",DC.,done,comments,VU,A4b
BROMELIACEAE,"Alcantarea burle-marxii","(Leme) J.R.Grant",done,comments,DD,
BROMELIACEAE,"Alcantarea hatschbachii","(L.B.Sm. & Read) Leme",done,comments,DD,
BROMELIACEAE,"Cryptanthus leopoldo-horstii",Rauh,done,comments,DD,
BROMELIACEAE,"Dyckia argentea",Mez,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Dyckia brachyphylla",L.B.Sm.,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Dyckia bracteata","(Wittm.) Mez",done,comments,LC,
BROMELIACEAE,"Dyckia densiflora","Schult. & Schult.f.",done,comments,DD,
BROMELIACEAE,"Dyckia elongata",Mez,done,comments,DD,
BROMELIACEAE,"Dyckia mello-barretoi",L.B.Sm.,done,comments,DD,
BROMELIACEAE,"Dyckia pectinata","L.B.Sm. & Reitz",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Encholirium reflexum","Forzza & Wand.",done,comments,DD,
BROMELIACEAE,"Lapanthus itambensis","(Versieux & Leme) Louzada & Versieux",done,comments,DD,
BROMELIACEAE,"Orthophytum mello-barretoi",L.B.Sm.,done,comments,VU,"B1ab(i,ii,iii)"
BROMELIACEAE,"Orthophytum schulzianum","Leme & M.Machado",done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Pitcairnia curvidens","L.B.Sm. & Read",done,comments,NT,
BROMELIACEAE,"Tillandsia copynii",Gouda,done,comments,DD,
BROMELIACEAE,"Tillandsia sprengeliana","Klotzsch ex Mez",done,comments,NT,
BROMELIACEAE,"Vriesea densiflora",Mez,done,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BURSERACEAE,"Protium dawsonii",Cuatrec.,done,comments,LC,
CACTACEAE,"Cipocereus pleurocarpus",F.Ritter,done,comments,NT,
CACTACEAE,"Rhipsalis agudoensis",N.P.Taylor,done,comments,DD,
