family,scientificName,document,field,reference
ERIOCAULACEAE,"Paepalanthus echinoides",assessment,,"MMA/ICMBio. 2009. Plano de Manejo Parque Nacional Chapada dos Veadeiros. Disponível em http://www. icmbio.gov.br/portal/images/stories/imgs-unidadescoservacao/pm_chapada_dos_veadeiros_1.pdf. Acesso em: 06 mai de 2015."
ERIOCAULACEAE,"Paepalanthus echinoides",assessment,,"Trovó, M. 2010. Sistemática de Paepalanthoideae (Eriocaulaceae): filogenia, morfologia e taxonomia de Diphyomene (Ruhland) Trovó. Ph.D. Thesis. São Paulo, Brazil: Universidade de São Paulo."
ERIOCAULACEAE,"Paepalanthus echinoides",assessment,,"Trovó, M. ; Echternacht, L. A. ; Sano, P.T. 2013. Distribution and conservation of Paepalanthus sect. Diphyomene (Eriocaulaceae) in Neotropical Savannas. Adansonia, v. 35, p. 195-206."
ERIOCAULACEAE,"Paepalanthus echinoides",assessment,,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",assessment,,"Trovó, M. ; Sano, P.T. Five new and narrowly distributed species of Paepalanthus section Diphyomene (Eriocaulaceae) from Central Brazil. 2011. Systematic Botany, v. 36, p. 610-620."
BROMELIACEAE,"Encholirium fragae",assessment,,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium splendidum",assessment,,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
ERIOCAULACEAE,"Paepalanthus capixabensis",assessment,,"Pastro, M.S. 2012. Estabelecimento de diretrizes para um programa de manejo de nascentes na bacia do Rio Itapemirim – ES. Monografia de Conclusão de Curso, UFRRJ, Seropéidica (RJ)"
ERIOCAULACEAE,"Paepalanthus capixabensis",assessment,,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
RUBIACEAE,"Bradea borrerioides",assessment,,"Oliveira & Sobrado (2015, no prelo). Bradea borrerioides (Rubiaceae), a new species from Brazilian inselbergs"
BROMELIACEAE,"Encholirium kranzianum",assessment,,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium kranzianum",assessment,,"Sano, E.E.; Rosa; R.; Brito, J.L.S. & Ferreira, L.G. 2010. Mapeamento do uso do solo e cobertura vegetal - Bioma Cerrado: ano base 2002. Brasília, Distrito Federal. MMA/Série Biodiversidades, 36. 96 p."
Asteraceae,"Eremanthus praetermissus",assessment,,"Buzato, E., 2012. Avaliação de impactos ambientais no município de Ubatuba : uma proposta a partir dos geoindicadores. Universidade de São Paulo."
