family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
Droseraceae,"Drosera adscendens",Planch.,"Drosera villosa A.St.-Hil."
Droseraceae,"Drosera ascendens",A.St.-Hil.,"Drosera villosa A.St.-Hil."
Droseraceae,"Drosera spiralis",A.St.-Hil.,"Drosera graminifolia A.St.-Hil."
