family,scientificName,action,situation,details,references
RUBIACEAE,"Bradea borrerioides","1.1 Site/area protection",needed,"Há uma grande carência de unidades de conservação para a proteção dos inselbergues nos estados do Espírito Santo e Minas Gerais. Nenhuma das subpopulações de Bradea borrerioides se encontra protegida por UCs (Oliveira & Sobrado no prelo). Plantas endêmicas de inselbergues muitas vezes não sobrevivem em coleções ex situ pelo fato de as condições climatológicas e ecológicas deste habitat serem de difícil reprodução em coleções ex situ (Oliveira & Sobrado no prelo). Assim, a criação de UCs para preservação in situ é de extrema importância para a sobrevivência da espécie.
",
Asteraceae,"Eremanthus praetermissus","1.1 Site/area protection","on going","A espécie ocorre em localidades de três Unidades de Conservação de proteção integral: Parque Estadual da Serra do Mar, núcleo Caraguatatuba (Paula-Souza; 3477; Franco; 3006), Parque Estadual da Ilha Anchieta, Mirante do Sul (Luize;19) e Parque Estadual da Serra do Mar, Morro do Cuscuzeiro (Bertoncello; 905).
",
Asteraceae,"Eremanthus ovatifolius","1.1 Site/area protection",needed,"O Pico da Aliança apresenta uma flora rica com varias espécies novas sendo descritas atualmente (Loeuille, com. pess.). Entretanto a área não está protegida por nenhuma UC (Loeuille, com. pess.). Apesar de abundante, a espécie é localmente restrita a essa região (Loeuille and Pirani, em prep.). ",
ERIOCAULACEAE,"Paepalanthus capixabensis","1.1 Site/area protection",needed,"A espécie não ocorre em nenhuma unidade de conservação (Trovó et al. in prep.)","Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus argyrotrychus","1.1 Site/area protection",needed,"Não há unidades de conservação na Serra do Ambrósio para a proteção(INCLUIR REFERÊNCIA: Costa, em prep. ou Costa com. pess. ???). 
Nenhuma das subpopulações está protegida por UCs (INCLUIR REFERÊNCIA: Costa, em prep. ou Costa com. pess. ???). 
Assim, a criação de UC nesta região é de extrema importância para a sobrevivência desta espécie e de outras espécies micro-endêmicas e ameçadas que ocorrem na serra (INCLUIR REFERÊNCIA: Costa, em prep. ou Costa com. pess. ???).","INCLUIR REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO"
ERIOCAULACEAE,"Paepalanthus farinaceus","1.1 Site/area protection",needed,"É uma área que abriga várias espécies micro-endêmicas, com algumas localidades ainda pouco impactadas por atividades humanas, como na porção mais alta da serra, onde deveria ser criado uma unidade de conservação (INCLUIR REFERENCIAS: COSTA COMUNICAÇÃO PESSOAL OU COSTA EM PREP ????)..","SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus","1.1 Site/area protection",needed,"Na área de ocorrência desta espécie há outras espécies micro-endêmicas, de diferentes famílias botânicas (INCLUIR REFERENCIAS: COSTA COMUNICAÇÃO PESSOAL OU COSTA EM PREP ??). Seria muito importante a criação de uma Unidade de Conservação (INCLUIR REFERENCIAS: COSTA COMUNICAÇÃO PESSOAL OU COSTA EM PREP ??).","SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
