occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:73edbc78-7be0-40d4-8b67-296b778527e4,Asteraceae,"Eremanthus praetermissus Loeuille",-23.744947,-45.729713,"google earth",ok,,,,"10 a 50 km","Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:75f09d2b-02a6-412d-bf6e-17f9d94d246a,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.171147,-47.51643,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:76d96b17-7abe-48aa-b996-c09fdafe260f,Bromeliaceae,"Encholirium splendidum Forzza",-13.6258333,-44.30972222,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:7889c824-f4e5-4f29-8025-fa2ba7797e98,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.042261,-47.645143,sig,ok,,,,"centroide de uc","Paepalanthus echinoides Trovó.",false,,,yes,,,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:874315e4-27a5-4c45-a4e7-5d4a7527a5e8,Bromeliaceae,"Encholirium kranzianum Leme & Forzza",-17.2527777778,-43.0969444444,,ok,,,,,"Encholirium kranzianum Leme & Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:904f57d2-0f90-450a-a49a-a2a4d3ead16e,Asteraceae,"Eremanthus praetermissus Loeuille",-23.491844,-45.17342,"google earth",ok,,,,"5 a 10 km","Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:91147f43-8631-4c2a-9c80-c77d1576365c,Asteraceae,"Eremanthus praetermissus Loeuille",-23.1392,-44.8144,coletor,ok,,,,,"Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
urn:occurrence:9a562e21-7c18-4879-9c38-860e739a29bd,Eriocaulaceae,"Paepalanthus echinoides Trovó.",-14.07087,-47.507052,coletor,ok,,,,,"Paepalanthus echinoides Trovó.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Marcelo Trovó Lopes de Oliveira",
urn:occurrence:9fc30466-99b6-4859-be6e-298f042a07d0,Bromeliaceae,"Encholirium splendidum Forzza",-13.4313888,-44.22,,ok,,,,,"Encholirium splendidum Forzza",,,,,,,"Leonardo Novaes ; Rodrigo Amaro",
urn:occurrence:a773b895-00b8-4dbf-9c36-096c7f215721,Asteraceae,"Eremanthus praetermissus Loeuille",-23.6592,-46.0364,coletor,ok,,,,,"Eremanthus praetermissus Loeuille",true,valid,no,no,native,valid,"Benoît Francis Patrice Loeuille ; Leonardo Novaes ; Raquel",
