family,scientificName,use,resource,details,references
Asteraceae,"Eremanthus praetermissus","9. Construction/structural materials",stalk,"Madeira da espécie é usado para construir cerca e pequenas pontes. (Loeuille com. pess.).",
Asteraceae,"Eremanthus ovatifolius","9. Construction/structural materials",stalk,"A madeira da espécie é usado para construir cerca e pequenas pontes (Loeuille, com. pess.).",
ERIOCAULACEAE,"Paepalanthus argyrotrychus","17. Unknown",,"A espécie não tem uso conhecido, mas ocorre na mesma área que outras três espécies de ""sempre-vivas"" (Comanthera brasiliana, Comanthera magnifica e Comanthera suberosa) que são coletadas e exploradas localmente (Costa et al., em prep.). 
Não há informações se inflorescências de P. argyrotrichus também são coletadas juntamente com as outras sempre vivas, no entanto elas florescem na mesma época e as inflorescências têm potencial para ser explorada como ""sempre viva"" (Costa com. pess.). ","COSTA, F.N., ANDRINO, C.O., TROVÓ, M., ECHTERNACHT, L. & SANO, P.T. Three new micro-endemic species of Paepalanthus (Paepalanthoideae, Eriocaulaceae) from Serra do Ambrósio, Minas Gerais, Brazil. Phytotaxa (em preparação)."
ERIOCAULACEAE,"Paepalanthus farinaceus","17. Unknown",,"A espécie ocorre na mesma área onde há espécies de ""sempre-vivas"" (Comanthera suberosa e C. magnifica) que são exploradas pela população (INCLUIR REFERENCIAS: COSTA COMUNICAÇÃO PESSOAL OU COSTA EM PREP ????).. As inflorescências desta espécie têm potencial para ser explorado como sempre viva, pois se assemelha muito a outras espécies já utilizadas, conhecidas pelo nome de botão branco. No entanto, não há informações se esta espécie é utilizada.","SE USAR ARTIGO EM PREP. INCLUIR A REFERENCIA COMPLETA DO TRABALHO EM PREPARAÇÃO. NOME DOS AUTORES, NOME DO TRABALHO, REVISTA"
ERIOCAULACEAE,"Paepalanthus velutiphyllus","17. Unknown",,"Não há uso conhecido da espécie (Costa com. pess.).",
