family,scientificName,pollination
Asteraceae,"Eremanthus praetermissus",melitophily
Asteraceae,"Eremanthus praetermissus",
Asteraceae,"Eremanthus ovatifolius",melitophily
ERIOCAULACEAE,"Paepalanthus capixabensis",entomophily
ERIOCAULACEAE,"Paepalanthus argyrotrychus",entomophily
ERIOCAULACEAE,"Paepalanthus farinaceus",entomophily
ERIOCAULACEAE,"Paepalanthus velutiphyllus",entomophily
MAGNOLIACEAE,"Magnolia paraensis ",entomophily
MAGNOLIACEAE,"Magnolia paranaensis",entomophily
