family,scientificName,lifeForm,fenology,luminosity,substratum,longevity,resprout
MYRTACEAE,"Eugenia chlorocarpa",tree,,,terrestrial,,
MYRTACEAE,"Eugenia martiana",tree,,,terrestrial,,
Ephedraceae,"Ephedra tweediana","herb ; bush ; liana",,,terrestrial,,
LAMIACEAE,"Hesperozygis ringens",bush,,,"terrestrial ; rupicolous",,
Poaceae,"Paspalum niquelandiae",herb,,,"terrestrial ; rupicolous",,
Isoetaceae,"Isoetes luetzelburgii",herb,,,,,
Fabaceae,"Mimosa bracteolaris",herb,,,terrestrial,,
Erythroxylaceae,"Erythroxylum substriatum","bush ; tree",,,terrestrial,,
