occurrenceID,family,acceptedNameUsage,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
urn:occurrence:ESALQ:ESA:126350,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.233459,-52.121352,sig,ok,,,,"centroide de municipio","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:ESALQ:ESA:20354,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.7633,-52.4839,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:ESALQ:ESA:31477,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.7719,-52.3425,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:F:F_BOTANY_BR:1915443,Erythroxylaceae,"Erythroxylum substriatum O.E.Schulz",0,0,,nok,,,,,"Erythroxylum substriatum O.E.Schulz",,,,,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:F:F_BOTANY_BR:2178829,Poaceae,"Paspalum niquelandiae Filg.",-14.497655,-48.400958,sig,ok,,,,"centroide de municipio","Paspalum niquelandiae Filg.",false,,,yes,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:F:F_BOTANY_BR:609439,Fabaceae,"Mimosa bracteolaris Benth.",-10.8339,-52.8731,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:F:F_BOTANY_BR:936932,Fabaceae,"Mimosa bracteolaris Benth.",-10.8339,-52.8731,,nok,,,,,"Mimosa bracteolaris Benth.",false,,,yes,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:FUVATES:HVAT:2682,Ephedraceae,"Ephedra tweediana C.A.Mey.",-31.051801,-53.583252,"google earth",ok,,,,"10 a 50 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
urn:occurrence:FUVATES:HVAT:4036,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.615278,-55.161111,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:FUVATES:HVAT:4089,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-29.615278,-55.161111,coletor,ok,,,,"5 a 10 km","Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:G:G:G00099918,Poaceae,"Paspalum niquelandiae Filg.",-14.46611111,-48.45972222,coletor,ok,,,,"5 a 10 km","Paspalum niquelandiae Filg.",false,,,yes,,,"Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:G:G:G00371424,Fabaceae,"Mimosa bracteolaris Benth.",-10.77305556,-53.08972222,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:G:G:G00371426,Fabaceae,"Mimosa bracteolaris Benth.",-10.77305556,-53.08972222,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:G:G:G00371432,Fabaceae,"Mimosa bracteolaris Benth.",-10.77305556,-53.08972222,,nok,,,,,"Mimosa bracteolaris Benth.",,,,,,,"Tomás Amorim ; Luiz Santos Filho",
urn:occurrence:G:G:G00437837,Lamiaceae,"Hesperozygis ringens (Benth.) Epling",-10.77305556,-53.08972222,,nok,,,,,"Hesperozygis ringens (Benth.) Epling",,,,,,,"Rogerio Braga ; Leonardo Novaes ; Luiz Santos Filho",
urn:occurrence:HPL:HPL:12244,Ephedraceae,"Ephedra tweediana C.A.Mey.",-30.0331,-51.23,coletor,ok,,,,"5 a 10 km","Ephedra tweediana C.A.Mey.",,,,,,,"Tomás Amorim ; Diogo Silva",
