family,scientificName,endemic,altitude
MYRTACEAE,"Eugenia chlorocarpa",yes,
MYRTACEAE,"Eugenia martiana",yes,
Ephedraceae,"Ephedra tweediana",no,
LAMIACEAE,"Hesperozygis ringens",yes,400
Poaceae,"Paspalum niquelandiae",yes,
Isoetaceae,"Isoetes luetzelburgii",yes,
Fabaceae,"Mimosa bracteolaris",,
Erythroxylaceae,"Erythroxylum substriatum",yes,
