family,acceptedNameUsage,valid,invalid,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
ACANTHACEAE,Acelica trimerocalyx,2,0,0,2,0,0,2,0,2,"274,73km","4,0km"
ACANTHACEAE,Aphelandra espirito-santensis,9,0,0,9,0,0,9,0,9,"495,65km","16,0km"
ACANTHACEAE,Aphelandra gigantea,15,2,0,15,2,0,15,2,17,"54.858,58km","52,0km"
ACANTHACEAE,Aphelandra hirta,13,10,0,19,4,0,13,10,23,"99.587,83km","32,0km"
AMARANTHACEAE,Gomphrena vaga,153,126,0,263,16,0,153,126,279,"3.379.644,89km","476,0km"
ACANTHACEAE,Aphelandra longiflora,166,17,0,166,17,0,166,17,183,"3.560.064,48km","560,0km"
AMARANTHACEAE,Gomphrena chrestoides,14,8,0,22,0,0,14,8,22,"174,81km","32,0km"
AMARANTHACEAE,Alternanthera sessilis,13,19,0,24,8,0,13,19,32,"2.324.233,1km","44,0km"
ACANTHACEAE,Aphelandra lurida,2,0,0,2,0,0,2,0,2,"270,65km","4,0km"
ACANTHACEAE,Aphelandra margaritae,45,0,0,45,0,0,45,0,45,"1.601,45km","92,0km"
ACANTHACEAE,Aphelandra maximiliana,28,2,0,28,0,2,28,2,30,"1.961,93km","48,0km"
ACANTHACEAE,Aphelandra nitida,102,4,0,103,3,0,102,4,106,"136.902,45km","320,0km"
ACANTHACEAE,Aphelandra prismatica,78,4,0,79,3,0,78,4,82,"181.577,35km","180,0km"
ACANTHACEAE,Aphelandra schottiana,56,4,0,56,4,0,56,4,60,"418.081,87km","164,0km"
AMARANTHACEAE,Froelichia procera,32,40,0,69,3,0,32,40,72,"331.296,79km","68,0km"
AMARANTHACEAE,Alternanthera tenella,377,220,0,561,36,0,377,220,597,"6.081.209,2km","1.192,0km"
ACANTHACEAE,Aphelandra squarrosa,18,2,0,18,2,0,18,2,20,"53.041,17km","68,0km"
AMARANTHACEAE,Alternanthera hirtula,12,4,0,14,2,0,12,4,16,"13.826,68km","32,0km"
ACANTHACEAE,Chaetothylax hatschbachii,12,1,0,12,1,0,12,1,13,"33.506,62km","28,0km"
ACANTHACEAE,Chamaeranthemum beyrichii,39,6,0,40,5,0,39,6,45,"130.381,66km","104,0km"
ACANTHACEAE,Dicliptera imminuta,1,3,0,1,3,0,1,3,4,"288,93km","4,0km"
ACANTHACEAE,Dicliptera sericea,12,4,0,14,2,0,12,4,16,"117.722,73km","44,0km"
ACANTHACEAE,Dicliptera squarrosa,41,11,0,45,7,0,41,11,52,"1.405.493,24km","160,0km"
ACANTHACEAE,Duvernoia paranaensis,4,0,0,4,0,0,4,0,4,"280,19km","4,0km"
ACANTHACEAE,Dyschoriste amoena,3,2,0,5,0,0,3,2,5,"544,71km","8,0km"
ACANTHACEAE,Dyschoriste smithii,4,0,0,4,0,0,4,0,4,"65,3km","12,0km"
ACANTHACEAE,Geissomeria ciliata,20,3,0,20,3,0,20,3,23,"268.914,65km","44,0km"
ACANTHACEAE,Geissomeria cincinnata,26,1,0,26,1,0,26,1,27,"886.296,07km","84,0km"
ACANTHACEAE,Geissomeria gigantea,5,0,0,5,0,0,5,0,5,"771,1km","16,0km"
ACANTHACEAE,Geissomeria nitida,19,1,0,19,1,0,19,1,20,"56.085,15km","60,0km"
ACANTHACEAE,Geissomeria tetragona,16,0,0,16,0,0,16,0,16,"355.850,89km","48,0km"
ACANTHACEAE,Herpetacanthus longiflorus,24,0,0,24,0,0,24,0,24,"24.126,6km","60,0km"
ACANTHACEAE,Jacobinia festiva,2,0,0,2,0,0,2,0,2,"274,73km","4,0km"
ACANTHACEAE,Justicia anagallis,9,0,0,9,0,0,9,0,9,"431.454,99km","28,0km"
ACANTHACEAE,Justicia brasiliana,510,17,0,510,17,0,510,17,527,"1.413.008,79km","960,0km"
AMARANTHACEAE,Chamissoa altissima,201,130,0,308,23,0,201,130,331,"6.738.038,69km","496,0km"
AMARANTHACEAE,Gomphrena agrestis,96,86,0,170,12,0,96,86,182,"1.580.333,92km","312,0km"
ACANTHACEAE,Justicia catharinensis,16,3,0,19,0,0,16,3,19,"25.667,42km","40,0km"
ACANTHACEAE,Justicia clausseniana,6,1,0,6,1,0,6,1,7,"3.260,67km","16,0km"
ACANTHACEAE,Justicia congrua,39,0,0,39,0,0,39,0,39,"269.633,59km","124,0km"
ACANTHACEAE,Justicia cydoniifolia,41,8,0,48,1,0,41,8,49,"148.366,59km","120,0km"
AMARANTHACEAE,Pfaffia glomerata,294,91,0,373,12,0,294,91,385,"6.068.533,15km","724,0km"
ACANTHACEAE,Justicia genuflexa,5,1,0,6,0,0,5,1,6,"20.595,33km","12,0km"
ACANTHACEAE,Justicia kleinii,61,3,0,63,1,0,61,3,64,"61.059,89km","84,0km"
ACANTHACEAE,Justicia laevilinguis,78,10,0,78,10,0,78,10,88,"5.353.143,55km","264,0km"
ACANTHACEAE,Justicia lythroides,87,8,0,88,7,0,87,8,95,"740.997,34km","244,0km"
ACANTHACEAE,Justicia obtusifolia,2,1,0,2,1,0,2,1,3,"551,03km","8,0km"
ACANTHACEAE,Justicia paranaensis,17,0,0,17,0,0,17,0,17,"807,68km","20,0km"
AMARANTHACEAE,Gomphrena elegans,30,46,0,66,10,0,30,46,76,"4.014.034,33km","100,0km"
ACANTHACEAE,Justicia polita,21,0,0,21,0,0,21,0,21,"662,74km","40,0km"
ACANTHACEAE,Justicia pseudoamazonica,8,4,0,12,0,0,8,4,12,"128.133,29km","20,0km"
ACANTHACEAE,Justicia ramulosa,5,1,0,5,1,0,5,1,6,"549,33km","8,0km"
ACANTHACEAE,Justicia scheidweileri,34,0,0,34,0,0,34,0,34,"332.562,89km","80,0km"
AMARANTHACEAE,Pfaffia townsendii,85,25,0,110,0,0,85,25,110,"209.098,17km","124,0km"
AMARANTHACEAE,Gomphrena perennis,12,22,0,29,5,0,12,22,34,"131.015,56km","28,0km"
ACANTHACEAE,Justicia symphyantha,45,2,0,47,0,0,45,2,47,"346.284,39km","144,0km"
ACANTHACEAE,Justicia tijucensis,19,0,0,19,0,0,19,0,19,"18.125,44km","56,0km"
ACANTHACEAE,Justicia wasshauseniana,11,2,0,11,2,0,11,2,13,"149.840,99km","76,0km"
ACANTHACEAE,Mendoncia mollis,15,8,0,22,1,0,15,8,23,"207.452,63km","40,0km"
ACANTHACEAE,Odontonema dissitiflorum,10,0,0,10,0,0,10,0,10,"4.486,79km","24,0km"
ACANTHACEAE,Pseuderanthemum modestum,23,0,0,23,0,0,23,0,23,"178.218,16km","76,0km"
ACANTHACEAE,Pseuderanthemum riedelianum,58,3,0,58,3,0,58,3,61,"66.261,01km","132,0km"
ACANTHACEAE,Ruellia affinis,93,9,0,96,6,0,93,9,102,"186.653,46km","264,0km"
ACANTHACEAE,Ruellia bulbifera,13,2,0,13,2,0,13,2,15,"497.695,42km","52,0km"
ACANTHACEAE,Ruellia curviflora,45,0,0,45,0,0,45,0,45,"83.614,74km","116,0km"
ACANTHACEAE,Ruellia dissitifolia,26,12,0,34,4,0,26,12,38,"531.247,89km","72,0km"
ACANTHACEAE,Ruellia epallocaulos,22,1,0,22,1,0,22,1,23,"187.604,08km","48,0km"
ACANTHACEAE,Ruellia erythropus,22,4,0,23,3,0,22,4,26,"270.558,27km","60,0km"
ACANTHACEAE,Ruellia multifolia,34,4,0,34,4,0,34,4,38,"1.291.319,56km","100,0km"
ACANTHACEAE,Ruellia schaueriana,4,2,0,5,1,0,4,2,6,"4.244,49km","12,0km"
ACANTHACEAE,Ruellia solitaria,101,6,0,104,3,0,101,6,107,"547.588,6km","248,0km"
ACANTHACEAE,Schaueria lophura,14,0,0,14,0,0,14,0,14,"30.036,37km","40,0km"
ACANTHACEAE,Schaueria paniculata,1,0,0,1,0,0,1,0,1,"274,55km","4,0km"
ACANTHACEAE,Schaueria virginea,0,6,0,4,2,0,0,6,6,n/a,n/a
ACANTHACEAE,Staurogyne anigozanthus,18,7,0,25,0,0,18,7,25,"31.494,64km","44,0km"
ACANTHACEAE,Staurogyne brachiata,4,0,0,4,0,0,4,0,4,"700,07km","16,0km"
ACANTHACEAE,Staurogyne carvalhoi,9,1,0,9,1,0,9,1,10,"12.277,56km","24,0km"
ACANTHACEAE,Staurogyne itatiaiae,23,1,0,24,0,0,23,1,24,"1.286,11km","40,0km"
ACANTHACEAE,Staurogyne warmingiana,2,0,0,2,0,0,2,0,2,"269,27km","4,0km"
ACANTHACEAE,Stenandrium hatschbachii,7,0,0,7,0,0,7,0,7,"537,25km","16,0km"
ACANTHACEAE,Stenandrium stenophyllum,3,0,0,3,0,0,3,0,3,"0,01km","8,0km"
ACANTHACEAE,Stenostephanus lobeliiformis,6,1,0,7,0,0,6,1,7,"139.952,38km","24,0km"
ACANTHACEAE,Streblacanthus dubiosus,12,0,0,12,0,0,12,0,12,"465.829,69km","20,0km"
ACHATOCARPACEAE,Achatocarpus praecox,14,1,0,14,1,0,14,1,15,"258.245,05km","52,0km"
ADELOTHECIACEAE,Adelothecium bogotense,6,2,0,6,2,0,6,2,8,"131.235,58km","24,0km"
ALISMATACEAE,Echinodorus angustifolius,2,1,0,2,1,0,2,1,3,"517,73km","8,0km"
ALISMATACEAE,Echinodorus austroamericanus,4,0,0,4,0,0,4,0,4,"234.105,28km","16,0km"
ALISMATACEAE,Echinodorus bolivianus,36,0,0,36,0,0,36,0,36,"2.122.847,73km","152,0km"
AMARANTHACEAE,Gomphrena graminea,19,32,0,42,9,0,19,32,51,"759.196,56km","60,0km"
AMARANTHACEAE,Blutaparon portulacoides,153,92,0,240,5,0,153,92,245,"2.149.146,35km","436,0km"
ALISMATACEAE,Echinodorus paniculatus,75,5,0,76,4,0,75,5,80,"3.374.773,97km","200,0km"
ALISMATACEAE,Sagittaria lancifolia,22,2,0,22,2,0,22,2,24,"1.224.983,11km","72,0km"
ALISMATACEAE,Sagittaria rhombifolia,92,14,0,93,13,0,92,14,106,"3.961.151,86km","276,0km"
AMARANTHACEAE,Alternanthera paronychioides,55,94,0,128,21,0,55,94,149,"4.063.970,46km","148,0km"
ALSTROEMERIACEAE,Alstroemeria amabilis,27,0,0,27,0,0,27,0,27,"2.172,52km","40,0km"
ALSTROEMERIACEAE,Alstroemeria apertiflora,75,0,0,75,0,0,75,0,75,"697.180,15km","136,0km"
ALSTROEMERIACEAE,Alstroemeria brasiliensis,7,0,0,7,0,0,7,0,7,"275.007,65km","32,0km"
ALSTROEMERIACEAE,Alstroemeria butantanensis,3,0,0,3,0,0,3,0,3,"276,1km","4,0km"
ALSTROEMERIACEAE,Alstroemeria campaniflora,1,1,0,1,1,0,1,1,2,"286,65km","4,0km"
ALSTROEMERIACEAE,Alstroemeria capixaba,1,0,0,1,0,0,1,0,1,"269,1km","4,0km"
ALSTROEMERIACEAE,Alstroemeria caryophyllaea,9,1,0,9,1,0,9,1,10,"94.468,56km","28,0km"
ALSTROEMERIACEAE,Alstroemeria inodora,50,0,0,50,0,0,50,0,50,"1.177.421,89km","140,0km"
ALSTROEMERIACEAE,Alstroemeria isabellana,55,1,0,55,1,0,55,1,56,"732.778,28km","152,0km"
ALSTROEMERIACEAE,Alstroemeria orchidioides,3,0,0,3,0,0,3,0,3,"1.751,97km","12,0km"
ALSTROEMERIACEAE,Alstroemeria penduliflora,5,0,0,5,0,0,5,0,5,"482,74km","16,0km"
AMARANTHACEAE,Gomphrena regeliana,3,5,0,8,0,0,3,5,8,"551,78km","8,0km"
AMARANTHACEAE,Chamissoa acuminata,93,109,0,192,10,0,93,109,202,"3.355.020,92km","312,0km"
ALSTROEMERIACEAE,Alstroemeria zamioides,1,0,0,1,0,0,1,0,1,"262,84km","4,0km"
AMARANTHACEAE,Alternanthera ficoidea,67,2,0,67,2,0,67,2,69,"3.251.866,79km","184,0km"
AMARANTHACEAE,Alternanthera malmeana,6,2,0,8,0,0,6,2,8,"369.344,23km","16,0km"
AMARANTHACEAE,Alternanthera micrantha,45,26,0,66,5,0,45,26,71,"4.087.624,16km","124,0km"
AMARANTHACEAE,Alternanthera polygonoides,10,1,0,10,1,0,10,1,11,"217.775,88km","32,0km"
AMARANTHACEAE,Alternanthera praelonga,13,10,0,22,1,0,13,10,23,"95.855,09km","12,0km"
AMARANTHACEAE,Alternanthera puberula,6,9,0,15,0,0,6,9,15,"255.294,2km","24,0km"
AMARANTHACEAE,Alternanthera reineckii,12,15,0,24,3,0,12,15,27,"456.660,09km","40,0km"
AMARANTHACEAE,Pfaffia jubata,136,58,0,186,8,0,136,58,194,"1.935.618,69km","376,0km"
AMARANTHACEAE,Gomphrena nigricans,3,3,0,6,0,0,3,3,6,"33,01km","12,0km"
AMARANTHACEAE,Celosia grandifolia,105,53,0,153,5,0,105,53,158,"432.061,22km","308,0km"
AMARANTHACEAE,Froelichia interrupta,4,3,0,6,1,0,4,3,7,"71.319,41km","16,0km"
AMARANTHACEAE,Froelichiella grisea,2,6,0,5,3,0,2,6,8,"522,54km","8,0km"
AMARANTHACEAE,Gomphrena centrota,3,3,0,6,0,0,3,3,6,"268,37km","4,0km"
AMARANTHACEAE,Gomphrena duriuscula,15,9,0,21,3,0,15,9,24,"81.713,06km","28,0km"
AMARANTHACEAE,Gomphrena hatschbachiana,10,4,0,14,0,0,10,4,14,"519,92km","8,0km"
AMARANTHACEAE,Gomphrena macrocephala,37,40,0,72,5,0,37,40,77,"468.932,2km","88,0km"
AMARANTHACEAE,Gomphrena paranensis,10,9,0,17,2,0,10,9,19,"3.118,1km","32,0km"
AMARANTHACEAE,Gomphrena pulchella,2,4,0,5,1,0,2,4,6,"581,35km","8,0km"
AMARANTHACEAE,Gomphrena scandens,3,0,0,3,0,0,3,0,3,"46.450,88km","24,0km"
AMARANTHACEAE,Gomphrena sellowiana,3,1,0,4,0,0,3,1,4,"93.914,72km","12,0km"
AMARANTHACEAE,Hebanthe eriantha,208,17,0,223,2,0,208,17,225,"1.790.924,71km","488,0km"
AMARANTHACEAE,Hebanthe pulverulenta,133,11,0,143,1,0,133,11,144,"886.724,72km","308,0km"
AMARANTHACEAE,Herbstia brasiliana,1,2,0,2,1,0,1,2,3,"120.163,37km","16,0km"
PHYTOLACCACEAE,Microtea maypurensis,90,10,0,90,10,0,90,10,100,"3.710.640,37km","256,0km"
PHYTOLACCACEAE,Microtea scabrida,44,6,0,44,6,0,44,6,50,"4.987.687,75km","120,0km"
AMARANTHACEAE,Pfaffia argyrea,4,2,0,6,0,0,4,2,6,"84,44km","12,0km"
AMARANTHACEAE,Pfaffia glabrata,33,17,0,46,4,0,33,17,50,"1.185.965,1km","112,0km"
AMARANTHACEAE,Pfaffia gnaphaloides,247,26,0,266,7,0,247,26,273,"2.213.542,31km","444,0km"
AMARANTHACEAE,Pfaffia minarum,12,2,0,14,0,0,12,2,14,"11.549,56km","36,0km"
AMARANTHACEAE,Quaternella glabratoides,3,4,0,7,0,0,3,4,7,"562,08km","8,0km"
AMARYLLIDACEAE,Amaryllis blumenavia,2,2,0,2,2,0,2,2,4,"565,84km","8,0km"
AMARYLLIDACEAE,Amaryllis caerulea,1,0,0,1,0,0,1,0,1,"280,27km","4,0km"
AMARYLLIDACEAE,Amaryllis goiana,3,2,0,3,2,0,3,2,5,"272,86km","12,0km"
AMARYLLIDACEAE,Amaryllis psittacina,0,7,0,7,0,0,0,7,7,n/a,n/a
AMARYLLIDACEAE,Amaryllis reginae,2,1,0,3,0,0,2,1,3,"552,73km","8,0km"
AMARYLLIDACEAE,Amaryllis rutila,8,5,0,11,2,0,8,5,13,"27.123,99km","32,0km"
AMARYLLIDACEAE,Amaryllis striata,2,3,0,4,1,0,2,3,5,"557,78km","8,0km"
HYPOXIDACEAE,Curculigo scorzonerifolia,28,12,0,39,1,0,28,12,40,"3.723.997,06km","100,0km"
AMARYLLIDACEAE,Griffinia colatinensis,4,0,0,4,0,0,4,0,4,"357,15km","8,0km"
AMARYLLIDACEAE,Griffinia espiritensis,6,6,0,11,1,0,6,6,12,"17.998,19km","16,0km"
AMARYLLIDACEAE,Griffinia gardneriana,10,0,0,10,0,0,10,0,10,"358.377,62km","32,0km"
AMARYLLIDACEAE,Griffinia hyacinthina,5,6,0,10,1,0,5,6,11,"79,56km","16,0km"
AMARYLLIDACEAE,Griffinia liboniana,7,0,0,7,0,0,7,0,7,"193,47km","12,0km"
AMARYLLIDACEAE,Griffinia ornata,0,3,0,3,0,0,0,3,3,n/a,n/a
AMARYLLIDACEAE,Griffinia parviflora,2,4,0,5,1,0,2,4,6,"527,6km","8,0km"
AMARYLLIDACEAE,Habranthus irwinianus,18,1,0,19,0,0,18,1,19,"6.067,1km","36,0km"
AMARYLLIDACEAE,Hippeastrum angustifolium,4,3,0,4,3,0,4,3,7,"34.420,16km","16,0km"
AMARYLLIDACEAE,Hippeastrum brasilianum,4,0,0,4,0,0,4,0,4,"139,34km","12,0km"
AMARYLLIDACEAE,Hippeastrum breviflorum,8,0,0,8,0,0,8,0,8,"5.021,12km","20,0km"
AMARYLLIDACEAE,Hippeastrum goianum,8,5,0,10,3,0,8,5,13,"4.397,67km","32,0km"
AMARYLLIDACEAE,Hippeastrum morelianum,16,0,0,16,0,0,16,0,16,"44.133,83km","48,0km"
AMARYLLIDACEAE,Hippeastrum psittacinum,2,25,0,24,3,0,2,25,27,"555,18km","8,0km"
AMARYLLIDACEAE,Hippeastrum reginae,9,5,0,13,1,0,9,5,14,"889.700,23km","44,0km"
AMARYLLIDACEAE,Hippeastrum rutilum,1,3,0,4,0,0,1,3,4,"274,89km","4,0km"
AMARYLLIDACEAE,Hippeastrum santacatarina,20,0,0,20,0,0,20,0,20,"90.620,77km","52,0km"
AMARYLLIDACEAE,Hippeastrum striatum,17,9,0,24,2,0,17,9,26,"381.274,52km","100,0km"
AMARYLLIDACEAE,Sprekelia spectabilis,1,0,0,1,0,0,1,0,1,"270,73km","4,0km"
AMARYLLIDACEAE,Worsleya rayneri,20,1,0,21,0,0,20,1,21,"283,45km","36,0km"
AMARYLLIDACEAE,Zephyranthes capivarina,4,0,0,4,0,0,4,0,4,"17.336,85km","16,0km"
ANACARDIACEAE,Anacardium humile,560,25,0,560,25,0,560,25,585,"3.124.360,33km","1.240,0km"
ANACARDIACEAE,Anacardium pumilum,24,3,0,24,3,0,24,3,27,"944.476,47km","80,0km"
ANACARDIACEAE,Astronium fraxinifolium,203,38,0,208,33,0,203,38,241,"3.806.923,02km","632,0km"
ANACARDIACEAE,Astronium graveolens,215,4,0,215,4,0,215,4,219,"3.626.277,83km","580,0km"
ANACARDIACEAE,Cyrtocarpa caatingae,48,2,0,48,2,0,48,2,50,"280.136,0km","132,0km"
ANACARDIACEAE,Myracrodruon urundeuva,569,26,0,575,20,0,569,26,595,"3.521.923,14km","1.524,0km"
ANACARDIACEAE,Schinopsis brasiliensis,412,28,0,411,29,0,411,29,440,"1.711.100,83km","1.040,0km"
ANACARDIACEAE,Schinus apparicianus,4,0,0,4,0,0,4,0,4,"414,85km","8,0km"
ANACARDIACEAE,Schinus engleri,34,4,0,35,3,0,34,4,38,"154.490,82km","72,0km"
ANEMIACEAE,Anemia blechnoides,17,8,0,22,3,0,17,8,25,"15.605,26km","28,0km"
ANEMIACEAE,Anemia elegans,46,3,0,48,1,0,46,3,49,"777.617,32km","112,0km"
ANEURACEAE,Aneura pinguis,25,5,0,25,5,0,25,5,30,"5.528.490,92km","68,0km"
ANNONACEAE,Anaxagorea silvatica,23,2,0,23,2,0,23,2,25,"21.912,08km","44,0km"
ANNONACEAE,Annona bahiensis,2,0,0,2,0,0,2,0,2,"81.672,71km","84,0km"
ANNONACEAE,Annona burchellii,1,3,0,3,1,0,1,3,4,"261,38km","4,0km"
ANNONACEAE,Annona cacans,160,7,0,161,6,0,160,7,167,"2.030.955,45km","408,0km"
ANNONACEAE,Annona coriacea,413,20,0,418,15,0,413,20,433,"4.936.751,33km","1.152,0km"
ANNONACEAE,Annona dioica,119,11,0,119,11,0,119,11,130,"2.200.092,69km","340,0km"
ANNONACEAE,Annona emarginata,106,1,0,106,1,0,106,1,107,"2.697.440,55km","912,0km"
ANNONACEAE,Annona furfuracea,3,1,0,3,1,0,3,1,4,"43.360,27km","12,0km"
ANNONACEAE,Annona glabra,167,6,0,167,6,0,167,6,173,"4.195.175,02km","480,0km"
ANNONACEAE,Annona maritima,2,0,0,2,0,0,2,0,2,"19.419,43km","28,0km"
ANNONACEAE,Annona reticulata,16,3,0,17,2,0,16,3,19,"2.536.581,82km","52,0km"
ANNONACEAE,Annona sericea,71,7,0,71,7,0,71,7,78,"2.735.682,56km","180,0km"
ANNONACEAE,Duguetia coriacea,2,0,0,2,0,0,2,0,2,"545,21km","8,0km"
ANNONACEAE,Duguetia furfuracea,525,0,0,525,0,0,525,0,525,"2.235.641,87km","1.332,0km"
ANNONACEAE,Duguetia lanceolata,174,9,0,174,9,0,174,9,183,"1.171.377,41km","376,0km"
ANNONACEAE,Duguetia magnolioidea,6,0,0,6,0,0,6,0,6,"160,36km","20,0km"
ANNONACEAE,Duguetia restingae,1,0,0,1,0,0,1,0,1,"260,93km","4,0km"
ANNONACEAE,Duguetia reticulata,4,0,0,4,0,0,4,0,4,"533,22km","8,0km"
ANNONACEAE,Duguetia salicifolia,29,4,0,29,4,0,29,4,33,"137.653,3km","68,0km"
ANNONACEAE,Duguetia scottmorii,5,0,0,5,0,0,5,0,5,"20,78km","12,0km"
ANNONACEAE,Duguetia sooretamae,4,2,0,6,0,0,4,2,6,"15,35km","12,0km"
ANNONACEAE,Guatteria asterantha,3,1,0,3,1,0,3,1,4,"0,33km","4,0km"
ANNONACEAE,Guatteria australis,1023,23,0,1025,21,0,1023,23,1046,"3.780.820,26km","2.300,0km"
ANNONACEAE,Guatteria blanchetiana,16,1,0,16,1,0,16,1,17,"209,24km","20,0km"
ANNONACEAE,Guatteria campestris,40,1,0,41,0,0,40,1,41,"501.819,12km","132,0km"
ANNONACEAE,Guatteria clavigera,1,0,0,1,0,0,1,0,1,"275,85km","4,0km"
ANNONACEAE,Guatteria dusenii,83,1,0,83,1,0,83,1,84,"288.425,52km","144,0km"
ANNONACEAE,Guatteria fruticosa,4,0,0,4,0,0,4,0,4,"1.391,98km","12,0km"
ANNONACEAE,Guatteria glabrescens,22,0,0,22,0,0,22,0,22,"241.646,28km","56,0km"
ANNONACEAE,Guatteria gomeziana,21,2,0,21,2,0,21,2,23,"4.478,92km","40,0km"
ANNONACEAE,Guatteria hilariana,27,0,0,27,0,0,27,0,27,"40.643,87km","56,0km"
ANNONACEAE,Guatteria minarum,4,0,0,4,0,0,4,0,4,"106,3km","12,0km"
ANNONACEAE,Guatteria mosenii,2,0,0,2,0,0,2,0,2,"546,03km","8,0km"
ANNONACEAE,Guatteria neglecta,11,3,0,11,3,0,11,3,14,"15.313,33km","28,0km"
ANNONACEAE,Guatteria nigrescens,189,4,0,189,4,0,189,4,193,"448.962,9km","428,0km"
ANNONACEAE,Guatteria odontopetala,30,1,0,30,1,0,30,1,31,"64.839,56km","60,0km"
AMARANTHACEAE,Gomphrena schlechtendaliana,3,5,0,5,3,0,3,5,8,"21.589,67km","12,0km"
ANNONACEAE,Guatteria parvifolia,11,0,0,11,0,0,11,0,11,"79.053,99km","32,0km"
ANNONACEAE,Guatteria psilopus,2,2,0,2,2,0,2,2,4,"430,29km","8,0km"
ANNONACEAE,Guatteria reflexa,1,1,0,1,1,0,1,1,2,"274,86km","4,0km"
ANNONACEAE,Guatteria riedeliana,2,0,0,2,0,0,2,0,2,"419,93km","8,0km"
ANNONACEAE,Guatteria salicifolia,2,0,0,2,0,0,2,0,2,"557,29km","8,0km"
ANNONACEAE,Guatteria tenuis,3,0,0,3,0,0,3,0,3,"290,43km","4,0km"
ANNONACEAE,Guatteria xylopioides,10,0,0,10,0,0,10,0,10,"184,96km","24,0km"
ANNONACEAE,Hornschuchia alba,12,1,0,13,0,0,12,1,13,"39,14km","24,0km"
ANNONACEAE,Hornschuchia cauliflora,4,0,0,4,0,0,4,0,4,"1.240,51km","16,0km"
ANNONACEAE,Hornschuchia obliqua,21,0,0,21,0,0,21,0,21,"1.502,13km","28,0km"
ANNONACEAE,Oxandra reticulata,45,0,0,45,0,0,45,0,45,"1.378.498,08km","124,0km"
ANNONACEAE,Rollinia bahiensis,25,1,0,26,0,0,25,1,26,"81.672,71km","76,0km"
ANNONACEAE,Rollinia emarginata,282,30,0,282,30,0,282,30,312,"2.596.196,46km","676,0km"
ANNONACEAE,Rollinia ferruginea,2,0,0,2,0,0,2,0,2,"327,15km","8,0km"
ANNONACEAE,Rollinia parviflora,35,15,0,40,10,0,35,15,50,"2.648,33km","76,0km"
ANNONACEAE,Rollinia pickelii,49,2,0,49,2,0,49,2,51,"38.161,51km","96,0km"
ANNONACEAE,Rollinia ubatubensis,10,2,0,11,1,0,10,2,12,"137,65km","20,0km"
ANNONACEAE,Rollinia xylopiifolia,11,6,0,12,5,0,11,6,17,"31.545,95km","36,0km"
ANNONACEAE,Trigynaea axilliflora,9,3,0,11,1,0,9,3,12,"76,61km","16,0km"
ANNONACEAE,Trigynaea oblongifolia,4,2,0,5,1,0,4,2,6,"1.454,54km","16,0km"
ANNONACEAE,Unonopsis riedeliana,3,1,0,4,0,0,3,1,4,"1.487,57km","12,0km"
ANNONACEAE,Xylopia aromatica,1216,118,0,1216,118,0,1216,118,1334,"6.858.353,29km","2.508,0km"
ANNONACEAE,Xylopia brasiliensis,175,9,0,175,9,0,175,9,184,"4.252.971,49km","400,0km"
ANNONACEAE,Xylopia grandiflora,4,0,0,4,0,0,4,0,4,"187.185,26km","12,0km"
APIACEAE,Apium prostratum,8,0,0,8,0,0,8,0,8,"52.445,67km","28,0km"
APIACEAE,Eryngium corallinum,11,1,0,11,1,0,11,1,12,"3.229,7km","12,0km"
APIACEAE,Eryngium divaricatum,3,0,0,3,0,0,3,0,3,"586,35km","8,0km"
APIACEAE,Eryngium ekmanii,16,4,0,17,3,0,16,4,20,"117.055,96km","40,0km"
APIACEAE,Eryngium eriophorum,22,4,0,23,3,0,22,4,26,"127.989,61km","76,0km"
APIACEAE,Eryngium eurycephalum,20,9,0,27,2,0,20,9,29,"47.050,07km","76,0km"
APIACEAE,Eryngium glaziovianum,1,2,0,2,1,0,1,2,3,"273,44km","4,0km"
APIACEAE,Eryngium koehneanum,12,1,0,12,1,0,12,1,13,"36.831,75km","32,0km"
APIACEAE,Eryngium ombrophilum,10,4,0,14,0,0,10,4,14,"4.728,44km","20,0km"
APIACEAE,Eryngium sanguisorba,69,3,0,69,3,0,69,3,72,"838.231,99km","176,0km"
APIACEAE,Eryngium scirpinum,39,4,0,39,4,0,39,4,43,"77.686,9km","80,0km"
APIACEAE,Eryngium smithii,12,3,0,13,2,0,12,3,15,"2.215,86km","32,0km"
APIACEAE,Eryngium stenophyllum,2,2,0,3,1,0,2,2,4,"589,04km","8,0km"
APIACEAE,Eryngium urbanianum,5,0,0,5,0,0,5,0,5,"1.215,84km","20,0km"
APIACEAE,Eryngium zosterifolium,5,1,0,6,0,0,5,1,6,"6.696,73km","20,0km"
ARALIACEAE,Hydrocotyle exigua,4,0,0,4,0,0,4,0,4,"49.051,8km","16,0km"
ARALIACEAE,Hydrocotyle langsdorffii,2,0,0,2,0,0,2,0,2,"569,73km","8,0km"
ARALIACEAE,Hydrocotyle pusilla,18,0,0,18,0,0,18,0,18,"526.468,47km","64,0km"
APIACEAE,Lilaeopsis brasiliensis,8,1,0,9,0,0,8,1,9,"47.703,62km","24,0km"
APIACEAE,Spananthe paniculata,32,1,0,32,1,0,32,1,33,"1.196.737,68km","112,0km"
APOCYNACEAE,Anacampta rigida,5,0,0,5,0,0,5,0,5,"854,83km","16,0km"
APOCYNACEAE,Asclepias aequicornu,12,2,0,12,2,0,12,2,14,"953.727,01km","44,0km"
