family,scientificName,use
FABACEAE,"Amburana cearensis","Confecção de ferramentas e utensílios",
FABACEAE,"Amburana cearensis",Bioativo,
GESNERIACEAE,"Sinningia brasiliensis",Ornamental,
GESNERIACEAE,"Sinningia defoliata",Ornamental,
GESNERIACEAE,"Sinningia douglasii",Ornamental,
LAURACEAE,"Ocotea pomaderroides",Bioativo,
LAURACEAE,"Ocotea pulchella","Confecção de ferramentas e utensílios",
LAURACEAE,"Ocotea pulchella",Ornamental,
LAURACEAE,"Ocotea pulchella","Restauração Ambiental",
MALVACEAE,"Luehea candicans",Madeireiro,
MALVACEAE,"Luehea candicans","Restauração Ambiental",
MALVACEAE,"Luehea candicans",Ornamental,
ORCHIDACEAE,"Brasilidium marshallianum",Ornamental,
ORCHIDACEAE,"Hadrolaelia crispa",Ornamental,
ORCHIDACEAE,"Rodriguezia venusta",Ornamental,
SALICACEAE,"Salix humboldtiana",Madeireiro,
ZINGIBERACEAE,"Renealmia petasites",Bioativo,
