family,scientificNameWithoutAuthorship,scientificNameAuthorship
ASTERACEAE,"Austroeupatorium petrophilum","(B.L.Rob.) R.M.King & H.Rob."
ASTERACEAE,"Baccharis alpestris",Gardner
ASTERACEAE,"Baccharis bifrons",Baker
ASTERACEAE,"Baccharis ciliata",Gardner
ASTERACEAE,"Baccharis friburgensis","G.Heiden et al."
ASTERACEAE,"Baccharis pseudovaccinioides",Malag.
ASTERACEAE,"Barrosoa viridiflora","(Baker) R.M. King & H. Rob."
ASTERACEAE,"Calea wedelioides","(Baker) S.F.Blake"
ASTERACEAE,"Critoniopsis magdalenae","(G.M.Barroso) H.Rob."
ASTERACEAE,"Dasyphyllum cryptocephalum","(Baker) Cabrera"
ASTERACEAE,"Dasyphyllum leptacanthum","(Gardner) Cabrera"
ASTERACEAE,"Gamochaeta grazielae","(Rizzini) Deble"
ASTERACEAE,"Graphistylis cuneifolia","(Gardner) B.Nord."
ASTERACEAE,"Lepidaploa araujoa","(H.Rob.) H.Rob."
ASTERACEAE,"Lepidaploa coulonioides","(H.Rob.) H.Rob."
ASTERACEAE,"Lepidaploa obtusifolia","(Less.) H.Rob."
ASTERACEAE,"Lepidaploa persicifolia","(Desf.) H.Rob."
ASTERACEAE,"Lessingianthus glaziovianus","(Baker) H.Rob."
ASTERACEAE,"Macropodina bradei","R.M.King & H.Rob."
ASTERACEAE,"Mikania alexandreae",G.M.Barroso
ASTERACEAE,"Mikania cabrerae",G.M.Barroso
ASTERACEAE,"Mikania campos-portoana",G.M.Barroso
ASTERACEAE,"Mikania casarettoi",B.L.Rob.
ASTERACEAE,"Mikania hastifolia",Baker
ASTERACEAE,"Mikania paranahybensis",G.M.Barroso
ASTERACEAE,"Mikania pteropoda",DC.
ASTERACEAE,"Mikania vauthieriana",Baker
ASTERACEAE,"Ophryosporus organensis",Cabrera
ASTERACEAE,"Piptocarpha verticillata","(Vell.) G.Lom.Sm. ex H.Rob."
ASTERACEAE,"Senecio arctiifolius",Baker
ASTERACEAE,"Senecio malacophyllus",Dusén
ASTERACEAE,"Senecio ramentaceus",Baker
ASTERACEAE,"Stevia dubia",B.L.Rob.
ASTERACEAE,"Stevia organensis",Gardner
ASTERACEAE,"Stevia verticillata",Schltdl.
ASTERACEAE,"Trichogoniopsis podocarpa","(DC.) R.M.King & H.Rob."
ASTERACEAE,"Wunderlichia insignis",Baill.
BEGONIACEAE,"Begonia acetosa",Vell.
BEGONIACEAE,"Begonia acida",Vell.
BEGONIACEAE,"Begonia aconitifolia",A.DC.
BEGONIACEAE,"Begonia antonietae",Brade
BEGONIACEAE,"Begonia cariocana","Brade ex L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia cerasiphylla","L.B.Sm. & Wassh."
BEGONIACEAE,"Begonia collaris",Brade
BEGONIACEAE,"Begonia concinna",Schott
BEGONIACEAE,"Begonia cordata",Vell.
BEGONIACEAE,"Begonia declinata",Vell.
BEGONIACEAE,"Begonia densifolia",Irmsch.
BEGONIACEAE,"Begonia dentatiloba",A.DC.
BEGONIACEAE,"Begonia depauperata",Schott
BEGONIACEAE,"Begonia edmundoi",Brade
