family,scientificName,action,situation,details,references
BROMELIACEAE,"Neoregelia eltoniana","1.1 Site/area protection","on going","A espécie foi coleta no interior da Reserva Ecológica Estadual de Jacarepiá (T. Fontoura, 207). A região de Cabo Frio foi escolhida pelo WWF/IUCN como um dos 12 Centros de Diversidade Vegetal (CDV) do Brasil e a Reserva em questão possui grandes remanescentes de mata de restinga (não inundada ou seca) bem preservadas da região, juntamente com a área de Massambaba e com a Estação de Rádio da Marinha, próximo ao rio Una. A Reserva Ecológica Estadual de Jacarepiá abriga diversas espécies da flora endêmcias as restingas fluminenses (Araújo, 2014).

","Araujo, D.S.D. 2014. A vegetação e a flora da região de Cabo Frio. Publicações Reserva Tauá. Presente em: http://www.reservataua.com.br/vegetacao_flora_cabo_frio.htm. Acessado em: 17 de março de 2014."
BROMELIACEAE,"Neoregelia eltoniana","3.4 Ex-situ conservation","on going","A espécie é preservada em culturas ex situ (D. Sucre, 3630).",
CANELLACEAE,"Cinnamodendron sampaioanum","1.1 Site/area protection","on going","A espécie foi coletada dentro dos limites do Parque Nacional da Serra dos Órgãos (P. Occhioni 711) e possivelmente na Área de Proteção Ambiental da Região Serrana de Petrópolis (APA Petrópolis) (Barros, 2009).","Barros, F. 2009. Canellaceae In: Giulietti, A.M. et al. Plantas Raras do Brasil. Conservation International: Belo Horizonte, MG. 496p."
ACANTHACEAE,"Justicia itatiaiensis","1.1 Site/area protection","on going","A espécie foi coletada na localidade onde antigamente existia a Fazenda Val Paraízo (L. Lanstyak 202; 203) e que, atualmente, integra a área do Parque Nacional de Itatiaia. ",
BROMELIACEAE,"Neoregelia fluminensis","1.1 Site/area protection","on going","Espécie ocorre na Área de Proteção Ambiental da Região Serrana de Petrópolis (Moura e Vieira, 2014).","Moura, R. & Vieira, C.M. 2014. Bromeliaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br"
BROMELIACEAE,"Neoregelia fluminensis","3.4 Ex-situ conservation","on going","Mantida em em cultura ex situ no Jardim Botânico do Rio de Janeiro (G. Martinelli, 11835).",
ACANTHACEAE,"Justicia nervata","1.1 Site/area protection","on going","A localidade de Alto Macaé onde a espécie ocorre (M. Leitman 243; C.M.Vieira; M.Peron 789), faz parte da APA de Macaé de Cima.",
BROMELIACEAE,"Neoregelia fosteriana","1.1 Site/area protection","on going","Espécie ocorre no Parque Nacional do Itatiaia (Moura e Vieira, 2014).","Moura, R. & Vieira, C.M. 2014. Bromeliaceae. Catálogo das espécies de plantas vasculares e briófitas do Estado do Rio de Janeiro. Rio de Janeiro: Instituto de Pesquisas Jardim Botânico do Rio de Janeiro. Disponível em: <http://florariojaneiro.jbrj.gov.br"
BROMELIACEAE,"Neoregelia gavionensis","1.2 Resource & habitat protection","on going","
Mudas em cultivo ex situ (E.M.C.  Leme, 376).
",
Acanthaceae,"Justicia meyeniana","1.1 Site/area protection","on going","A espécie apresenta ocorrências nas áreas protegidas da Área de Proteção Ambiental do Cairuçu e  RPPN Rio das Pedras (Profice, 2014) ","Profice, S., 2014. Acanthaceae. Catálogo das espécies plantas vasculares e briófitas do Estado do Rio Janeiro. Rio Janeiro: Inst. Pesqui. Jard. Botânico do Rio Janeiro. URL Disponível em: <http://florariojaneiro.jbrj.gov.br>. Acesso em 23 mar. 2015."
ACANTHACEAE,"Justicia polita","1.1 Site/area protection","on going","Apresenta registros nas áreas protegidas da APA Macaé de Cima (M. Peron 803), Parque Estadual do Desengano (J.A.Oliveira 165; 179) e Parque Nacional Serra dos Órgãos (C.C.S.Seele 1176; L.A.Cortês 122; G. Gardner s.n., NMNH 1066385). ",
ERYTHROXYLACEAE,"Erythroxylum cincinnatum","1.1 Site/area protection","on going","Com base nos registros de coleta de E. cincinnatum, é possível afirmar que a espécie ocorre dentro dos limites das seguintes unidades de conservação: Parque Nacional da Tijuca, Parque Nacional da Serra dos Órgãos e Estação Ecológica Estadual Paraíso.",
ERYTHROXYLACEAE,"Erythroxylum glazioui","1.1 Site/area protection","on going","A espécie foi registrada dentro dos limites das seguintes unidades de conservação: Área de Proteção Ambiental do Rio São João (G. Martinelli & et al. 11658), Parque Ecológico do Mico Leão Dourado (D. Fernandes 742) e possivelmente dentro dos limites do Parque Estadual da Costa do Sol.",
ERYTHROXYLACEAE,"Erythroxylum gaudichaudii","1.1 Site/area protection","on going","A espécie foi registrada dentro dos limites das seguintes unidades de conservação: Parque Nacional da Tijuca (B. Luschnath s.n.), Parque Estadual da Serra da Tiririca (A.A.M. Barros 3119) e Parque Estadual da Pedra Branca (J.M.Braga 1080).",
ERYTHROXYLACEAE,"Erythroxylum magnoliifolium","1.1 Site/area protection","on going","A espécie possui registros de coleta confirmado dentro dos limites do Parque Nacional da Tijuca (T. C. Plowman 10096) e possivelmente dentro dos Parques Estaduais da Pedra Branca e da Costa do Sol.",
ERYTHROXYLACEAE,"Erythroxylum occultum","1.1 Site/area protection","on going","A espécie possui registros dentro dos limites do Parque Nacional da Tijuca (T. Plowman 12952).",
ERYTHROXYLACEAE,"Erythroxylum ovalifolium","1.1 Site/area protection","on going","Com base nos registros de E. ovalifolium, é possível indicar sua ocorrencia em diversas unidades de conservação ao longo de sua distribuição. ",
BROMELIACEAE,"Neoregelia ilhana","1.1 Site/area protection","on going","Espécie coletada no Parque Estadual do Desengano (CVJBFZB 709; E.C.M. Leme s./n.).",
LOASACEAE,"Aosa uleana","1.1 Site/area protection","on going","A espécie possui sua única subpopulação conhecida legalmente protegida dentro dos limites do Parque Nacional do Itatiaia (Bovini e Giordano, 2005).","Bovini, M.G.; Giordano, L.C.S. 2005. Loasaceae Lindl. no Estado do Rio de Janeiro, Brasil. Acta botanica brasilica.19(2): 265-271."
LOASACEAE,"Aosa uleana","5.1.2 National level","on going","Deficiente de dados"" (DD) segundo a Lista de espécies ameaçadas da Flora Brasileira, anexo II (MMA, 2008).",
LOASACEAE,"Aosa uleana","5.1.2 National level","on going","A. uleana foi considerada Criticamente em Perigo (CR) em relação ao seu risco de extinção durante processo de avaliação de risco empreendido pelo CNCFlora; conta atualmente como CR na Portaria nº 443 que regulamenta a nova Lista Oficial de Espécies Ameaçadas de Extinção da Flora Brasileira.",
