family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
ARACEAE,"Anthurium binotii",Linden,"Anthurium binotii Linden"
ARACEAE,"Anthurium bragae",Nadruz,"Anthurium bragae Nadruz"
ARACEAE,"Anthurium harrisii","(Graham) G.Don","Anthurium harrisii (Graham) G.Don"
ARACEAE,"Anthurium laucheanum",K.Koch,"Anthurium laucheanum K.Koch"
ARACEAE,"Anthurium lhotzkyanum",Schott,"Anthurium lhotzkyanum Schott"
ARACEAE,"Anthurium lucidum",Kunth,"Anthurium lucidum Kunth"
ARACEAE,"Anthurium luschnathianum",Kunth,"Anthurium luschnathianum Kunth"
ARACEAE,"Anthurium nitidulum",Engl.,"Anthurium nitidulum Engl."
ARACEAE,"Anthurium simonii",Nadruz,"Anthurium simonii Nadruz"
ARACEAE,"Anthurium validinervium",Engl.,"Anthurium validinervium Engl."
ARACEAE,"Asterostigma concinnum",Schott,"Asterostigma concinnum Schott"
ARACEAE,"Asterostigma vellozianum",Schott,"Asterostigma vellozianum Schott"
ARACEAE,"Philodendron alternans",Schott,"Philodendron alternans Schott"
ARACEAE,"Philodendron fragile","Nadruz & Mayo","Philodendron fragile Nadruz & Mayo"
ARACEAE,"Philodendron imbe","Schott ex Kunth.","Philodendron imbe Schott ex Kunth."
ARACEAE,"Philodendron millerianum","Nadruz & Sakur.","Philodendron millerianum Nadruz & Sakur."
ARACEAE,"Philodendron nadruzianum",Sakur.,"Philodendron nadruzianum Sakur."
ARACEAE,"Wolffiella neotropica",Landolt,"Wolffiella neotropica Landolt"
ARALIACEAE,"Dendropanax heterophyllus","(Marchal) Frodin","Dendropanax heterophyllus (Marchal) Frodin"
ARALIACEAE,"Dendropanax langsdorfii","(Marchal) Frodin","Dendropanax langsdorfii (Marchal) Frodin"
ARALIACEAE,"Dendropanax trilobus","(Gardner) Seem.","Dendropanax trilobus (Gardner) Seem."
ARALIACEAE,"Hydrocotyle alpestris",Gardner,"Hydrocotyle alpestris Gardner"
ARALIACEAE,"Hydrocotyle bradei",Rossberg,"Hydrocotyle bradei Rossberg"
ARALIACEAE,"Hydrocotyle ulei",H.Wolff,"Hydrocotyle ulei H.Wolff"
ARALIACEAE,"Schefflera succinea","Frodin & Fiaschi","Schefflera succinea Frodin & Fiaschi"
ARECACEAE,"Lytocaryum weddellianum","(H.Wendl.) Toledo","Lytocaryum weddellianum (H.Wendl.) Toledo"
ARISTOLOCHIACEAE,"Aristolochia raja","Mart. & Zucc.","Aristolochia raja Mart. & Zucc."
ASPLENIACEAE,"Asplenium cariocanum",Brade,"Asplenium cariocanum Brade"
ASTERACEAE,"Austrocritonia rosea","(Gardner) R.M.King & H.Rob.","Austrocritonia rosea (Gardner) R.M.King & H.Rob."
ASTERACEAE,"Austrocritonia taunayana","(Glaz. ex B.L.Rob.) R.M.King & H.Rob.","Austrocritonia taunayana (Glaz. ex B.L.Rob.) R.M.King & H.Rob."
ASTERACEAE,"Austroeupatorium petrophilum","(B.L.Rob.) R.M.King & H.Rob.","Austroeupatorium petrophilum (B.L.Rob.) R.M.King & H.Rob."
ASTERACEAE,"Baccharis alpestris",Gardner,"Baccharis alpestris Gardner"
ASTERACEAE,"Baccharis bifrons",Baker,"Baccharis bifrons Baker"
ASTERACEAE,"Baccharis ciliata",Gardner,"Baccharis ciliata Gardner"
ASTERACEAE,"Baccharis friburgensis","G.Heiden et al.","Baccharis friburgensis G.Heiden et al."
ASTERACEAE,"Baccharis pseudovaccinioides",Malag.,"Baccharis pseudovaccinioides Malag."
ASTERACEAE,"Barrosoa viridiflora","(Baker) R.M. King & H. Rob.","Barrosoa viridiflora (Baker) R.M. King & H. Rob."
ASTERACEAE,"Bartlettina hemisphaerica","(DC.) R.M. King & H. Rob.","Bartlettina hemisphaerica (DC.) R.M. King & H. Rob."
ASTERACEAE,"Calea wedelioides","(Baker) S.F.Blake","Calea wedelioides (Baker) S.F.Blake"
ASTERACEAE,"Critoniopsis magdalenae","(G.M.Barroso) H.Rob.","Critoniopsis magdalenae (G.M.Barroso) H.Rob."
ASTERACEAE,"Dasyphyllum cryptocephalum","(Baker) Cabrera","Dasyphyllum cryptocephalum (Baker) Cabrera"
ASTERACEAE,"Dasyphyllum leptacanthum","(Gardner) Cabrera","Dasyphyllum leptacanthum (Gardner) Cabrera"
ASTERACEAE,"Gamochaeta grazielae","(Rizzini) Deble","Gamochaeta grazielae (Rizzini) Deble"
ASTERACEAE,"Graphistylis cuneifolia","(Gardner) B.Nord.","Graphistylis cuneifolia (Gardner) B.Nord."
ASTERACEAE,"Lepidaploa araujoa","(H.Rob.) H.Rob.","Lepidaploa araujoa (H.Rob.) H.Rob."
ASTERACEAE,"Lepidaploa coulonioides","(H.Rob.) H.Rob.","Lepidaploa coulonioides (H.Rob.) H.Rob."
ASTERACEAE,"Lepidaploa obtusifolia","(Less.) H.Rob.","Lepidaploa obtusifolia (Less.) H.Rob."
ASTERACEAE,"Lepidaploa persicifolia","(Desf.) H.Rob.","Lepidaploa persicifolia (Desf.) H.Rob."
ASTERACEAE,"Lessingianthus glaziovianus","(Baker) H.Rob.","Lessingianthus glaziovianus (Baker) H.Rob."
ASTERACEAE,"Macropodina bradei","R.M.King & H.Rob.","Macropodina bradei R.M.King & H.Rob."
ASTERACEAE,"Mikania alexandreae",G.M.Barroso,"Mikania alexandreae G.M.Barroso"
ASTERACEAE,"Mikania cabrerae",G.M.Barroso,"Mikania cabrerae G.M.Barroso"
ASTERACEAE,"Mikania campos-portoana",G.M.Barroso,"Mikania campos-portoana G.M.Barroso"
ASTERACEAE,"Mikania casarettoi",B.L.Rob.,"Mikania casarettoi B.L.Rob."
ASTERACEAE,"Mikania hastifolia",Baker,"Mikania hastifolia Baker"
ASTERACEAE,"Mikania paranahybensis",G.M.Barroso,"Mikania paranahybensis G.M.Barroso"
ASTERACEAE,"Mikania pteropoda",DC.,"Mikania pteropoda DC."
ASTERACEAE,"Mikania vauthieriana",Baker,"Mikania vauthieriana Baker"
ASTERACEAE,"Ophryosporus organensis",Cabrera,"Ophryosporus organensis Cabrera"
