occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
1238349,Dioscoreaceae,DIOSCOREACEAE,"Dioscorea pumilio Griseb.","Dioscorea pumilio",-22.495637,-43.07365,sig,ok,,,,"centroide de uc","Dioscorea pumilio Griseb.",,,,,,,"Tomás Amorim ; Raquel Negrão",
1239343,Fabaceae,FABACEAE,"Mimosa glazioui Benth.","Mimosa glazioui",,,,,,,,,"Mimosa glazioui Benth.",,,,,,,"Lucas Moulton",
1241819,Ochnaceae,OCHNACEAE,"Ouratea stipulata (Vell.) Engl.","Ouratea stipulata",-22.951028,-43.21043,"google earth",ok,"Fernanda Wimmer",,,"250 a 1000 m","Ouratea stipulata (Vell.) Engl.",true,,,,,,"Fernanda Wimmer ; Raquel Negrão",
1241833,Ochnaceae,OCHNACEAE,"Ouratea stipulata (Vell.) Engl.","Ouratea stipulata",-22.502147,-42.99477,"google earth",ok,"Fernanda Wimmer",,,"1 a 5 km","Ouratea stipulata (Vell.) Engl.",true,,,,,,"Fernanda Wimmer ; Raquel Negrão",
1241842,Ochnaceae,OCHNACEAE,"Ouratea stipulata (Vell.) Engl.","Ouratea stipulata",-22.495637,-43.07365,sig,ok,"Fernanda Wimmer",,,"centroide de uc","Ouratea stipulata (Vell.) Engl.",true,,,,,,"Fernanda Wimmer ; Raquel Negrão",
1243049,Fabaceae,FABACEAE,"Senegalia miersii (Benth.) Seigler & Ebinger","Senegalia miersii",,,,,,,,,"Senegalia miersii (Benth.) Seigler & Ebinger",,,,,,,"Lucas Moulton",
1245106,Fabaceae,FABACEAE,"Piptadenia polyptera Benth.","Piptadenia polyptera",,,,,,,,,"Piptadenia polyptera Benth.",,,,,,,"Lucas Moulton",
1245332,Asteraceae,ASTERACEAE,"Senecio arctiifolius Baker","Senecio arctiifolius",,,,,,,,,"Senecio arctiifolius Baker",,,,,,,"Lucas Moraes",
1248822,Rubiaceae,RUBIACEAE,"Coussarea coffeoides Müll.Arg.","Coussarea coffeoides",,,,,,,,,"Coussarea coffeoides Müll.Arg.",,,,,,,"Raquel Negrão",
1249055,Rubiaceae,RUBIACEAE,"Faramea calyciflora A.Rich. ex DC.","Faramea calyciflora",,,,,,,,,"Faramea calyciflora A.Rich. ex DC.",,,,,,,"Raquel Negrão",
1252135,Rubiaceae,RUBIACEAE,"Hindsia violacea Benth.","Hindsia violacea",,,,,,,,,"Hindsia violacea Benth.",,,,,,,"Raquel Negrão",
1252136,Rubiaceae,RUBIACEAE,"Hindsia violacea Benth.","Hindsia violacea",,,,,,,,,"Hindsia violacea Benth.",,,,,,,"Raquel Negrão",
1254737,Cyperaceae,CYPERACEAE,"Hypolytrum glaziovii Boeckeler","Hypolytrum glaziovii",-22.950323,-43.210615,"google earth",ok,,,,"250 a 1000 m","Hypolytrum glaziovii Boeckeler",,,,,,,"Leonardo Novaes ; Raquel Negrão",
1259431,Asteraceae,ASTERACEAE,"Austrocritonia rosea (Gardner) R.M.King & H.Rob.","Austrocritonia rosea",,,,,,,,,"Austrocritonia rosea (Gardner) R.M.King & H.Rob.",,,,,,,"Lucas Moraes",
1259434,Asteraceae,ASTERACEAE,"Austrocritonia rosea (Gardner) R.M.King & H.Rob.","Austrocritonia rosea",,,,,,,,,"Austrocritonia rosea (Gardner) R.M.King & H.Rob.",,,,,,,"Lucas Moraes",
