family,scientificName,use,resource,details,references
COMBRETACEAE,"Terminalia acuminata","9. Construction/structural materials",stalk,"Madeira de lei, própria para construção civil e naval (cascos de embarcações), foi utilizada historicamente na confecção de vigas, traves, obras internas, tabuados, calhas para engenhos e carpintaria (Marquete et al., 2003).","Marquete, N. F. D. S., Teixeira, J., Valente, M. D. C. 2003. Terminalia L. (Combretaceae) na Região Sudeste do Brasil., Bradea.16: 99-123."
FABACEAE,"Dahlstedtia glaziovii","6. Other chemicals",root,"O estudo fitoquímico das raízes da espécie forneceu um novo dibenzoilmetano (glaziovione), juntamente com dezoito compostos conhecidos. A atividade antiproliferativa foi investigada para os extratos. Os dibenzoilmetanos foram mais ativos do que as flavonas. A atividade antimicrobiana foi investigada para os extratos, sendo que estes não se apresentaram ativos (Canzi et al, 2014).
","Canzi, E.F., Marques, F.A., Teixeira, S.D., Tozzi, A.M.G., Silva, M.J., Duarte, R.M.T., Maia, B.H.L., 2014. Prenylated flavonoids from roots of Dahlstedtia glaziovii (Fabaceae). Journal of the Brazilian Chemical Society, 25(6): 995-1001."
GENTIANACEAE,"Prepusa connata","17. Unknown",,,
BROMELIACEAE,"Neoregelia abendrothae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Neoregelia bragarum","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
COMMELINACEAE,"Dichorisandra nana","13. Pets/display animals, horticulture","whole plant","Espécie cultivada na Região dos Lagos por horticultores amadores (Pellegrini, com. pess.).",
DICHAPETALACEAE,"Stephanopodium sessile","17. Unknown",,"Não foi identificado nenhum potencial uso para este táxon na literatura consultada.",
BROMELIACEAE,"Neoregelia camorimiana","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
CLUSIACEAE,"Clusia fragrans","17. Unknown",,"Nenhum uso econômico ou tradicional é dado a essa espécie.",
BROMELIACEAE,"Neoregelia carinata","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Neoregelia coimbrae","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
BROMELIACEAE,"Neoregelia coriacea","13. Pets/display animals, horticulture","whole plant","A maioria das Bomeliaceae apresenta potencial ornamental, o que vem causando o declínio das populações naturais de algumas espécies (Souza e Lorenzi, 2012).","Souza, V. C.; Lorenzi, H. 2008. Botânica sistemática: guia ilustrado para identificação das famílias de fanerógamas nativas e exóticas no Brasil, baseado na APG III. 3a ed. Nova Odessa: Instituto Plantarum, 768 p."
