family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
AQUIFOLIACEAE,"Ilex organensis",Loes.,done,review,CR,"B2ab(ii,iii,iv)"
AQUIFOLIACEAE,"Ilex schwackeana",Loes.,done,review,EN,"B1ab(i,ii,iii,iv)"
AQUIFOLIACEAE,"Ilex virgata",Loes.,done,review,DD,
ARACEAE,"Anthurium aduncum","(Vell.) Schott",review,review,DD,
ARACEAE,"Anthurium augustinum","K.Koch & Lauche",review,review,EN,"B1ab(i,iii)"
ARACEAE,"Anthurium binotii",Linden,review,review,EN,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
ARACEAE,"Anthurium bragae",Nadruz,review,comments,EN,"B2ab(i,iii,v)"
ARACEAE,"Anthurium harrisii","(Graham) G.Don",review,,,
ARACEAE,"Anthurium laucheanum",K.Koch,review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ARACEAE,"Anthurium lhotzkyanum",Schott,review,review,EN,"B1ab(i,ii,iii,iv,v)+2b(i,ii,iii,iv,v)"
ARACEAE,"Anthurium lucidum",Kunth,review,review,CR,"B2ab(i,ii,iii)"
ARACEAE,"Anthurium luschnathianum",Kunth,review,,,
ARACEAE,"Anthurium nitidulum",Engl.,review,review,DD,
ARACEAE,"Anthurium simonii",Nadruz,review,review,EN,"B1ab(i,iii)"
ARACEAE,"Anthurium validinervium",Engl.,review,review,DD,
ARACEAE,"Asterostigma concinnum",Schott,review,review,DD,
ARACEAE,"Philodendron alternans",Schott,review,review,EN,"B1ab(i,ii,iii,iv,v)+2b(i,ii,iii,iv,v)"
ARACEAE,"Philodendron fragile","Nadruz & Mayo",review,review,EN,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)"
ARACEAE,"Philodendron millerianum","Nadruz & Sakur.",review,review,CR,"B2ab(i,iii)"
ARACEAE,"Philodendron nadruzianum",Sakur.,review,,,
ARACEAE,"Wolffiella neotropica",Landolt,review,review,EN,"B1ab(i,iii)"
