family,scientificName,threat,incidence,timing,decline
ARACEAE,"Anthurium binotii","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy;occurrence
ARACEAE,"Anthurium binotii","2 Agriculture & aquaculture",local,past,habitat;occurrence
ARISTOLOCHIACEAE,"Aristolochia raja","1.1 Housing & urban areas",regional,past;present;future,occurrence;
ARISTOLOCHIACEAE,"Aristolochia raja","6.1 Recreational activities",regional,past;present;future,
PIPERACEAE,"Peperomia arbuscula","7.1 Fire & fire suppression",local,present,
PIPERACEAE,"Peperomia arbuscula","1.3 Tourism & recreation areas",regional,present,locality;habitat;occupancy;occurrence
POLYGONACEAE,"Coccoloba rigida","1.1 Housing & urban areas",local,past;present;future,locality;habitat;occupancy;occurrence
POLYGONACEAE,"Coccoloba rigida","2.3 Livestock farming & ranching",local,past,locality;habitat;occupancy;occurrence
POLYGONACEAE,"Coccoloba rigida","3.2 Mining & quarrying",local,present,locality;habitat
POLYGONACEAE,"Coccoloba rigida","5.2 Gathering terrestrial plants",local,present,habitat
POLYGONACEAE,"Coccoloba rigida","7.1 Fire & fire suppression",local,past;present,habitat
ARALIACEAE,"Hydrocotyle bradei","7.1.1 Increase in fire frequency/intensity",regional,past;present,habitat
ARALIACEAE,"Hydrocotyle ulei","7.1.1 Increase in fire frequency/intensity",regional,past;present,habitat
POLYGALACEAE,"Polygala revoluta","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy;occurrence
ARALIACEAE,"Schefflera succinea","2.1.2 Small-holder farming",regional,past,habitat;occurrence
ARALIACEAE,"Schefflera succinea","2.3.2 Small-holder grazing, ranching or farming",regional,past,habitat;occurrence
ARALIACEAE,"Schefflera succinea","1.3 Tourism & recreation areas",regional,present,habitat
ARALIACEAE,"Schefflera succinea","1.1 Housing & urban areas",regional,present,habitat
LORANTHACEAE,"Struthanthus maricensis","7.1 Fire & fire suppression",regional,present,habitat;occupancy;locality
LORANTHACEAE,"Struthanthus maricensis","1.1 Housing & urban areas",regional,past;present,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus maricensis","1.3 Tourism & recreation areas",regional,present;future,locality;habitat;occupancy
LORANTHACEAE,"Struthanthus maricensis","2.3 Livestock farming & ranching",regional,past;present,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Struthanthus maricensis","3.2 Mining & quarrying",regional,present,locality;habitat;occupancy
COMMELINACEAE,"Dichorisandra fluminensis","1.3 Tourism & recreation areas",regional,present;future,
COMMELINACEAE,"Dichorisandra fluminensis","1.1 Housing & urban areas",regional,present,habitat;locality;occurrence
LORANTHACEAE,"Psittacanthus pluricotyledonarius","2.1 Annual & perennial non-timber crops",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Psittacanthus pluricotyledonarius","2.3.2 Small-holder grazing, ranching or farming",regional,past;present;future,
LORANTHACEAE,"Psittacanthus pluricotyledonarius","1.3 Tourism & recreation areas",regional,present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Psittacanthus pluricotyledonarius","1.1 Housing & urban areas",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Psittacanthus pluricotyledonarius","7.1.1 Increase in fire frequency/intensity",regional,past;present;future,locality;habitat;occupancy;occurrence
LORANTHACEAE,"Psittacanthus pluricotyledonarius","10.3 Avalanches/landslides",regional,past;present;future,locality;occupancy;occurrence
APIACEAE,"Eryngium fluminense","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat;occupancy
APIACEAE,"Eryngium fluminense","8.4.2 Named species",local,past;present;future,habitat
APIACEAE,"Eryngium fluminense","1.3 Tourism & recreation areas",local,past;present,habitat
ANNONACEAE,"Annona parviflora","1.1 Housing & urban areas",local,past;present,locality;habitat
ANNONACEAE,"Annona parviflora","7.1.1 Increase in fire frequency/intensity",local,past;present;future,habitat
ANNONACEAE,"Annona parviflora","1.3 Tourism & recreation areas",local,past;present;future,habitat
BURSERACEAE,"Tetragastris breviacuminata","2.1 Annual & perennial non-timber crops",regional,past;present;future,locality;habitat
BURSERACEAE,"Tetragastris breviacuminata","4.1 Roads & railroads",regional,past;present;future,locality;habitat;occupancy;occurrence
BURSERACEAE,"Tetragastris breviacuminata","1.1 Housing & urban areas",local,past;present,locality;habitat;occupancy;occurrence
BURSERACEAE,"Tetragastris breviacuminata","1.3 Tourism & recreation areas",local,past;present;future,habitat;locality
COMBRETACEAE,"Terminalia acuminata","5.3 Logging & wood harvesting",local,past;present,"occupancy;habitat;mature individuals"
ANNONACEAE,"Duguetia microphylla","2.1.2 Small-holder farming",local,present,habitat
ANNONACEAE,"Duguetia microphylla","2.3.2 Small-holder grazing, ranching or farming",local,past;present,locality;habitat
ANNONACEAE,"Duguetia microphylla","1.3 Tourism & recreation areas",,,
ANNONACEAE,"Duguetia microphylla","1.1 Housing & urban areas",local,present;future,
AQUIFOLIACEAE,"Ilex friburgensis","2.1.2 Small-holder farming",regional,past,locality;habitat
AQUIFOLIACEAE,"Ilex friburgensis","2.3.2 Small-holder grazing, ranching or farming",regional,past,locality;habitat
AQUIFOLIACEAE,"Ilex friburgensis","1.3 Tourism & recreation areas",regional,present,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex friburgensis","1.1 Housing & urban areas",regional,present,habitat;locality
AQUIFOLIACEAE,"Ilex glazioviana","7.1.1 Increase in fire frequency/intensity",local,past;present,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex longipetiolata","2.1.2 Small-holder farming",regional,past,locality;habitat;occupancy;occurrence
AQUIFOLIACEAE,"Ilex longipetiolata","2.3.2 Small-holder grazing, ranching or farming",regional,past,locality;locality;occupancy;occurrence
AQUIFOLIACEAE,"Ilex longipetiolata","1.3 Tourism & recreation areas",regional,present,locality;habitat
AQUIFOLIACEAE,"Ilex longipetiolata","1.1 Housing & urban areas",regional,present,locality;habitat;occupancy;occurrence
