"Familia";"Especie";"Ação";"Situação"
Monimiaceae;Grazielanthus arkeocarpus;1.1 Site/area protection;on going;
Monimiaceae;Grazielanthus arkeocarpus;2.1 Site/area management;needed;
Monimiaceae;Grazielanthus arkeocarpus;3.4 Ex-situ conservation;on going;
LAURACEAE;Aniba pedicellata;1.1 Site/area protection;on going;
