family,acceptedNameUsage,valid,invalid,validated,not_validated,sig_ok,sig_nok,no_sig,used,unused,total,eoo,aoo
MYRTACEAE,"Campomanesia fruticosa",0,3,3,0,0,3,0,0,3,3,n/a,n/a
MYRTACEAE,"Campomanesia hirsuta",24,16,40,0,33,7,0,23,17,40,"4.341,15km²","48,0km²"
MYRTACEAE,"Campomanesia lundiana",1,0,1,0,0,1,0,0,1,1,n/a,n/a
MYRTACEAE,"Campomanesia mediterranea",0,2,2,0,0,2,0,0,2,2,n/a,n/a
MYRTACEAE,"Campomanesia terminalis",0,0,0,0,0,0,0,0,0,0,n/a,n/a
MYRTACEAE,"Eugenia arrabidae",0,4,4,0,0,4,0,0,4,4,n/a,n/a
MYRTACEAE,"Eugenia arvensis",0,4,4,0,2,2,0,0,4,4,n/a,n/a
MYRTACEAE,"Eugenia augustana",1,2,3,2,4,1,0,1,4,5,"0,58km²","8,0km²"
MYRTACEAE,"Eugenia brachysepala",1,0,1,0,0,1,0,0,1,1,n/a,n/a
MYRTACEAE,"Eugenia cambucae",7,6,13,0,10,3,0,5,8,13,"925,99km²","16,0km²"
MYRTACEAE,"Eugenia coccifera",1,2,3,0,2,1,0,1,2,3,"274,03km²","4,0km²"
MYRTACEAE,"Eugenia corcovadensis",8,12,20,2,20,1,1,7,15,22,"1.405,03km²","28,0km²"
MYRTACEAE,"Eugenia crenata",0,13,13,0,9,4,0,0,13,13,n/a,n/a
MYRTACEAE,"Eugenia decussata",1,1,2,2,3,1,0,0,4,4,"274,85km²","4,0km²"
MYRTACEAE,"Eugenia expansa",6,16,22,0,21,1,0,6,16,22,"16.916,32km²","16,0km²"
MYRTACEAE,"Eugenia grandifolia",4,4,8,2,2,8,0,2,8,10,"261,69km²","4,0km²"
MYRTACEAE,"Eugenia grazielae",9,5,14,0,13,1,0,9,5,14,"360,55km²","24,0km²"
MYRTACEAE,"Eugenia irirensis",1,2,3,0,3,0,0,1,2,3,"274,97km²","4,0km²"
MYRTACEAE,"Eugenia itaguahiensis",4,14,18,1,16,3,0,3,16,19,"5.100,21km²","12,0km²"
MYRTACEAE,"Eugenia kuhlmanniana",0,5,5,0,2,3,0,0,5,5,n/a,n/a
MYRTACEAE,"Eugenia marambaiensis",0,1,1,0,1,0,0,0,1,1,n/a,n/a
MYRTACEAE,"Eugenia oxyoentophylla",0,0,0,13,12,1,0,0,13,13,"7.609,45km²","32,0km²"
MYRTACEAE,"Eugenia strellensis",1,3,4,0,3,1,0,0,4,4,n/a,n/a
MYRTACEAE,"Eugenia strigipes",0,2,2,0,2,0,0,0,2,2,n/a,n/a
MYRTACEAE,"Eugenia violascens",1,0,1,0,1,0,0,1,0,1,"274,73km²","4,0km²"
MYRTACEAE,"Marlierea capitata",1,0,1,0,0,1,0,0,1,1,n/a,n/a
MYRTACEAE,"Marlierea choriophylla",3,3,6,0,5,1,0,3,3,6,"16,89km²","12,0km²"
MYRTACEAE,"Marlierea estrellensis",1,3,4,0,4,0,0,1,3,4,"274,06km²","4,0km²"
MYRTACEAE,"Marlierea guanabarina",1,0,1,1,2,0,0,1,1,2,"550,78km²","8,0km²"
MYRTACEAE,"Marlierea langsdorffii",2,5,7,1,4,3,1,2,6,8,"350,91km²","8,0km²"
MYRTACEAE,"Marlierea martinellii",5,0,5,0,5,0,0,5,0,5,"18,5km²","12,0km²"
MYRTACEAE,"Marlierea occhionii",1,1,2,1,2,1,0,1,2,3,"546,88km²","8,0km²"
MYRTACEAE,"Marlierea resupinata",1,0,1,0,1,0,0,1,0,1,"274,71km²","4,0km²"
MYRTACEAE,"Marlierea sessiliflora",1,2,3,0,0,3,0,0,3,3,n/a,n/a
MYRTACEAE,"Marlierea silvestris",0,0,0,0,0,0,0,0,0,0,n/a,n/a
MYRTACEAE,"Myrcia badia",1,1,2,0,0,2,0,0,2,2,n/a,n/a
MYRTACEAE,"Myrcia dolichopetala",2,2,4,0,3,1,0,2,2,4,"548,63km²","8,0km²"
MYRTACEAE,"Myrcia magnifolia",5,6,11,2,10,3,0,4,9,13,"551.547,12km²","16,0km²"
MYRTACEAE,"Myrcia neocambessedeana",1,3,4,0,3,1,0,0,4,4,n/a,n/a
MYRTACEAE,"Myrcia stewartiana",1,0,1,2,0,2,1,0,3,3,n/a,n/a
MYRTACEAE,"Myrcia velutiflora",6,9,15,3,16,1,1,6,12,18,"601,54km²","20,0km²"
MYRTACEAE,"Myrcia warmingiana",12,10,22,0,19,3,0,11,11,22,"100,31km²","12,0km²"
MYRTACEAE,"Myrciaria pumila",2,5,7,0,4,3,0,1,6,7,"273,48km²","4,0km²"
MYRTACEAE,"Neomitranthes apiculata",2,1,3,0,2,1,0,2,1,3,"273,44km²","4,0km²"
MYRTACEAE,"Neomitranthes riedeliana",4,7,11,0,5,6,0,3,8,11,"517,23km²","8,0km²"
MYRTACEAE,"Plinia anonyma",0,4,4,0,4,0,0,0,4,4,n/a,n/a
MYRTACEAE,"Plinia ilhensis",15,9,24,1,21,4,0,15,10,25,"1.621,72km²","56,0km²"
MYRTACEAE,"Plinia marqueteana",3,8,11,0,11,0,0,3,8,11,"100,6km²","12,0km²"
MYRTACEAE,"Plinia martinellii",10,11,21,0,18,3,0,10,11,21,"410,1km²","24,0km²"
MYRTACEAE,"Plinia sebastianopolitana",1,15,16,0,15,1,0,1,15,16,"274,86km²","4,0km²"
MYRTACEAE,"Psidium anthomega",0,1,1,0,0,1,0,0,1,1,n/a,n/a
MYRTACEAE,"Psidium arboreum",0,5,5,0,3,2,0,0,5,5,n/a,n/a
OCHNACEAE,"Luxemburgia glazioviana",22,9,31,6,28,9,0,20,17,37,"45.184,37km²","56,0km²"
OCHNACEAE,"Ouratea campos-portoi",0,0,0,4,3,1,0,0,4,4,"120,56km²","12,0km²"
OCHNACEAE,"Ouratea grandifolia",0,1,1,19,18,1,1,0,20,20,"269.134,93km²","44,0km²"
OCHNACEAE,"Ouratea miersii",0,0,0,15,8,7,0,0,15,15,"326,46km²","16,0km²"
OCHNACEAE,"Ouratea polita",0,0,0,1,1,0,0,0,1,1,"274,85km²","4,0km²"
OCHNACEAE,"Ouratea stipulata",0,4,4,58,47,15,0,0,62,62,"26.628,47km²","84,0km²"
OLACACEAE,"Cathedra grandiflora",1,2,3,0,1,2,0,1,2,3,"273,44km²","4,0km²"
OLACACEAE,"Dulacia singularis",4,1,5,27,20,12,0,4,28,32,"671.531,63km²","56,0km²"
OLEACEAE,"Chionanthus fluminensis",0,3,3,30,18,15,0,0,33,33,"1.732,11km²","32,0km²"
OLEACEAE,"Chionanthus tenuis",1,4,5,0,5,0,0,1,4,5,"274,85km²","4,0km²"
ONAGRACEAE,"Fuchsia alpestris",5,4,9,0,6,3,0,5,4,9,"160,86km²","20,0km²"
ONAGRACEAE,"Fuchsia campos-portoi",34,7,41,2,43,0,0,34,9,43,"454,67km²","36,0km²"
ONAGRACEAE,"Fuchsia glazioviana",22,4,26,4,29,1,0,22,8,30,"1.610,69km²","24,0km²"
OPILIACEAE,"Agonandra fluminensis",0,4,4,0,3,1,0,0,4,4,n/a,n/a
ORCHIDACEAE,"Acianthera bidentata",1,0,1,1,1,1,0,1,1,2,"273,79km²","4,0km²"
ORCHIDACEAE,"Acianthera exdrasii",0,1,1,0,1,0,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Acianthera pavimentata",0,1,1,0,0,1,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Acianthera subrotundifolia",1,1,2,0,2,0,0,1,1,2,"274,93km²","4,0km²"
ORCHIDACEAE,"Anathallis flammea",1,0,1,0,1,0,0,1,0,1,"274,07km²","4,0km²"
ORCHIDACEAE,"Anathallis githaginea",1,0,1,0,1,0,0,1,0,1,"274,86km²","4,0km²"
ORCHIDACEAE,"Anathallis lichenophila",1,0,1,0,1,0,0,1,0,1,"274,86km²","4,0km²"
ORCHIDACEAE,"Anathallis pubipetala",6,2,8,0,7,1,0,5,3,8,"1.138,67km²","16,0km²"
ORCHIDACEAE,"Anathallis rubrolimbata",1,0,1,0,1,0,0,1,0,1,"273,49km²","4,0km²"
ORCHIDACEAE,"Anathallis spannageliana",3,0,3,0,3,0,0,3,0,3,"547,28km²","8,0km²"
ORCHIDACEAE,"Baptistonia pulchella",3,3,6,0,3,3,0,3,3,6,"10,96km²","12,0km²"
ORCHIDACEAE,"Barbosella macaheensis",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Brasilaelia fidelensis",2,0,2,0,2,0,0,2,0,2,"544,61km²","8,0km²"
ORCHIDACEAE,"Brasilidium dasytyle",1,1,2,0,2,0,0,1,1,2,"273,89km²","4,0km²"
ORCHIDACEAE,"Brasiliorchis heismanniana",1,1,2,0,2,0,0,1,1,2,"274,07km²","4,0km²"
ORCHIDACEAE,"Brasiliorchis polyantha",1,1,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Bulbophyllum macroceras",3,4,7,0,2,5,0,2,5,7,"396,3km²","8,0km²"
ORCHIDACEAE,"Campylocentrum calostachyum",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Campylocentrum organense",12,9,21,0,12,9,0,8,13,21,"2.703,73km²","20,0km²"
ORCHIDACEAE,"Catasetum globiflorum",1,3,4,0,2,2,0,0,4,4,n/a,n/a
ORCHIDACEAE,"Cattleya dormaniana",4,3,7,0,4,3,0,3,4,7,"475,06km²","8,0km²"
ORCHIDACEAE,"Centroglossa greeniana",5,4,9,0,5,4,0,4,5,9,"189,37km²","12,0km²"
ORCHIDACEAE,"Cleistes liliastrum",3,5,8,0,2,6,0,2,6,8,"273,39km²","4,0km²"
ORCHIDACEAE,"Cleistes miersii",1,2,3,0,1,2,0,1,2,3,"274,85km²","4,0km²"
ORCHIDACEAE,"Coppensia edmundoi",1,0,1,0,1,0,0,1,0,1,"272,54km²","4,0km²"
ORCHIDACEAE,"Cyclopogon gardneri",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Cyclopogon proboscideus",1,2,3,0,1,2,0,0,3,3,n/a,n/a
ORCHIDACEAE,"Cyclopogon venustus",6,1,7,0,5,2,0,5,2,7,"2.244,55km²","16,0km²"
ORCHIDACEAE,"Encyclia viridiflora",1,1,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Epidendrum ammophilum",9,2,11,1,9,2,1,8,4,12,"46,86km²","20,0km²"
ORCHIDACEAE,"Epidendrum goebelii",1,0,1,0,1,0,0,1,0,1,"273,39km²","4,0km²"
ORCHIDACEAE,"Epidendrum harrisoniae",3,8,11,0,5,6,0,3,8,11,"55,21km²","12,0km²"
ORCHIDACEAE,"Epistephium portellianum",2,0,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Eurystyles lobata",2,0,2,0,2,0,0,2,0,2,"558,35km²","8,0km²"
ORCHIDACEAE,"Eurystyles rutkowskiana",0,1,1,0,0,1,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Gomesa messmeriana",1,0,1,0,1,0,0,1,0,1,"275,72km²","4,0km²"
ORCHIDACEAE,"Habenaria gnoma",2,0,2,0,2,0,0,2,0,2,"272,49km²","4,0km²"
ORCHIDACEAE,"Hadrolaelia acuensis",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Hapalorchis cymbirostris",6,0,6,0,4,2,0,4,2,6,"1.138,36km²","12,0km²"
ORCHIDACEAE,"Hapalorchis panduratus",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Hoffmannseggella alvaroana",2,0,2,0,1,1,0,1,1,2,"272,41km²","4,0km²"
ORCHIDACEAE,"Lankesterella parvula",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Lankesterella pilosa",1,1,2,0,2,0,0,1,1,2,"273,89km²","4,0km²"
ORCHIDACEAE,"Lankesterella spannageliana",3,0,3,0,3,0,0,3,0,3,"24,33km²","12,0km²"
ORCHIDACEAE,"Maxillaria pterocarpa",1,1,2,0,2,0,0,1,1,2,"274,07km²","4,0km²"
ORCHIDACEAE,"Miltonia flava",4,4,8,0,0,8,0,0,8,8,n/a,n/a
ORCHIDACEAE,"Octomeria aetheoantha",1,0,1,0,1,0,0,1,0,1,"274,51km²","4,0km²"
ORCHIDACEAE,"Octomeria cariocana",1,1,2,0,2,0,0,1,1,2,"274,83km²","4,0km²"
ORCHIDACEAE,"Octomeria cochlearis",6,0,6,0,4,2,0,4,2,6,"1.841,76km²","16,0km²"
ORCHIDACEAE,"Octomeria fimbriata",2,0,2,0,2,0,0,2,0,2,"547,49km²","8,0km²"
ORCHIDACEAE,"Octomeria helvola",1,0,1,0,0,1,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Octomeria itatiaiae",1,0,1,0,1,0,0,1,0,1,"273,88km²","4,0km²"
ORCHIDACEAE,"Octomeria minuta",2,0,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Octomeria multiflora",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Octomeria pumila",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Octomeria rodeiensis",5,0,5,0,3,2,0,3,2,5,"547,17km²","8,0km²"
ORCHIDACEAE,"Octomeria rodriguesii",8,2,10,0,6,4,0,5,5,10,"871,1km²","16,0km²"
ORCHIDACEAE,"Octomeria sarcophylla",3,2,5,0,4,1,0,2,3,5,"276,99km²","4,0km²"
ORCHIDACEAE,"Pabstia placanthera",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Pabstiella calcarata",2,0,2,0,2,0,0,2,0,2,"547,33km²","8,0km²"
ORCHIDACEAE,"Pabstiella crassicaulis",1,0,1,0,1,0,0,1,0,1,"274,87km²","4,0km²"
ORCHIDACEAE,"Pabstiella elegantula",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Pabstiella gracilicaulis",1,2,3,0,1,2,0,1,2,3,"273,58km²","4,0km²"
ORCHIDACEAE,"Pabstiella spathuliglossa",2,1,3,1,2,1,1,2,2,4,"273,73km²","4,0km²"
ORCHIDACEAE,"Pabstiella tabacina",2,0,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Pelexia longibracteata",2,0,2,0,2,0,0,2,0,2,"403,24km²","8,0km²"
ORCHIDACEAE,"Pelexia luetzelburgii",3,0,3,0,2,1,0,2,1,3,"273,89km²","4,0km²"
ORCHIDACEAE,"Pelexia mouraei",1,0,1,0,0,1,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Phymatidium limae",1,0,1,0,1,0,0,1,0,1,"272,54km²","4,0km²"
ORCHIDACEAE,"Pleurothallis jacarepaguaensis",1,0,1,0,0,1,0,0,1,1,n/a,n/a
ORCHIDACEAE,"Prescottia spiranthophylla",16,5,21,0,16,5,0,13,8,21,"167,14km²","40,0km²"
ORCHIDACEAE,"Prosthechea serpentilingua",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Pygmaeorchis brasiliensis",1,0,1,0,1,0,0,1,0,1,"272,87km²","4,0km²"
ORCHIDACEAE,"Rauhiella brasiliensis",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Rauhiella seehaweri",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Rodriguezia bifolia",3,2,5,0,0,5,0,0,5,5,n/a,n/a
ORCHIDACEAE,"Rodriguezia leucantha",2,2,4,0,0,4,0,0,4,4,n/a,n/a
ORCHIDACEAE,"Rodriguezia sucrei",1,2,3,0,3,0,0,1,2,3,"274,19km²","4,0km²"
ORCHIDACEAE,"Sarcoglottis veyretiae",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Sauroglossum odoratum",0,0,0,0,0,0,0,0,0,0,n/a,n/a
ORCHIDACEAE,"Sauroglossum organense",2,0,2,0,1,1,0,1,1,2,"269,4km²","4,0km²"
ORCHIDACEAE,"Specklinia hymenantha",2,3,5,0,0,5,0,0,5,5,n/a,n/a
ORCHIDACEAE,"Stelis palmeiraensis",2,2,4,0,3,1,0,1,3,4,"275,4km²","4,0km²"
ORCHIDACEAE,"Trigonidium turbinatum",1,1,2,0,0,2,0,0,2,2,n/a,n/a
ORCHIDACEAE,"Vanilla dungsii",1,0,1,0,1,0,0,1,0,1,"273,39km²","4,0km²"
ORCHIDACEAE,"Zygostates ovatipetala",3,1,4,2,3,1,2,2,4,6,"546,38km²","8,0km²"
OROBANCHACEAE,"Magdalenaea limae",4,0,4,0,4,0,0,4,0,4,"272,46km²","4,0km²"
PASSIFLORACEAE,"Passiflora farneyi",11,9,20,0,19,1,0,11,9,20,"998,76km²","28,0km²"
PASSIFLORACEAE,"Passiflora imbeana",17,4,21,0,21,0,0,17,4,21,"3.807,97km²","40,0km²"
PHYLLANTHACEAE,"Phyllanthus itatiaiensis",2,9,11,0,11,0,0,2,9,11,"273,93km²","4,0km²"
PHYLLANTHACEAE,"Phyllanthus mocotensis",1,1,2,0,2,0,0,1,1,2,"272,32km²","4,0km²"
PHYLLANTHACEAE,"Phyllanthus rosmarinifolius",8,1,9,0,8,1,0,7,2,9,"0,1km²","8,0km²"
PICRAMNIACEAE,"Picramnia grandifolia",9,1,10,0,8,2,0,8,2,10,"279,85km²","20,0km²"
PIPERACEAE,"Peperomia arbuscula",2,1,3,0,3,0,0,2,1,3,"535,18km²","8,0km²"
PIPERACEAE,"Peperomia bradei",1,11,12,0,10,2,0,1,11,12,"273,87km²","4,0km²"
PIPERACEAE,"Peperomia humifusa",1,1,2,0,2,0,0,1,1,2,"272,63km²","4,0km²"
PIPERACEAE,"Peperomia papillispica",1,5,6,0,5,1,0,1,5,6,"274,89km²","4,0km²"
PIPERACEAE,"Peperomia pubipeduncula",4,1,5,0,5,0,0,4,1,5,"35,11km²","12,0km²"
PIPERACEAE,"Peperomia riedeliana",1,1,2,0,2,0,0,1,1,2,"273,73km²","4,0km²"
PIPERACEAE,"Piper crebrinodum",1,0,1,1,1,1,0,0,2,2,"274,85km²","4,0km²"
PIPERACEAE,"Piper emygdioi",1,5,6,0,6,0,0,1,5,6,"274,6km²","4,0km²"
PIPERACEAE,"Piper giordanoi",5,8,13,0,13,0,0,5,8,13,"275,06km²","4,0km²"
PIPERACEAE,"Piper halesiifolium",2,2,4,0,2,2,0,1,3,4,"274,71km²","4,0km²"
PIPERACEAE,"Piper lundii",2,2,4,0,1,3,0,0,4,4,n/a,n/a
PIPERACEAE,"Piper morisonianum",2,5,7,0,6,1,0,1,6,7,"274,86km²","4,0km²"
PIPERACEAE,"Piper niteroiense",1,0,1,0,1,0,0,1,0,1,"274,71km²","4,0km²"
PIPERACEAE,"Piper rioense",7,7,14,0,14,0,0,7,7,14,"313,73km²","20,0km²"
PIPERACEAE,"Piper rumicifolium",1,0,1,0,1,0,0,1,0,1,"274,02km²","4,0km²"
PIPERACEAE,"Piper saldanhai",1,2,3,0,3,0,0,1,2,3,"273,79km²","4,0km²"
PIPERACEAE,"Piper translucens",33,1,34,0,34,0,0,33,1,34,"14.548,06km²","80,0km²"
PIPERACEAE,"Piper trigonodrupum",3,6,9,0,7,2,0,2,7,9,"318,73km²","8,0km²"
PIPERACEAE,"Piper weddellii",1,2,3,0,0,3,0,0,3,3,n/a,n/a
PLANTAGINACEAE,"Achetaria latifolia",2,0,2,5,5,0,2,2,5,7,"4,4km²","16,0km²"
PLANTAGINACEAE,"Ildefonsia bibracteata",7,7,14,3,10,7,0,6,11,17,"412,93km²","16,0km²"
POACEAE,"Apochloa tijucae",0,0,0,0,0,0,0,0,0,0,n/a,n/a
POACEAE,"Chusquea tenuis",1,2,3,0,2,1,0,1,2,3,"273,88km²","4,0km²"
POACEAE,"Chusquea wilkesii",1,1,2,0,0,2,0,0,2,2,n/a,n/a
POACEAE,"Dichanthelium cucaense",3,0,3,0,3,0,0,3,0,3,"547,6km²","8,0km²"
POACEAE,"Dichanthelium itatiaiae",1,5,6,0,6,0,0,1,5,6,"273,88km²","4,0km²"
POACEAE,"Dichanthelium petropolitanum",1,0,1,0,1,0,0,1,0,1,"273,77km²","4,0km²"
POACEAE,"Renvoizea glaziovii",2,12,14,1,1,14,0,1,14,15,"273,83km²","4,0km²"
POACEAE,"Renvoizea teretifolia",3,27,30,3,8,25,0,1,32,33,"2.006,17km²","12,0km²"
POACEAE,"Trisetum brasiliense",1,2,3,0,3,0,0,1,2,3,"273,88km²","4,0km²"
PODOSTEMACEAE,"Podostemum saldanhanum",11,7,18,0,8,10,0,8,10,18,"630,51km²","16,0km²"
POLYGALACEAE,"Polygala revoluta",22,11,33,0,31,2,0,21,12,33,"45,47km²","16,0km²"
POLYGONACEAE,"Coccoloba rigida",26,22,48,0,38,10,0,18,30,48,"378,05km²","32,0km²"
POLYPODIACEAE,"Moranopteris xbradei",1,0,1,0,1,0,0,1,0,1,"273,18km²","4,0km²"
POLYPODIACEAE,"Pecluma imbeana",1,3,4,0,4,0,0,1,3,4,"272,59km²","4,0km²"
POLYPODIACEAE,"Stenogrammitis luetzelburgii",2,3,5,0,2,3,0,1,4,5,"273,89km²","4,0km²"
PRIMULACEAE,"Cybianthus barrosoanus",1,0,1,0,0,1,0,0,1,1,n/a,n/a
PRIMULACEAE,"Cybianthus gracillimus",3,3,6,0,3,3,0,2,4,6,"522,9km²","8,0km²"
PRIMULACEAE,"Stylogyne araujoana",1,2,3,0,3,0,0,1,2,3,"273,98km²","4,0km²"
PRIMULACEAE,"Stylogyne leptantha",8,0,8,0,7,1,0,7,1,8,"350,14km²","24,0km²"
PRIMULACEAE,"Stylogyne sordida",4,2,6,0,4,2,0,3,3,6,"494,66km²","8,0km²"
PROTEACEAE,"Roupala gracilis",12,1,13,0,11,2,0,11,2,13,"75,02km²","24,0km²"
PTERIDACEAE,"Doryopteris magdalenensis",8,0,8,0,8,0,0,8,0,8,"50,21km²","20,0km²"
PTERIDACEAE,"Doryopteris quinquelobata",3,7,10,1,5,6,0,1,10,11,"554,93km²","8,0km²"
PTERIDACEAE,"Doryopteris subsimplex",6,9,15,0,10,5,0,5,10,15,"2.015,68km²","20,0km²"
PTERIDACEAE,"Doryopteris tijucana",13,10,23,0,23,0,0,13,10,23,"23,95km²","20,0km²"
PTERIDACEAE,"Pteris congesta",24,6,30,0,28,2,0,22,8,30,"2.232,14km²","40,0km²"
RANUNCULACEAE,"Anemone assisbrasiliana",5,1,6,0,6,0,0,5,1,6,"472,11km²","8,0km²"
RUBIACEAE,"Bathysa sylvestrae",12,7,19,0,19,0,0,12,7,19,"521,4km²","32,0km²"
RUBIACEAE,"Chomelia monantha",5,8,13,0,8,5,0,5,8,13,"418,2km²","12,0km²"
RUBIACEAE,"Chomelia transiens",0,7,7,0,1,6,0,0,7,7,n/a,n/a
RUBIACEAE,"Coussarea biflora",2,0,2,0,0,2,0,0,2,2,n/a,n/a
RUBIACEAE,"Coussarea coffeoides",6,5,11,2,10,3,0,5,8,13,"560.702,59km²","28,0km²"
RUBIACEAE,"Coussarea friburgensis",23,25,48,9,57,0,0,23,34,57,"66,11km²","28,0km²"
RUBIACEAE,"Coussarea lanceolata",0,2,2,0,0,2,0,0,2,2,n/a,n/a
RUBIACEAE,"Coussarea procumbens",0,2,2,0,2,0,0,0,2,2,n/a,n/a
RUBIACEAE,"Coussarea speciosa",3,4,7,0,3,4,0,3,4,7,"273,39km²","4,0km²"
RUBIACEAE,"Coussarea strigosipes",26,10,36,3,36,3,0,26,13,39,"3.460,27km²","48,0km²"
RUBIACEAE,"Coussarea viridis",6,12,18,1,17,2,0,6,13,19,"0,03km²","8,0km²"
RUBIACEAE,"Faramea anisodonta",1,1,2,0,1,1,0,1,1,2,"274,83km²","4,0km²"
RUBIACEAE,"Faramea aristata",1,16,17,0,15,2,0,1,16,17,"271,86km²","4,0km²"
RUBIACEAE,"Faramea australis",1,1,2,0,2,0,0,1,1,2,"275,72km²","4,0km²"
RUBIACEAE,"Faramea brachyloba",12,7,19,1,19,1,0,11,9,20,"1.318,49km²","32,0km²"
RUBIACEAE,"Faramea calyciflora",8,65,73,10,63,10,10,8,75,83,"443,61km²","16,0km²"
RUBIACEAE,"Faramea campanularis",26,6,32,1,31,2,0,26,7,33,"1.996,21km²","60,0km²"
RUBIACEAE,"Faramea cardiophylla",0,7,7,1,0,8,0,0,8,8,n/a,n/a
RUBIACEAE,"Faramea cordifolia",0,1,1,0,0,1,0,0,1,1,n/a,n/a
RUBIACEAE,"Faramea filamentosa",8,9,17,0,17,0,0,8,9,17,"151,41km²","16,0km²"
RUBIACEAE,"Faramea heteromera",1,3,4,0,2,2,0,1,3,4,"272,62km²","4,0km²"
RUBIACEAE,"Faramea includens",4,4,8,0,4,4,0,3,5,8,"1.031,84km²","12,0km²"
RUBIACEAE,"Faramea intercedens",4,3,7,0,5,2,0,4,3,7,"536,12km²","8,0km²"
RUBIACEAE,"Faramea leucocalyx",22,1,23,0,20,3,0,20,3,23,"118.133,8km²","32,0km²"
RUBIACEAE,"Faramea micrantha",1,8,9,1,5,5,0,1,9,10,n/a,n/a
RUBIACEAE,"Faramea platypoda",2,7,9,0,4,5,0,1,8,9,"274,83km²","4,0km²"
RUBIACEAE,"Faramea tinguana",6,10,16,0,8,8,0,5,11,16,"274,18km²","4,0km²"
RUBIACEAE,"Faramea urophylla",1,2,3,0,3,0,0,1,2,3,"273,13km²","4,0km²"
RUBIACEAE,"Galianthe polygonoides",4,4,8,0,6,2,0,3,5,8,"11,57km²","12,0km²"
RUBIACEAE,"Hillia saldanhaei",1,5,6,0,6,0,0,1,5,6,"273,38km²","4,0km²"
RUBIACEAE,"Hindsia arianeae",1,0,1,0,1,0,0,1,0,1,"274,03km²","4,0km²"
RUBIACEAE,"Hindsia cucullata",1,2,3,0,1,2,0,0,3,3,n/a,n/a
RUBIACEAE,"Hindsia glabra",2,26,28,4,28,0,4,2,30,32,"273,96km²","4,0km²"
RUBIACEAE,"Hindsia phyllocalyx",1,4,5,0,5,0,0,1,4,5,"273,57km²","4,0km²"
RUBIACEAE,"Hindsia republicana",1,0,1,0,1,0,0,1,0,1,"272,43km²","4,0km²"
RUBIACEAE,"Hindsia violacea",2,6,8,0,1,7,0,0,8,8,n/a,n/a
RUBIACEAE,"Ixora heterophylla",3,4,7,0,7,0,0,3,4,7,"141,65km²","12,0km²"
RUBIACEAE,"Malanea spicata",0,7,7,0,6,1,0,0,7,7,n/a,n/a
RUBIACEAE,"Manettia fimbriata",19,7,26,19,40,5,0,18,27,45,"121.089,98km²","112,0km²"
RUBIACEAE,"Manettia lutescens",1,1,2,0,1,1,0,0,2,2,n/a,n/a
RUBIACEAE,"Manettia parvula",2,7,9,0,7,2,0,2,7,9,"273,49km²","4,0km²"
RUBIACEAE,"Manettia pedunculata",11,14,25,0,11,14,0,6,19,25,"12.800,06km²","24,0km²"
RUBIACEAE,"Palicourea brasiliensis",0,2,2,1,0,3,0,0,3,3,n/a,n/a
RUBIACEAE,"Posoqueria laurifolia",2,0,2,0,2,0,0,2,0,2,"548,85km²","8,0km²"
RUBIACEAE,"Psychotria ampla",0,2,2,0,2,0,0,0,2,2,n/a,n/a
RUBIACEAE,"Psychotria brachyandra",0,3,3,0,2,1,0,0,3,3,n/a,n/a
RUBIACEAE,"Psychotria brachyanthema",0,1,1,0,0,1,0,0,1,1,n/a,n/a
RUBIACEAE,"Psychotria caudata",7,16,23,0,23,0,0,7,16,23,"28,25km²","20,0km²"
RUBIACEAE,"Psychotria clavipes",0,12,12,0,5,7,0,0,12,12,n/a,n/a
RUBIACEAE,"Psychotria densicostata",1,3,4,0,2,2,0,1,3,4,"274,85km²","4,0km²"
