family,scientificName,habitat
SYMPLOCACEAE,"Symplocos altissima","1.6 Subtropical/Tropical Moist Lowland Forest"
ACANTHACEAE,"Herpetacanthus delicatus","1.9 Subtropical/Tropical Moist Montane Forest"
SYMPLOCACEAE,"Symplocos dasyphylla","4.7 Subtropical/Tropical High Altitude Grassland"
SYMPLOCACEAE,"Symplocos dasyphylla","1.6 Subtropical/Tropical Moist Lowland Forest"
SYMPLOCACEAE,"Symplocos glaziovii","3.7 Subtropical/Tropical High Altitude Shrubland"
LAURACEAE,"Nectandra spicata","1.6 Subtropical/Tropical Moist Lowland Forest"
LAURACEAE,"Nectandra spicata","1.9 Subtropical/Tropical Moist Montane Forest"
SYMPLOCACEAE,"Symplocos neglecta","4.7 Subtropical/Tropical High Altitude Grassland"
APIACEAE,"Eryngium goulartii","4.7 Subtropical/Tropical High Altitude Grassland"
LAURACEAE,"Ocotea sinaiana","1.9 Subtropical/Tropical Moist Montane Forest"
SYMPLOCACEAE,"Symplocos occulta","1.6 Subtropical/Tropical Moist Lowland Forest"
SYMPLOCACEAE,"Symplocos organensis","4.7 Subtropical/Tropical High Altitude Grassland"
SYMPLOCACEAE,"Symplocos organensis","1.6 Subtropical/Tropical Moist Lowland Forest"
MONIMIACEAE,"Macropeplus friburgensis","1.9 Subtropical/Tropical Moist Montane Forest"
MONIMIACEAE,"Macropeplus friburgensis","3.7 Subtropical/Tropical High Altitude Shrubland"
GENTIANACEAE,"Prepusa connata","4.7 Subtropical/Tropical High Altitude Grassland"
GENTIANACEAE,"Prepusa connata","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
GENTIANACEAE,"Prepusa hookeriana","4.7 Subtropical/Tropical High Altitude Grassland"
ACANTHACEAE,"Herpetacanthus parvispica","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia abendrothae","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia bragarum","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia bragarum","4.7 Subtropical/Tropical High Altitude Grassland"
LAURACEAE,"Ocotea abbreviata",
ASTERACEAE,"Austrocritonia taunayana","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
SOLANACEAE,"Solanum friburgense","1.9 Subtropical/Tropical Moist Montane Forest"
SOLANACEAE,"Capsicum friburgense","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia camorimiana","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia carinata","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia coriacea","1.9 Subtropical/Tropical Moist Montane Forest"
COMMELINACEAE,"Siderasis fuscata","1.9 Subtropical/Tropical Moist Montane Forest"
COMMELINACEAE,"Dichorisandra oxypetala","1.9 Subtropical/Tropical Moist Montane Forest"
COMMELINACEAE,"Dichorisandra oxypetala","1.6 Subtropical/Tropical Moist Lowland Forest"
COMMELINACEAE,"Dichorisandra gaudichaudiana","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia desenganensis","4.7 Subtropical/Tropical High Altitude Grassland"
BROMELIACEAE,"Neoregelia eltoniana","1.5 Subtropical/Tropical Dry Forest"
CANELLACEAE,"Cinnamodendron sampaioanum","1.9 Subtropical/Tropical Moist Montane Forest"
CELASTRACEAE,"Maytenus basidentata","1.6 Subtropical/Tropical Moist Lowland Forest"
ACANTHACEAE,"Justicia itatiaiensis","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia fluminensis","1.6 Subtropical/Tropical Moist Lowland Forest"
ACANTHACEAE,"Justicia nervata","1.9 Subtropical/Tropical Moist Montane Forest"
PIPERACEAE,"Peperomia bradei","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia fosteriana","1.6 Subtropical/Tropical Moist Lowland Forest"
PIPERACEAE,"Peperomia humifusa","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia gavionensis","1.6 Subtropical/Tropical Moist Lowland Forest"
Acanthaceae,"Justicia meyeniana","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Justicia polita","1.9 Subtropical/Tropical Moist Montane Forest"
XYRIDACEAE,"Xyris organensis","4.7 Subtropical/Tropical High Altitude Grassland"
BROMELIACEAE,"Neoregelia ilhana","1.6 Subtropical/Tropical Moist Lowland Forest"
PIPERACEAE,"Peperomia papillispica","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia indecora","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia indecora","4.7 Subtropical/Tropical High Altitude Grassland"
LOASACEAE,"Aosa uleana","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Anathallis spannageliana","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia lactea","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Neoregelia leucophoea","1.8 Subtropical/Tropical Swamp Forest"
ORCHIDACEAE,"Brasilaelia fidelensis","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Ruellia silvaccola","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia longipedicellata","1.8 Subtropical/Tropical Swamp Forest"
BROMELIACEAE,"Neoregelia longipedicellata","4.7 Subtropical/Tropical High Altitude Grassland"
BROMELIACEAE,"Neoregelia macahensis","1.8 Subtropical/Tropical Swamp Forest"
ORCHIDACEAE,"Brasilidium dasytyle","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia macwilliamsii","3.5 Subtropical/Tropical Dry Shrubland"
PHYLLANTHACEAE,"Phyllanthus itatiaiensis","1.9 Subtropical/Tropical Moist Montane Forest"
PHYLLANTHACEAE,"Phyllanthus itatiaiensis","4.7 Subtropical/Tropical High Altitude Grassland"
PHYLLANTHACEAE,"Phyllanthus itatiaiensis","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
PHYLLANTHACEAE,"Phyllanthus mocotensis","1.9 Subtropical/Tropical Moist Montane Forest"
PHYLLANTHACEAE,"Phyllanthus rosmarinifolius","1.9 Subtropical/Tropical Moist Montane Forest"
PHYLLANTHACEAE,"Phyllanthus rosmarinifolius","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
PHYLLANTHACEAE,"Phyllanthus rosmarinifolius","4.7 Subtropical/Tropical High Altitude Grassland"
ACANTHACEAE,"Schaueria calycotricha","1.9 Subtropical/Tropical Moist Montane Forest"
ACANTHACEAE,"Schaueria calycotricha","5.4 Bogs, Marshes, Swamps, Fens, Peatlands [generally over 8 ha]"
ORCHIDACEAE,"Bulbophyllum macroceras","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia martinellii","1.8 Subtropical/Tropical Swamp Forest"
DRYOPTERIDACEAE,"Elaphoglossum didymoglossoides","1 Forest"
DRYOPTERIDACEAE,"Elaphoglossum didymoglossoides","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ASPLENIACEAE,"Asplenium cariocanum","1 Forest"
BROMELIACEAE,"Neoregelia nevaresii","1.8 Subtropical/Tropical Swamp Forest"
MALVACEAE,"Abutilon anodoides","1.6 Subtropical/Tropical Moist Lowland Forest"
MALVACEAE,"Abutilon anodoides","1.9 Subtropical/Tropical Moist Montane Forest"
ISOETACEAE,"Isoetes goebelii","5 Wetlands (inland)"
ISOETACEAE,"Isoetes organensis","5 Wetlands (inland)"
MALVACEAE,"Abutilon esculentum","1.6 Subtropical/Tropical Moist Lowland Forest"
MALVACEAE,"Abutilon esculentum","1.5 Subtropical/Tropical Dry Forest"
MALVACEAE,"Abutilon hirsutum","1.6 Subtropical/Tropical Moist Lowland Forest"
MALVACEAE,"Abutilon hirsutum","1.9 Subtropical/Tropical Moist Montane Forest"
ISOETACEAE,"Isoetes ulei","5 Wetlands (inland)"
MALVACEAE,"Abutilon macrophyllum","1.6 Subtropical/Tropical Moist Lowland Forest"
MALVACEAE,"Byttneria beyrichiana","1.9 Subtropical/Tropical Moist Montane Forest"
MALVACEAE,"Callianthe glaziovii","1.9 Subtropical/Tropical Moist Montane Forest"
MALVACEAE,"Callianthe sellowiana","1.9 Subtropical/Tropical Moist Montane Forest"
MALVACEAE,"Callianthe senilis","1.9 Subtropical/Tropical Moist Montane Forest"
MALVACEAE,"Sida petropolitana","14.6 Subtropical/Tropical Heavily Degraded Former Forest"
MALVACEAE,"Sida sampaiana","1.6 Subtropical/Tropical Moist Lowland Forest"
MALVACEAE,"Sida sampaiana","14.2 Pastureland"
BROMELIACEAE,"Neoregelia petropolitana","1.8 Subtropical/Tropical Swamp Forest"
ORCHIDACEAE,"Baptistonia pulchella","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia rubrovittata","1.8 Subtropical/Tropical Swamp Forest"
ACANTHACEAE,"Schaueria sulfurea","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia sapiatibensis","3.5 Subtropical/Tropical Dry Shrubland"
CELASTRACEAE,"Maytenus samydaeformis","1.6 Subtropical/Tropical Moist Lowland Forest"
Bromeliaceae,"Neoregelia paratiensis","1.8 Subtropical/Tropical Swamp Forest"
ACANTHACEAE,"Staurogyne brachiata","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Neoregelia tenebrosa","1.8 Subtropical/Tropical Swamp Forest"
COMMELINACEAE,"Dichorisandra odorata","1.6 Subtropical/Tropical Moist Lowland Forest"
VIOLACEAE,"Rinorea laevigata","1.8 Subtropical/Tropical Swamp Forest"
VIOLACEAE,"Rinorea laevigata","1.5 Subtropical/Tropical Dry Forest"
ACANTHACEAE,"Staurogyne euryphylla","1.9 Subtropical/Tropical Moist Montane Forest"
BIGNONIACEAE,"Adenocalymma bullatum","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Cryptanthus bromelioides","1.6 Subtropical/Tropical Moist Lowland Forest"
PASSIFLORACEAE,"Passiflora imbeana","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Cattleya dormaniana","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria corymbosa","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Cryptanthus delicatus","1.6 Subtropical/Tropical Moist Lowland Forest"
BROMELIACEAE,"Cryptanthus sinuosus","3.5 Subtropical/Tropical Dry Shrubland"
MELASTOMATACEAE,"Behuria edmundoi","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Centroglossa greeniana","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria glazioviana","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria huberioides","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Dyckia martinellii","6 Rocky Areas [e.g. inland cliffs, mountain peaks]"
ORCHIDACEAE,"Cleistes liliastrum","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria limae","1.9 Subtropical/Tropical Moist Montane Forest"
ORCHIDACEAE,"Cleistes miersii","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria magdalenensis","1.9 Subtropical/Tropical Moist Montane Forest"
BROMELIACEAE,"Dyckia pseudococcinea","3.5 Subtropical/Tropical Dry Shrubland"
PIPERACEAE,"Piper trigonodrupum","1.9 Subtropical/Tropical Moist Montane Forest"
MELASTOMATACEAE,"Behuria mouraei","1.9 Subtropical/Tropical Moist Montane Forest"
