family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria,rationale
ARECACEAE,"Lytocaryum weddellianum","(H.Wendl.) Toledo",done,,,,
ARISTOLOCHIACEAE,"Aristolochia raja","Mart. & Zucc.",review,,,,
ASPLENIACEAE,"Asplenium cariocanum",Brade,open,,,,
ASTERACEAE,"Austrocritonia rosea","(Gardner) R.M.King & H.Rob.",validation,,,,
ASTERACEAE,"Austrocritonia taunayana","(Glaz. ex B.L.Rob.) R.M.King & H.Rob.",validation,,,,
ASTERACEAE,"Austroeupatorium petrophilum","(B.L.Rob.) R.M.King & H.Rob.",validation,,,,
ASTERACEAE,"Baccharis alpestris",Gardner,validation,,,,
ASTERACEAE,"Baccharis bifrons",Baker,validation,,,,
ASTERACEAE,"Baccharis ciliata",Gardner,validation,,,,
ASTERACEAE,"Baccharis friburgensis","G.Heiden et al.",validation,,,,
ASTERACEAE,"Baccharis pseudovaccinioides",Malag.,validation,,,,
ASTERACEAE,"Barrosoa viridiflora","(Baker) R.M. King & H. Rob.",validation,,,,
ASTERACEAE,"Bartlettina hemisphaerica","(DC.) R.M. King & H. Rob.",validation,,,,
ASTERACEAE,"Calea wedelioides","(Baker) S.F.Blake",validation,,,,
ASTERACEAE,"Critoniopsis magdalenae","(G.M.Barroso) H.Rob.",validation,,,,
ASTERACEAE,"Dasyphyllum cryptocephalum","(Baker) Cabrera",validation,,,,
ASTERACEAE,"Dasyphyllum leptacanthum","(Gardner) Cabrera",validation,,,,
ASTERACEAE,"Gamochaeta grazielae","(Rizzini) Deble",validation,,,,
ASTERACEAE,"Graphistylis cuneifolia","(Gardner) B.Nord.",validation,,,,
ASTERACEAE,"Lepidaploa araujoa","(H.Rob.) H.Rob.",validation,,,,
ASTERACEAE,"Lepidaploa coulonioides","(H.Rob.) H.Rob.",validation,,,,
ASTERACEAE,"Lepidaploa obtusifolia","(Less.) H.Rob.",validation,,,,
ASTERACEAE,"Lepidaploa persicifolia","(Desf.) H.Rob.",validation,,,,
ASTERACEAE,"Lessingianthus glaziovianus","(Baker) H.Rob.",validation,,,,
ASTERACEAE,"Macropodina bradei","R.M.King & H.Rob.",validation,,,,
ASTERACEAE,"Mikania alexandreae",G.M.Barroso,validation,,,,
ASTERACEAE,"Mikania cabrerae",G.M.Barroso,validation,,,,
ASTERACEAE,"Mikania campos-portoana",G.M.Barroso,validation,,,,
ASTERACEAE,"Mikania casarettoi",B.L.Rob.,validation,,,,
ASTERACEAE,"Mikania hastifolia",Baker,validation,,,,
ASTERACEAE,"Mikania paranahybensis",G.M.Barroso,validation,,,,
ASTERACEAE,"Mikania pteropoda",DC.,validation,,,,
ASTERACEAE,"Mikania vauthieriana",Baker,validation,,,,
ASTERACEAE,"Ophryosporus organensis",Cabrera,validation,,,,
ASTERACEAE,"Piptocarpha verticillata","(Vell.) G.Lom.Sm. ex H.Rob.",validation,,,,
ASTERACEAE,"Senecio arctiifolius",Baker,validation,,,,
ASTERACEAE,"Senecio malacophyllus",Dusén,validation,,,,
ASTERACEAE,"Senecio ramentaceus",Baker,validation,,,,
ASTERACEAE,"Stevia dubia",B.L.Rob.,validation,,,,
ASTERACEAE,"Stevia organensis",Gardner,validation,,,,
ASTERACEAE,"Stevia verticillata",Schltdl.,validation,,,,
ASTERACEAE,"Trichogoniopsis podocarpa","(DC.) R.M.King & H.Rob.",validation,,,,
ASTERACEAE,"Wunderlichia insignis",Baill.,validation,,,,
BARTRAMIACEAE,"Bartramia mathewsii",Mitt.,,,,,
BEGONIACEAE,"Begonia acetosa",Vell.,,,,,
BEGONIACEAE,"Begonia acida",Vell.,,,,,
BEGONIACEAE,"Begonia aconitifolia",A.DC.,,,,,
BEGONIACEAE,"Begonia antonietae",Brade,,,,,
BEGONIACEAE,"Begonia cariocana","Brade ex L.B.Sm. & Wassh.",,,,,
BEGONIACEAE,"Begonia cerasiphylla","L.B.Sm. & Wassh.",,,,,
