"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
MELASTOMATACEAE;Lavoisiera bradeana;yes;1200;3.085,87km²;32,0km²;13;7;0;20;
MELASTOMATACEAE;Lavoisiera caryophyllea;yes;1100~1380;211,24km²;36,0km²;48;5;2;55;
MELASTOMATACEAE;Lavoisiera firmula;yes;1260;162,03km²;24,0km²;4;1;2;7;
MELASTOMATACEAE;Lavoisiera harleyi;yes;1500;269,01km²;28,0km²;12;9;0;21;
MELASTOMATACEAE;Lavoisiera humilis;yes;1400;964,37km²;24,0km²;13;8;1;22;
MELASTOMATACEAE;Lavoisiera macrocarpa;yes;1100~1276;2.973,33km²;68,0km²;39;2;0;41;
MELASTOMATACEAE;Lavoisiera mucorifera;yes;1033~1426;2.591,2km²;100,0km²;53;18;2;73;
MELASTOMATACEAE;Lavoisiera punctata;yes;1228~1299;2.468,03km²;32,0km²;8;2;1;11;
MELASTOMATACEAE;Lavoisiera senaei;yes;1228~1280;361,18km²;24,0km²;25;10;3;38;
MELASTOMATACEAE;Lavoisiera subulata;yes;1036~1250;1.490,43km²;48,0km²;43;37;0;80;
MELASTOMATACEAE;Lavoisiera tetragona;yes;;68,1km²;12,0km²;4;1;3;8;
ERIOCAULACEAE;Leiothrix cipoensis;yes;;268,31km²;4,0km²;0;0;1;1;
ERIOCAULACEAE;Leiothrix crassifolia;yes;1000~1500;12.082,76km²;108,0km²;0;1;95;96;
ERIOCAULACEAE;Leiothrix distichoclada;yes;700~1850;185.446,43km²;236,0km²;0;0;138;138;
ERIOCAULACEAE;Leiothrix fulgida var. milho-verdensis;yes;;533,73km²;8,0km²;0;0;7;7;
ERIOCAULACEAE;Leiothrix rupestris;yes;;533,17km²;8,0km²;0;0;5;5;
ERIOCAULACEAE;Leiothrix sclerophylla;yes;1350~1500;1.182,4km²;24,0km²;0;0;12;12;
ERIOCAULACEAE;Leiothrix sinuosa;yes;1250~1350;311,8km²;28,0km²;0;0;11;11;
ERIOCAULACEAE;Leiothrix spiralis;yes;1200~1400;163,38km²;20,0km²;0;0;15;15;
ASTERACEAE;Lessingianthus arachniolepis;yes;740;107.637,36km²;40,0km²;0;0;20;20;
ASTERACEAE;Lessingianthus argenteus;no;;16.944,05km²;72,0km²;0;0;61;61;
ASTERACEAE;Lessingianthus caiapoensis;yes;;377.625,55km²;36,0km²;0;0;11;11;
ASTERACEAE;Lessingianthus heringeri;yes;1000;595,97km²;20,0km²;0;0;5;5;
ASTERACEAE;Lessingianthus rugulosus;yes;850;21.029,37km²;12,0km²;0;0;6;6;
ASTERACEAE;Lessingianthus scaposus;yes;;23,82km²;16,0km²;0;0;3;3;
CHRYSOBALANACEAE;Licania maguirei;;;197.484,73km²;28,0km²;12;1;0;13;
VERBENACEAE;Lippia ciliata;;;30,36km²;20,0km²;3;0;0;3;
VERBENACEAE;Lippia diamantinensis;unkown;900~1170;119.028,28km²;92,0km²;49;0;2;51;
VERBENACEAE;Lippia duartei;yes;;48,03km²;16,0km²;8;0;0;8;
VERBENACEAE;Lippia gardneriana;yes;800~1000;380.400,38km²;40,0km²;13;0;2;15;
VERBENACEAE;Lippia grandiflora;yes;;163.671,21km²;80,0km²;29;0;5;34;
VERBENACEAE;Lippia macedoi;yes;;2.419,41km²;12,0km²;5;0;0;5;
VERBENACEAE;Lippia rubella;yes;;15.093,46km²;28,0km²;10;0;0;10;
CAMPANULACEAE;Lobelia brasiliensis;yes;;778,07km²;100,0km²;51;3;0;54;
BALANOPHORACEAE;Lophophytum rizzoi;yes;400~1500;3.507,41km²;24,0km²;0;0;6;6;
BIGNONIACEAE;Lundia damazii;yes;;78.581,62km²;56,0km²;21;6;0;27;
OCHNACEAE;Luxemburgia ciliatibracteata;yes;60~1250;1.594,07km²;44,0km²;0;0;22;22;
OCHNACEAE;Luxemburgia damazioana;yes;900~1400;1.912,97km²;72,0km²;0;0;74;74;
OCHNACEAE;Luxemburgia diciliata;yes;1000;3.877,0km²;144,0km²;0;0;62;62;
OCHNACEAE;Luxemburgia hatschbachiana;yes;;1.837,65km²;28,0km²;0;0;10;10;
OCHNACEAE;Luxemburgia speciosa;yes;;614,16km²;20,0km²;0;25;15;40;
MONIMIACEAE;Macropeplus schwackeanus;yes;1.797;17.366,86km²;44,0km²;17;9;0;26;
APOCYNACEAE;Mandevilla rubra;yes;1200;64,62km²;12,0km²;3;5;1;9;
APOCYNACEAE;Mandevilla semirii;yes;900~1200;309,08km²;16,0km²;6;3;0;9;
APOCYNACEAE;Marsdenia sessilifolia;yes;245;443,15km²;12,0km²;4;2;2;8;
APOCYNACEAE;Marsdenia virgultorum;yes;950;268,94km²;4,0km²;1;1;0;2;
MALPIGHIACEAE;Mascagnia aptera;yes;720;262,9km²;4,0km²;1;3;0;4;
APOCYNACEAE;Matelea matogrossensis;yes;;270,61km²;4,0km²;1;7;0;8;
APOCYNACEAE;Matelea refracta;yes;;270,34km²;4,0km²;1;0;1;2;
CELASTRACEAE;Maytenus opaca;yes;500~1850;113.024,91km²;172,0km²;78;36;0;114;
POACEAE;Mesosetum alatum;yes;550;130,0km²;16,0km²;0;1;3;4;
POACEAE;Mesosetum longiaristatum;yes;457;452,36km²;12,0km²;0;1;3;4;
MELASTOMATACEAE;Microlicia balsamifera;yes;770~1900;14.219,25km²;120,0km²;37;31;1;69;
MELASTOMATACEAE;Microlicia cipoana;yes;;126,81km²;16,0km²;5;6;0;11;
MELASTOMATACEAE;Microlicia crebropunctata;yes;;295,97km²;12,0km²;3;1;1;5;
MELASTOMATACEAE;Microlicia giuliettiana;yes;940~1850;2.728,61km²;60,0km²;19;10;0;29;
MELASTOMATACEAE;Microlicia minima;yes;930~1540;3.658,48km²;60,0km²;20;12;3;35;
MELASTOMATACEAE;Microlicia monticola;yes;426~1850;398,58km²;44,0km²;20;27;1;48;
MELASTOMATACEAE;Microlicia mucugensis;;;188,56km²;24,0km²;10;0;0;10;
MELASTOMATACEAE;Microlicia noblickii;yes;;1.416,8km²;12,0km²;7;0;0;7;
MELASTOMATACEAE;Microlicia oligochaeta;yes;400~1475;518,67km²;12,0km²;4;3;0;7;
MELASTOMATACEAE;Microlicia ordinata;yes;1000~1540;1.104,36km²;16,0km²;9;1;0;10;
MELASTOMATACEAE;Microlicia petasensis;yes;900~1400;467,03km²;40,0km²;12;9;0;21;
MELASTOMATACEAE;Microlicia pinheiroi;yes;500~1050;94,86km²;40,0km²;9;5;0;14;
MELASTOMATACEAE;Microlicia scoparia;yes;1100;35.420,06km²;32,0km²;41;41;5;87;
MELASTOMATACEAE;Microlicia sincorensis;yes;1030~1600;11.257,04km²;112,0km²;33;37;2;72;
MELASTOMATACEAE;Microlicia subaequalis;yes;1300~1800;670,53km²;24,0km²;8;2;0;10;
MELASTOMATACEAE;Microlicia subalata;yes;1000~1600;17,11km²;12,0km²;4;1;0;5;
MELASTOMATACEAE;Microlicia suborbicularifolia;yes;1128;2.356,04km²;40,0km²;13;7;3;23;
MELASTOMATACEAE;Microlicia tenuifolia;yes;1045~1451;2.857,61km²;40,0km²;21;10;0;31;
MELASTOMATACEAE;Microlicia trichocalycina;yes;1550;536,92km²;8,0km²;1;0;3;4;
MELASTOMATACEAE;Microlicia vernicosa;yes;1100;565,43km²;20,0km²;4;0;1;5;
FABACEAE;Mimosa cryptothamnos;yes;1000;234,63km²;16,0km²;0;0;4;4;
FABACEAE;Mimosa cyclophylla;yes;872~1250;521,74km²;8,0km²;0;0;4;4;
FABACEAE;Mimosa decorticans;yes;525~1250;81.556,24km²;76,0km²;0;1;64;65;
FABACEAE;Mimosa humivagans;yes;850~1100;0,0km²;8,0km²;0;0;4;4;
FABACEAE;Mimosa laniceps;yes;1190~1250;335,88km²;8,0km²;0;1;3;4;
FABACEAE;Mimosa lepidophora;yes;329~630;323.015,51km²;100,0km²;0;0;48;48;
FABACEAE;Mimosa manidea;yes;1160~1600;2.124,43km²;64,0km²;0;0;40;40;
FABACEAE;Mimosa oligosperma;yes;1000;520,99km²;8,0km²;0;0;2;2;
FABACEAE;Mimosa pycnocoma;yes;1000;260,4km²;4,0km²;0;0;2;2;
FABACEAE;Mimosa pyrenea;yes;;25.902,47km²;84,0km²;0;1;41;42;
FABACEAE;Mimosa regina;yes;350~1200;230,53km²;12,0km²;0;0;4;4;
FABACEAE;Mimosa setosissima;yes;1000~1300;3.741,26km²;108,0km²;1;1;64;66;
FABACEAE;Mimosa splendida;yes;1174~1320;45,4km²;12,0km²;0;0;9;9;
FABACEAE;Mimosa ulbrichiana;yes;120~1200;68.769,35km²;120,0km²;0;0;69;69;
FABACEAE;Mimosa ulei;yes;1000~1400;1.220,57km²;88,0km²;0;0;34;34;
FABACEAE;Mimosa virgula;yes;800~1400;9.566,94km²;116,0km²;0;0;46;46;
APOCYNACEAE;Minaria campanuliflora;yes;1400~1600;1,24km²;12,0km²;4;1;1;6;
ASTERACEAE;Minasia cabralensis;yes;900~1250;634,78km²;28,0km²;0;0;8;8;
ASTERACEAE;Minasia lewinsohnii;yes;;266,69km²;4,0km²;0;0;1;1;
RUBIACEAE;Mitracarpus pusillus;yes;1000;9,59km²;12,0km²;7;6;0;13;
FABACEAE;Moldenhawera acuminata;yes;;933,14km²;12,0km²;3;0;0;3;
PRIMULACEAE;Myrsine cipoensis;yes;;268,13km²;4,0km²;0;0;1;1;
APOCYNACEAE;Nephradenia filipes;yes;660;453,55km²;8,0km²;2;2;0;4;
POACEAE;Ophiochloa bryoides;yes;950;91,51km²;12,0km²;0;0;4;4;
BROMELIACEAE;Orthophytum mello-barretoi;yes;1200;8.298,84km²;60,0km²;2;7;14;23;
BROMELIACEAE;Orthophytum schulzianum;;;4.713,7km²;24,0km²;0;0;6;6;
LORANTHACEAE;Oryctina eubrachioides;yes;;521,17km²;20,0km²;7;3;0;10;
POACEAE;Otachyrium piligerum;yes;500~1115;3.256,44km²;12,0km²;0;1;4;5;
OCHNACEAE;Ouratea acicularis;yes;407~589;2.757,8km²;68,0km²;0;0;17;17;
OXALIDACEAE;Oxalis areolata;yes;;265,05km²;4,0km²;2;0;0;2;
OXALIDACEAE;Oxalis pretoensis;yes;1000;524,26km²;8,0km²;2;0;0;2;
OXALIDACEAE;Oxalis veadeirosensis;yes;1000~1200;521,69km²;8,0km²;2;3;0;5;
APOCYNACEAE;Oxypetalum habrogynum;yes;1200;513,57km²;8,0km²;3;1;0;4;
APOCYNACEAE;Oxypetalum helios;yes;1396;121,31km²;12,0km²;3;3;0;6;
APOCYNACEAE;Oxypetalum pardense;yes;;272,18km²;4,0km²;1;0;0;1;
ERIOCAULACEAE;Paepalanthus albidus;yes;1152;14.616,78km²;36,0km²;0;0;23;23;
ERIOCAULACEAE;Paepalanthus albo-tomentosus;yes;910~1800;2.223,33km²;36,0km²;0;4;11;15;
ERIOCAULACEAE;Paepalanthus almasensis;yes;1039;57,3km²;32,0km²;0;0;12;12;
ERIOCAULACEAE;Paepalanthus anamariae;yes;1200~1400;10,65km²;12,0km²;0;0;3;3;
ERIOCAULACEAE;Paepalanthus argenteus;yes;1000~1400;11.427,89km²;84,0km²;0;0;51;51;
ERIOCAULACEAE;Paepalanthus aureus;yes;1000~1300;940,42km²;36,0km²;0;0;17;17;
ERIOCAULACEAE;Paepalanthus barbiger;yes;1200;782,17km²;28,0km²;0;0;9;9;
ERIOCAULACEAE;Paepalanthus barbulatus;yes;934~1800;2.661,07km²;80,0km²;0;0;30;30;
ERIOCAULACEAE;Paepalanthus cinereus;;1400~1850;358,15km²;40,0km²;0;0;11;11;
ERIOCAULACEAE;Paepalanthus complanatus;yes;1100~1200;2.327,09km²;28,0km²;0;0;11;11;
ERIOCAULACEAE;Paepalanthus contasensis;yes;1000~1800;524,67km²;40,0km²;0;0;17;17;
ERIOCAULACEAE;Paepalanthus cordatus;yes;;261,02km²;4,0km²;0;3;4;7;
ERIOCAULACEAE;Paepalanthus digitiformis;yes;650~700;4,82km²;12,0km²;0;0;4;4;
ERIOCAULACEAE;Paepalanthus erigeron;yes;640~1800;8.019,34km²;80,0km²;0;0;34;34;
ERIOCAULACEAE;Paepalanthus globulifer;yes;1200~1300;3.962,71km²;44,0km²;0;8;16;24;
ERIOCAULACEAE;Paepalanthus harleyi;yes;1300~1850;237,55km²;40,0km²;0;0;20;20;
ERIOCAULACEAE;Paepalanthus homomallus;yes;1051~1300;703,23km²;40,0km²;0;0;14;14;
ERIOCAULACEAE;Paepalanthus inopinatus;yes;980~1800;784,64km²;44,0km²;0;0;16;16;
ERIOCAULACEAE;Paepalanthus luetzelburgii;yes;540~1200;896,39km²;16,0km²;0;0;6;6;
ERIOCAULACEAE;Paepalanthus obtusifolius;yes;60~1400;49.565,11km²;152,0km²;0;7;53;60;
ERIOCAULACEAE;Paepalanthus pulvinatus;yes;;17.507,94km²;132,0km²;0;1;58;59;
ERIOCAULACEAE;Paepalanthus revolutus;yes;1050~1137;4,47km²;12,0km²;0;0;8;8;
ERIOCAULACEAE;Paepalanthus rupestris;yes;;2.175,57km²;24,0km²;0;0;8;8;
ERIOCAULACEAE;Paepalanthus senaeanus;yes;1200~1500;1.664,89km²;48,0km²;0;0;46;46;
ERIOCAULACEAE;Paepalanthus stannardii;yes;1200~1850;1.073,97km²;28,0km²;0;0;20;20;
ERIOCAULACEAE;Paepalanthus stuetzelii;yes;;4.519,45km²;20,0km²;0;0;8;8;
ERIOCAULACEAE;Paepalanthus superbus;yes;1100~1400;1.574,96km²;36,0km²;0;0;18;18;
ERIOCAULACEAE;Paepalanthus urbanianus;yes;1000~1500;107.158,49km²;60,0km²;0;0;24;24;
GESNERIACEAE;Paliavana plumerioides;yes;600~1200;3.260,21km²;40,0km²;0;0;18;18;
POACEAE;Panicum ephemeroides;yes;860;532,31km²;8,0km²;0;0;2;2;
POACEAE;Panicum noterophilum;yes;850~920;697,47km²;16,0km²;0;2;4;6;
POACEAE;Panicum nutabundum;yes;;257,05km²;4,0km²;0;0;1;1;
CARYOPHYLLACEAE;Paronychia fasciculata;yes;1300~1800;538,78km²;8,0km²;2;2;0;4;
POACEAE;Paspalum biaristatum;yes;;31,68km²;16,0km²;0;0;7;7;
POACEAE;Paspalum brachytrichum;yes;950~1600;42.712,88km²;36,0km²;0;3;11;14;
POACEAE;Paspalum burmanii;yes;;261,33km²;4,0km²;0;0;1;1;
POACEAE;Paspalum cachimboense;yes;;265,5km²;4,0km²;0;0;2;2;
POACEAE;Paspalum filgueirasii;yes;1200;521,7km²;8,0km²;0;0;2;2;
POACEAE;Paspalum longiaristatum;yes;1000;576,61km²;16,0km²;0;3;7;10;
POACEAE;Paspalum petrense;yes;1220;974,08km²;16,0km²;0;2;4;6;
POACEAE;Paspalum vallsii;yes;350;264,22km²;4,0km²;0;2;2;4;
PASSIFLORACEAE;Passiflora hypoglauca;yes;;3.691,6km²;36,0km²;0;3;10;13;
PASSIFLORACEAE;Passiflora mucugeana;yes;1072~2200;131,62km²;32,0km²;0;1;20;21;
MALPIGHIACEAE;Peixotoa anadenanthera;yes;1330;260,83km²;4,0km²;1;3;0;4;
MALPIGHIACEAE;Peixotoa axillaris;yes;800~1000;265,31km²;4,0km²;1;1;0;2;
MALPIGHIACEAE;Peixotoa gardneri;yes;;260,31km²;4,0km²;1;0;0;1;
MALPIGHIACEAE;Peixotoa irwinii;yes;1200;266,74km²;4,0km²;1;1;0;2;
MALPIGHIACEAE;Peixotoa octoflora;yes;;261,31km²;4,0km²;1;1;0;2;
PIPERACEAE;Peperomia warmingii;yes;;6.004,69km²;16,0km²;5;10;0;15;
SCROPHULARIACEAE;Philcoxia goiasensis;yes;800;522,6km²;8,0km²;2;1;0;3;
SCROPHULARIACEAE;Philcoxia minensis;yes;930~1050;2.266,02km²;12,0km²;6;4;0;10;
ARACEAE;Philodendron cipoense;yes;793~1250;2.486,56km²;44,0km²;0;1;23;24;
ARACEAE;Philodendron pachyphyllum;yes;400~1500;6.548,5km²;48,0km²;1;0;20;21;
ARACEAE;Philodendron rhizomatosum;yes;800;2.023,25km²;28,0km²;0;1;9;10;
SANTALACEAE;Phoradendron anamariae;yes;1250;521,98km²;8,0km²;0;0;3;3;
SANTALACEAE;Phoradendron dimerostachys;yes;1000~1500;14.241,84km²;36,0km²;0;0;8;8;
SANTALACEAE;Phoradendron virens;yes;;85,05km²;12,0km²;0;0;3;3;
OROBANCHACEAE;Physocalyx scaberrimus;yes;941~1900;2.229,73km²;44,0km²;10;0;0;10;
TURNERACEAE;Piriqueta araguaiana;yes;;267,48km²;4,0km²;2;0;0;2;
TURNERACEAE;Piriqueta caiapoensis;yes;800~1000;171,65km²;20,0km²;3;0;1;4;
TURNERACEAE;Piriqueta cristobaliae;yes;700;527,65km²;8,0km²;1;0;1;2;
TURNERACEAE;Piriqueta emasensis;yes;;266,52km²;4,0km²;0;0;1;1;
TURNERACEAE;Piriqueta lourteigiae;yes;720~800;262,91km²;4,0km²;0;1;1;2;
BROMELIACEAE;Pitcairnia curvidens;yes;1200;27.932,57km²;28,0km²;2;3;9;14;
MYRTACEAE;Plinia nana;yes;1394;9.241,43km²;72,0km²;1;5;26;32;
ACANTHACEAE;Poikilacanthus bahiensis;yes;800~1900;101.417,43km²;288,0km²;0;2;103;105;
FABACEAE;Poiretia bahiana;yes;100~1278;8.867,29km²;72,0km²;0;0;34;34;
FABACEAE;Poiretia marginata;yes;;3.383,15km²;20,0km²;0;0;6;6;
FABACEAE;Poiretia unifoliolata;yes;900;240,76km²;24,0km²;0;0;17;17;
POLYGALACEAE;Polygala apparicioi;yes;;3.983,64km²;28,0km²;0;1;30;31;
POLYGALACEAE;Polygala asperuloides;yes;300~1000;2.188.614,9km²;108,0km²;0;0;49;49;
POLYGALACEAE;Polygala bevilacquai;yes;;439,66km²;8,0km²;0;0;7;7;
POLYGALACEAE;Polygala grazielae;yes;;453,59km²;8,0km²;0;0;13;13;
POLYGALACEAE;Polygala irwinii;yes;300~600;433.056,1km²;92,0km²;0;0;40;40;
POLYGALACEAE;Polygala juncea;yes;1000;826,29km²;20,0km²;1;7;28;36;
POLYGALACEAE;Polygala malmeana;yes;1000;481,88km²;8,0km²;0;6;3;9;
POLYGALACEAE;Polygala patens;yes;;521,28km²;12,0km²;0;0;2;2;
POLYGALACEAE;Polygala pseudocoriacea;yes;610;432,53km²;8,0km²;0;1;5;6;
POLYGALACEAE;Polygala pseudoerica;yes;1400;3.693,69km²;60,0km²;0;1;32;33;
POLYGALACEAE;Polygala suganumae;yes;;520,87km²;12,0km²;0;0;5;5;
POLYGALACEAE;Polygala trifurcata;yes;1000~1600;875,34km²;16,0km²;0;0;6;6;
POLYGALACEAE;Polygala vollii;yes;1900~2700;112,07km²;20,0km²;0;0;17;17;
GENTIANACEAE;Prepusa montana;yes;750~1450;4.697,54km²;88,0km²;49;54;0;103;
BURSERACEAE;Protium dawsonii;yes;600~1100;1.143.232,54km²;88,0km²;36;1;4;41;
MYRTACEAE;Psidium firmum;yes;;1.043.818,21km²;n/a;1;7;222;230;
LORANTHACEAE;Psittacanthus acinarius;no;140~1150;5.441.648,11km²;n/a;3;8;160;171;
RUBIACEAE;Psyllocarpus schwackei;yes;1100~1200;11.215,17km²;24,0km²;14;16;0;30;
MALPIGHIACEAE;Pterandra hatschbachii;yes;;269.292,46km²;20,0km²;9;6;0;15;
MALPIGHIACEAE;Pterandra viridiflora;yes;;264,42km²;4,0km²;1;2;0;3;
MELASTOMATACEAE;Pterolepis rotundifolia;yes;885~1400;1.568,56km²;44,0km²;12;2;1;15;
VOCHYSIACEAE;Qualea elegans;yes;1.15;266,46km²;4,0km²;1;12;2;15;
APOCYNACEAE;Rauvolfia ligustrina;no;1327;3.712.796,24km²;n/a;0;0;164;164;
RHABDODENDRACEAE;Rhabdodendron gardneranum;yes;;259,32km²;4,0km²;1;0;0;1;
POACEAE;Rheochloa scabrifolia;no;;266,52km²;4,0km²;0;0;1;1;
CACTACEAE;Rhipsalis agudoensis;;;290,79km²;4,0km²;1;0;0;1;
CYPERACEAE;Rhynchospora enmanuelis;unkown;890;553,6km²;8,0km²;0;0;2;2;
CYPERACEAE;Rhynchospora tenuis;no;1000;6.962.340,2km²;n/a;0;0;839;839;
CONNARACEAE;Rourea chrysomalla;yes;;637,27km²;40,0km²;7;16;8;31;
CONNARACEAE;Rourea prancei;yes;;254,96km²;4,0km²;1;1;0;2;
CONNARACEAE;Rourea tenuis;yes;;15.853,9km²;28,0km²;11;0;0;11;
POACEAE;Rupichloa acuminata;;700~1000;1.278,38km²;20,0km²;0;1;6;7;
OCHNACEAE;Sauvagesia lanceolata;yes;700~1009;3.428,96km²;36,0km²;8;0;0;8;
OCHNACEAE;Sauvagesia oliveirae;yes;1471~1568;76,9km²;20,0km²;1;7;4;12;
OCHNACEAE;Sauvagesia ribeiroi;yes;1447~1471;605,64km²;20,0km²;6;1;0;7;
ARALIACEAE;Schefflera botumirimensis;yes;;1,33km²;12,0km²;3;6;0;9;
ARALIACEAE;Schefflera cephalantha;yes;;525,71km²;8,0km²;2;2;0;4;
ARALIACEAE;Schefflera fruticosa;yes;;233,48km²;24,0km²;5;7;0;12;
ARALIACEAE;Schefflera lucumoides;yes;1200~1400;628,36km²;44,0km²;20;3;0;23;
SCHOEPFIACEAE;Schoepfia velutina;yes;650;261,74km²;4,0km²;1;0;0;1;
GENTIANACEAE;Schultesia bahiensis;yes;734~1400;25.945,83km²;200,0km²;100;25;8;133;
GENTIANACEAE;Schultesia crenuliflora;yes;600~1450;10.295,81km²;60,0km²;27;49;0;76;
GENTIANACEAE;Schultesia irwiniana;yes;500;518,81km²;8,0km²;2;0;0;2;
GENTIANACEAE;Schultesia pachyphylla;yes;700~1800;30.359,26km²;160,0km²;82;9;0;91;
GENTIANACEAE;Schultesia piresiana;yes;500;520,0km²;8,0km²;1;1;2;4;
GENTIANACEAE;Schultesia sucreana;yes;;262,34km²;4,0km²;3;1;0;4;
CYPERACEAE;Scleria cuyabensis;no;750~1918;340.012,1km²;56,0km²;0;0;19;19;
POLYGALACEAE;Securidaca acuminata;yes;;270,14km²;4,0km²;0;8;6;14;
SOLANACEAE;Solanum eitenii;yes;200;0,5km²;8,0km²;4;0;0;4;
POACEAE;Sporobolus hians;yes;;535,31km²;8,0km²;0;3;3;6;
POACEAE;Sporobolus paucifolius;yes;1200;6,5km²;12,0km²;0;0;3;3;
VERBENACEAE;Stachytarpheta ajugifolia;yes;1015;5.556,9km²;36,0km²;9;0;0;9;
VERBENACEAE;Stachytarpheta bicolor;yes;;97.646,77km²;196,0km²;69;14;3;86;
VERBENACEAE;Stachytarpheta discolor;yes;;2.175,38km²;32,0km²;11;1;2;14;
VERBENACEAE;Stachytarpheta froesii;yes;900~1200;1.351,15km²;36,0km²;23;0;0;23;
VERBENACEAE;Stachytarpheta galactea;yes;;260,92km²;4,0km²;1;0;0;1;
VERBENACEAE;Stachytarpheta integrifolia;yes;485~1000;4.139,81km²;16,0km²;4;0;1;5;
VERBENACEAE;Stachytarpheta itambensis;yes;1300~3000;432,01km²;20,0km²;6;0;1;7;
VERBENACEAE;Stachytarpheta lacunosa;yes;1000~1600;152.706,01km²;88,0km²;25;0;5;30;
VERBENACEAE;Stachytarpheta lychnitis;yes;1100~1300;5.648,37km²;88,0km²;38;1;1;40;
VERBENACEAE;Stachytarpheta monachinoi;yes;1000;58,67km²;16,0km²;15;2;0;17;
VERBENACEAE;Stachytarpheta pohliana;yes;;268,34km²;4,0km²;1;3;3;7;
RUBIACEAE;Staelia tocantinsiana;yes;180;12.722,77km²;12,0km²;0;1;4;5;
ACANTHACEAE;Staurogyne minarum;yes;700;3.143,7km²;28,0km²;0;6;26;32;
ACANTHACEAE;Stenandrium goiasense;yes;;261,72km²;4,0km²;0;0;1;1;
ACANTHACEAE;Stenandrium irwinii;yes;1200;192,61km²;12,0km²;0;1;3;4;
ASTERACEAE;Stenophalium heringeri;yes;;535,41km²;8,0km²;0;0;2;2;
ASTERACEAE;Stevia resinosa;yes;1479~1942;16.371,49km²;40,0km²;0;0;11;11;
MALPIGHIACEAE;Stigmaphyllon jobertii;;;255,21km²;4,0km²;1;0;0;1;
POACEAE;Streptostachys lanciflora;yes;1000;258,59km²;4,0km²;0;3;2;5;
LORANTHACEAE;Struthanthus microstylus;yes;;530,73km²;8,0km²;2;1;0;3;
LORANTHACEAE;Struthanthus planaltinae;yes;950;1.375,59km²;24,0km²;10;2;0;12;
LORANTHACEAE;Struthanthus pusillifolius;yes;;2.676,56km²;12,0km²;4;2;0;6;
LORANTHACEAE;Struthanthus rufo-furfuraceus;yes;;530,73km²;8,0km²;2;1;0;3;
LOGANIACEAE;Strychnos cerradoensis;yes;650~700;276,63km²;4,0km²;4;0;0;4;
ARECACEAE;Syagrus werdermannii;yes;113~1132;54,62km²;20,0km²;16;3;0;19;
SYMPLOCACEAE;Symplocos glaberrima;yes;680~1409;3.624,64km²;56,0km²;1;5;14;20;
SYMPLOCACEAE;Symplocos insolita;yes;;107,69km²;20,0km²;0;0;7;7;
SYMPLOCACEAE;Symplocos saxatilis;yes;1350;75,17km²;20,0km²;0;16;11;27;
ERIOCAULACEAE;Syngonanthus bracteosus;yes;1200;1.498,42km²;12,0km²;0;0;7;7;
ERIOCAULACEAE;Syngonanthus hygrotrichus;yes;1334;309,91km²;20,0km²;0;0;9;9;
ERIOCAULACEAE;Syngonanthus latifolius;yes;550;261,98km²;4,0km²;0;0;1;1;
APOCYNACEAE;Tassadia geniculata;yes;;19.706,94km²;12,0km²;2;0;1;3;
APOCYNACEAE;Tassadia rizzoana;yes;;254,37km²;4,0km²;1;1;0;2;
BROMELIACEAE;Tillandsia copynii;yes;560;524,76km²;8,0km²;0;1;2;3;
BROMELIACEAE;Tillandsia sprengeliana;yes;812~1850;299.661,64km²;76,0km²;0;0;28;28;
MELASTOMATACEAE;Trembleya rosmarinoides;yes;1642~1904;485,45km²;20,0km²;6;1;2;9;
COMMELINACEAE;Tripogandra elata;yes;850;31.306,91km²;24,0km²;11;3;0;14;
COMMELINACEAE;Tripogandra warmingiana;yes;50~800;151.815,44km²;32,0km²;11;2;0;13;
TURNERACEAE;Turnera asymmetrica;yes;420;0,0km²;4,0km²;0;0;3;3;
TURNERACEAE;Turnera cipoensis;yes;1000~1500;6.518,43km²;32,0km²;0;0;19;19;
TURNERACEAE;Turnera coccinea;yes;920~1148;24,87km²;8,0km²;0;0;3;3;
TURNERACEAE;Turnera collotricha;yes;1100~1300;4,18km²;12,0km²;0;0;5;5;
TURNERACEAE;Turnera coriacea;yes;940~1500;529,14km²;8,0km²;4;3;1;8;
TURNERACEAE;Turnera elliptica;yes;;265,9km²;4,0km²;1;0;1;2;
TURNERACEAE;Turnera foliosa;yes;1000~1250;638,24km²;12,0km²;6;4;0;10;
TURNERACEAE;Turnera gardneriana;yes;;258,71km²;4,0km²;1;0;0;1;
TURNERACEAE;Turnera ignota;yes;;374,71km²;8,0km²;3;0;0;3;
TURNERACEAE;Turnera luetzelburgii;yes;995~1300;33.095,31km²;60,0km²;15;1;9;25;
TURNERACEAE;Turnera pinifolia;yes;1000~1350;998,84km²;44,0km²;17;2;0;19;
TURNERACEAE;Turnera princeps;yes;;533,17km²;8,0km²;2;0;0;2;
TURNERACEAE;Turnera reginae;yes;470;513,2km²;8,0km²;2;0;0;2;
TURNERACEAE;Turnera revoluta;yes;173~1300;120,22km²;20,0km²;5;0;0;5;
TURNERACEAE;Turnera riedeliana;yes;1350;527,37km²;8,0km²;1;0;1;2;
LENTIBULARIACEAE;Utricularia huntii;no;;0,0km²;8,0km²;3;1;0;4;
VELLOZIACEAE;Vellozia bradei;yes;;264,33km²;4,0km²;0;1;2;3;
VELLOZIACEAE;Vellozia costata;yes;1200;266,46km²;4,0km²;0;3;2;5;
