"Familia";"Especie";"Endemica";"Altitude";"EOO";"AOO";"Válidos";"Inválidos";"Não validados";"Total registros"
APOCYNACEAE;Barjonia grazielae;yes;1000;526,08km²;8,0km²;2;2;0;4;
FABACEAE;Bauhinia candelabriformis;yes;1500~1600;21,54km²;12,0km²;0;0;3;3;
FABACEAE;Bauhinia leptantha;yes;0~319;7.861,99km²;76,0km²;0;1;41;42;
FABACEAE;Bauhinia malacotrichoides;yes;970~1600;27.729,23km²;32,0km²;0;0;12;12;
ASTERACEAE;Bidens edentula;yes;;578,83km²;20,0km²;0;0;7;7;
APOCYNACEAE;Blepharodon hatschbachii;yes;;529,01km²;8,0km²;2;2;0;4;
FABACEAE;Bocoa ratteri;yes;;255,7km²;4,0km²;0;0;1;1;
CONVOLVULACEAE;Bonamia kuhlmannii;yes;;522,06km²;8,0km²;2;0;2;4;
RUBIACEAE;Borreria amapaensis;yes;;253,79km²;4,0km²;2;0;0;2;
RUBIACEAE;Borreria burchellii;yes;;518,4km²;8,0km²;2;0;0;2;
RUBIACEAE;Borreria gracillima;yes;207~1300;64.030,33km²;32,0km²;12;7;0;19;
RUBIACEAE;Borreria guimaraesensis;yes;;262,57km²;4,0km²;1;0;0;1;
RUBIACEAE;Borreria irwiniana;yes;500;257,38km²;4,0km²;1;2;0;3;
RUBIACEAE;Borreria paulista;yes;;32.777,8km²;40,0km²;12;1;0;13;
RUBIACEAE;Borreria rosmarinifolia;yes;800;266,74km²;4,0km²;1;1;0;2;
RUBIACEAE;Borreria tocantinsiana;yes;;259,06km²;4,0km²;1;1;0;2;
VERBENACEAE;Bouchea chascanoides;yes;;21.153,03km²;20,0km²;3;0;6;9;
VERBENACEAE;Bouchea fluminensis;no;;3.184.261,79km²;n/a;170;0;15;185;
SOLANACEAE;Brunfelsia rupestris;yes;1300~1550;5.007,23km²;64,0km²;31;0;0;31;
SCROPHULARIACEAE;Buddleja longiflora;yes;900~2890;12,36km²;16,0km²;7;3;0;10;
SCROPHULARIACEAE;Buddleja speciosissima;yes;2000~2450;19.715,98km²;20,0km²;32;5;0;37;
CYPERACEAE;Bulbostylis lombardii;yes;;576.345,21km²;64,0km²;0;0;35;35;
MALPIGHIACEAE;Byrsonima cordifolia;yes;1000;95.487,88km²;12,0km²;3;1;0;4;
MALPIGHIACEAE;Byrsonima hatschbachii;yes;650;45.194,93km²;12,0km²;5;5;0;10;
ASTERACEAE;Calea irwinii;yes;1000;1.264,4km²;16,0km²;0;0;6;6;
FABACEAE;Calliandra gardneri;yes;370~1000;2.147,07km²;20,0km²;0;7;6;13;
FABACEAE;Calliandra imbricata;yes;;259,72km²;4,0km²;1;0;0;1;
FABACEAE;Calliandra linearis;yes;1397;1.734,21km²;36,0km²;10;0;2;12;
FABACEAE;Calliandra santosiana;yes;;0,46km²;8,0km²;0;0;3;3;
FABACEAE;Calliandra semisepulta;yes;1180~1700;860,11km²;28,0km²;0;0;7;7;
VOCHYSIACEAE;Callisthene erythroclada;yes;800;15.125,13km²;52,0km²;27;5;6;38;
MYRTACEAE;Calycolpus australis;yes;815;181,85km²;12,0km²;0;1;20;21;
MELASTOMATACEAE;Cambessedesia cambessedesioides;yes;800~1467;49.977,72km²;104,0km²;33;28;3;64;
MELASTOMATACEAE;Cambessedesia pityrophylla;yes;1398~2000;1.355,38km²;24,0km²;16;7;1;24;
MELASTOMATACEAE;Cambessedesia salviifolia;yes;680~1446;4.310,95km²;92,0km²;36;10;0;46;
MELASTOMATACEAE;Cambessedesia semidecandra;yes;1050~1200;58,46km²;28,0km²;33;5;2;40;
CUCURBITACEAE;Cayaponia rugosa;yes;;521,72km²;8,0km²;2;1;0;3;
MELASTOMATACEAE;Chaetostoma cupressimum;;;271,73km²;4,0km²;0;0;1;1;
MELASTOMATACEAE;Chaetostoma flavum;yes;1000~1750;2.040,47km²;36,0km²;13;6;1;20;
MELASTOMATACEAE;Chaetostoma inerme;yes;1748;4,26km²;8,0km²;10;2;2;14;
MELASTOMATACEAE;Chaetostoma scoparium;yes;;209,68km²;16,0km²;5;1;0;6;
MELASTOMATACEAE;Chaetostoma selagineum;yes;975~1250;43.235,72km²;56,0km²;43;16;4;63;
MELASTOMATACEAE;Chaetostoma stenocladon;yes;1282;6.555,2km²;64,0km²;25;7;0;32;
FABACEAE;Chamaecrista adamantina;yes;950;25,47km²;12,0km²;0;0;3;3;
FABACEAE;Chamaecrista altoana;yes;1000;805,85km²;12,0km²;0;0;6;6;
FABACEAE;Chamaecrista caiapo;yes;1000;469,36km²;8,0km²;0;0;3;3;
FABACEAE;Chamaecrista caracensis;yes;;833,17km²;12,0km²;0;0;3;3;
FABACEAE;Chamaecrista catapodia;yes;;266,56km²;4,0km²;0;0;1;1;
FABACEAE;Chamaecrista catiarae;yes;;267,72km²;4,0km²;0;0;1;1;
FABACEAE;Chamaecrista centiflora;yes;;266,56km²;4,0km²;0;0;1;1;
FABACEAE;Chamaecrista coradinii;yes;683~830;5.735,85km²;32,0km²;0;0;11;11;
FABACEAE;Chamaecrista coriacea;yes;1187;0,0km²;8,0km²;0;1;5;6;
FABACEAE;Chamaecrista deltoidea;yes;;268,42km²;4,0km²;0;0;1;1;
FABACEAE;Chamaecrista dumalis;yes;460~700;1.002.230,05km²;32,0km²;0;0;14;14;
FABACEAE;Chamaecrista ericifolia;yes;;535,54km²;8,0km²;3;0;0;3;
FABACEAE;Chamaecrista fuscescens;yes;;268,24km²;4,0km²;1;0;1;2;
FABACEAE;Chamaecrista geraldii;yes;;533,31km²;8,0km²;0;0;3;3;
FABACEAE;Chamaecrista gumminans;yes;1020;266,83km²;4,0km²;2;2;0;4;
FABACEAE;Chamaecrista gymnothyrsa;yes;1000;288,1km²;16,0km²;4;0;2;6;
FABACEAE;Chamaecrista hatschbachii;yes;900~1000;200,74km²;12,0km²;4;0;1;5;
