"Familia";"Especie";"Bioma"
TURNERACEAE;Turnera luetzelburgii;Mata Atlântica
TURNERACEAE;Turnera luetzelburgii;Cerrado
TURNERACEAE;Turnera pinifolia;Cerrado
TURNERACEAE;Turnera revoluta;Cerrado
TURNERACEAE;Turnera riedeliana;Cerrado
VELLOZIACEAE;Vellozia bradei;Cerrado
VELLOZIACEAE;Vellozia crinita;Cerrado
VELLOZIACEAE;Vellozia exilis;Cerrado
VELLOZIACEAE;Vellozia luteola;Cerrado
VELLOZIACEAE;Vellozia maxillarioides;Cerrado
VELLOZIACEAE;Vellozia prolifera;Cerrado
VELLOZIACEAE;Vellozia sellowii;Cerrado
VELLOZIACEAE;Vellozia spiralis;Cerrado
VELLOZIACEAE;Vellozia spiralis;Caatinga
VELLOZIACEAE;Vellozia tillandsioides;Cerrado
VOCHYSIACEAE;Vochysia petraea;Cerrado
VOCHYSIACEAE;Vochysia pygmaea;Cerrado
VOCHYSIACEAE;Vochysia rotundifolia;Cerrado
BROMELIACEAE;Vriesea densiflora;Cerrado
XYRIDACEAE;Xyris archeri;Cerrado
XYRIDACEAE;Xyris diaphanobracteata;Cerrado
XYRIDACEAE;Xyris goyazensis;Cerrado
XYRIDACEAE;Xyris lanuginosa;Cerrado
XYRIDACEAE;Xyris mertensiana;Cerrado
XYRIDACEAE;Xyris mertensiana;Mata Atlântica
XYRIDACEAE;Xyris obcordata;Cerrado
XYRIDACEAE;Xyris paradisiaca;Cerrado
XYRIDACEAE;Xyris picea;Cerrado
XYRIDACEAE;Xyris rupicola;Cerrado
XYRIDACEAE;Xyris spectabilis;Cerrado
XYRIDACEAE;Xyris subsetigera;Cerrado
XYRIDACEAE;Xyris veruina;Cerrado
XYRIDACEAE;Xyris vestita;Cerrado
FABACEAE;Zornia glaziovii;Cerrado
FABACEAE;Zornia subsessilis;Cerrado
