"Familia";"Especie";"Ação";"Situação"
LYTHRACEAE;Diplusodon adpressipilus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon alatus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon argenteus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon bradei;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon canastrensis;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon leucocalycinus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon nigricans;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon parvifolius;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon rupestris;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon sigillatus;1.1 Site/area protection;on going;
LYTHRACEAE;Diplusodon sordidus;1.1 Site/area protection;on going;
APOCYNACEAE;Ditassa insignis;1.1 Site/area protection;on going;
APOCYNACEAE;Ditassa obscura;1.1 Site/area protection;on going;
BROMELIACEAE;Dyckia bracteata;1.1 Site/area protection;on going;
BROMELIACEAE;Dyckia mello-barretoi;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis loefgreniana;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis morroi;1.1 Site/area protection;on going;
CYPERACEAE;Eleocharis olivaceonux;1.1 Site/area protection;on going;
ERIOCAULACEAE;Eriocaulon aquatile;1.1 Site/area protection;on going;
ERIOCAULACEAE;Eriocaulon burchellii;1.1 Site/area protection;on going;
ERIOCAULACEAE;Eriocaulon cipoense;1.1 Site/area protection;on going;
ERIOCAULACEAE;Eriocaulon griseum;1.1 Site/area protection;on going;
LAMIACEAE;Eriope sincorana;1.1 Site/area protection;on going;
CONVOLVULACEAE;Evolvulus chapadensis;1.1 Site/area protection;on going;
MORACEAE;Ficus carautana;1.1 Site/area protection;on going;
RUBIACEAE;Galianthe macedoi;1.1 Site/area protection;on going;
AMARANTHACEAE;Gomphrena hermogenesii;1.1 Site/area protection;on going;
ORCHIDACEAE;Habenaria meeana;1.1 Site/area protection;on going;
ORCHIDACEAE;Habenaria pseudohamata;1.1 Site/area protection;on going;
ORCHIDACEAE;Hadrolaelia praestans;3.4 Ex-situ conservation;on going;
ORCHIDACEAE;Hadrolaelia praestans;1.1 Site/area protection;on going;
ORCHIDACEAE;Hoffmannseggella pendula;1.1 Site/area protection;on going;
AQUIFOLIACEAE;Ilex mucugensis;5.1.1 International level;on going;
AQUIFOLIACEAE;Ilex mucugensis;1.1 Site/area protection;on going;
BIGNONIACEAE;Jacaranda racemosa;1.1 Site/area protection;on going;
MALPIGHIACEAE;Janusia christianeae;1.1 Site/area protection;needed;
ACANTHACEAE;Justicia clivalis;1.1 Site/area protection;on going;
CALOPHYLLACEAE;Kielmeyera juruensis;1.1 Site/area protection;on going;
CALOPHYLLACEAE;Kielmeyera trichophora;1.1 Site/area protection;on going;
CYPERACEAE;Lagenocarpus adamantinus;1.1 Site/area protection;on going;
CUNONIACEAE;Lamanonia brasiliensis;1.1 Site/area protection;on going;
VERBENACEAE;Lantana gracilis;1.1 Site/area protection;on going;
MELASTOMATACEAE;Lavoisiera caryophyllea;1.1 Site/area protection;on going;
MELASTOMATACEAE;Lavoisiera harleyi;1.1 Site/area protection;on going;
MELASTOMATACEAE;Lavoisiera macrocarpa;1.1 Site/area protection;on going;
MELASTOMATACEAE;Lavoisiera mucorifera;1.1 Site/area protection;on going;
MELASTOMATACEAE;Lavoisiera subulata;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix cipoensis;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix crassifolia;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix distichoclada;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix luxurians;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix rupestris;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix sclerophylla;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix sinuosa;1.1 Site/area protection;on going;
ERIOCAULACEAE;Leiothrix spiralis;1.1 Site/area protection;on going;
ORCHIDACEAE;Leptotes vellozicola;1.1 Site/area protection;needed;
ASTERACEAE;Lessingianthus caiapoensis;1.1 Site/area protection;on going;
BALANOPHORACEAE;Lophophytum rizzoi;1.1 Site/area protection;on going;
OCHNACEAE;Luxemburgia ciliatibracteata;1.1 Site/area protection;on going;
OCHNACEAE;Luxemburgia damazioana;1.1 Site/area protection;needed;
MONIMIACEAE;Macropeplus schwackeanus;1.1 Site/area protection;needed;
MONIMIACEAE;Macropeplus schwackeanus;1.1 Site/area protection;on going;
MALPIGHIACEAE;Mascagnia aptera;1.1 Site/area protection;needed;
MELASTOMATACEAE;Microlicia crebropunctata;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia giuliettiana;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia mucugensis;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia noblickii;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia oligochaeta;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia scoparia;1.1 Site/area protection;on going;
MELASTOMATACEAE;Microlicia suborbicularifolia;1.1 Site/area protection;on going;
FABACEAE;Mimosa decorticans;1.1 Site/area protection;on going;
FABACEAE;Mimosa lepidophora;1.1 Site/area protection;on going;
FABACEAE;Mimosa pyrenea;1.1 Site/area protection;on going;
FABACEAE;Mimosa setosissima;1.1 Site/area protection;on going;
FABACEAE;Mimosa splendida;1.1 Site/area protection;on going;
FABACEAE;Mimosa ulbrichiana;1.2 Resource & habitat protection;on going;
FABACEAE;Mimosa ulei;1.1 Site/area protection;on going;
APOCYNACEAE;Minaria campanuliflora;1.1 Site/area protection;on going;
ASTERACEAE;Minasia cabralensis;1.1 Site/area protection;on going;
RUBIACEAE;Mitracarpus pusillus;1.1 Site/area protection;on going;
APOCYNACEAE;Nephradenia filipes;1.1 Site/area protection;on going;
BROMELIACEAE;Orthophytum mello-barretoi;1.1 Site/area protection;on going;
BROMELIACEAE;Orthophytum schulzianum;1.1 Site/area protection;on going;
LORANTHACEAE;Oryctina eubrachioides;1.1 Site/area protection;on going;
POACEAE;Otachyrium piligerum;1.1 Site/area protection;on going;
OCHNACEAE;Ouratea acicularis;1.1 Site/area protection;on going;
OCHNACEAE;Ouratea acicularis;5.1.2 National level;on going;
OXALIDACEAE;Oxalis veadeirosensis;1.1 Site/area protection;on going;
APOCYNACEAE;Oxypetalum habrogynum;1.1 Site/area protection;on going;
APOCYNACEAE;Oxypetalum helios;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus albo-tomentosus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus almasensis;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus anamariae;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus argenteus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus aureus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus barbiger;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus barbulatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus cinereus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus complanatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus contasensis;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus cordatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus erigeron;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus globulifer;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus harleyi;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus homomallus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus inopinatus;1.1 Site/area protection;on going;
ERIOCAULACEAE;Paepalanthus luetzelburgii;1.1 Site/area protection;on going;
